script,line,option,aliases,default,paper_facing,diagnostic,legacy,duplicated,silent_override_risk,future_config_group
experiments/diagnostics/analyze_fig9_actual_branch_provenance.py,479,run_dir,run_dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_actual_branch_provenance.py,480,--output-dir,--output-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_actual_branch_provenance.py,481,--compare-run-dir,--compare-run-dir,,False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_autonomous_context_provenance.py,415,--input,--input,,False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_autonomous_context_provenance.py,416,--label,--label,[],False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_autonomous_context_provenance.py,417,--output,--output,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_branch_identity.py,385,run_dirs,run_dirs,,False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_branch_identity.py,386,--output-dir,--output-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_branch_provenance.py,575,--run-dir,--run-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_branch_provenance.py,576,--output-dir,--output-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_branch_provenance.py,577,--policy-label,--policy-label,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_branch_provenance.py,578,--bootstrap-samples,--bootstrap-samples,1000,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_branch_provenance.py,579,--bootstrap-seed,--bootstrap-seed,0,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_candidate_score_separability.py,1584,--sequential-dir,--sequential-dir,'',False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_candidate_score_separability.py,1585,--batched-dir,--batched-dir,'',False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_candidate_score_separability.py,1586,--competition-trace,--competition-trace,'',False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_candidate_score_separability.py,1587,--oracle-trace,--oracle-trace,'',False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_candidate_score_separability.py,1588,--predictions,--predictions,'',False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_candidate_score_separability.py,1589,--protocol,--protocol,'',False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_candidate_score_separability.py,1590,--candidate-trace,--candidate-trace,'',False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_candidate_score_separability.py,1591,--policy-label,--policy-label,'',False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_candidate_score_separability.py,1592,--output-dir,--output-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_candidate_score_separability.py,1593,--bootstrap-samples,--bootstrap-samples,1000,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_candidate_score_separability.py,1594,--bootstrap-seed,--bootstrap-seed,0,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_context_oracle.py,623,--l2-dir,--l2-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_context_oracle.py,624,--l4-dir,--l4-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_context_oracle.py,625,--output-dir,--output-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_context_oracle.py,626,--mechanism-dir,--mechanism-dir,None,False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_context_trajectory_decomposition.py,479,--run-dir,--run-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_context_trajectory_decomposition.py,480,--output-dir,--output-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_context_trajectory_decomposition.py,481,--bootstrap-samples,--bootstrap-samples,1000,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_context_trajectory_decomposition.py,482,--bootstrap-seed,--bootstrap-seed,0,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_independent_reference_provenance.py,81,run_dir,run_dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_independent_reference_provenance.py,82,--output-dir,--output-dir,None,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_intracolumn_selector.py,447,--run-dir,--run-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_intracolumn_selector.py,448,--baseline-dir,--baseline-dir,,False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_intracolumn_selector.py,449,--output-dir,--output-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_intracolumn_selector.py,450,--policy-label,--policy-label,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_intracolumn_selector.py,451,--bootstrap-samples,--bootstrap-samples,1000,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_intracolumn_selector.py,452,--bootstrap-seed,--bootstrap-seed,0,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_l2_ambiguity_accumulation.py,806,--l2-dir,--l2-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_l2_ambiguity_accumulation.py,807,--l4-dir,--l4-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_l2_ambiguity_accumulation.py,808,--output-dir,--output-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_l2_ambiguity_accumulation.py,809,--bootstrap-samples,--bootstrap-samples,2000,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_l2_ambiguity_accumulation.py,810,--bootstrap-seed,--bootstrap-seed,11,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_l2_l4_long_sequence.py,617,--run-dir-l2,--run-dir-l2,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_l2_l4_long_sequence.py,618,--run-dir-l4,--run-dir-l4,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_l2_l4_long_sequence.py,619,--output-dir,--output-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_l2_l4_long_sequence.py,620,--bootstrap-samples,--bootstrap-samples,1000,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_l2_l4_long_sequence.py,621,--bootstrap-seed,--bootstrap-seed,0,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_l2_stack_component_2x2.py,328,--output-dir,--output-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_l2_stack_component_2x2.py,329,--protocol-dir,--protocol-dir,Path('docs'),False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_l2_stack_component_2x2.py,330,--run,--run,[],False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_l2_stack_component_2x2.py,331,--compare-run,--compare-run,[],False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_lmatch_ablation.py,678,--run-dir-l4,--run-dir-l4,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_lmatch_ablation.py,679,--run-dir-l3,--run-dir-l3,,False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_lmatch_ablation.py,680,--run-dir-l2,--run-dir-l2,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_lmatch_ablation.py,681,--output-dir,--output-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_lmatch_ablation.py,682,--bootstrap-samples,--bootstrap-samples,1000,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_lmatch_ablation.py,683,--bootstrap-seed,--bootstrap-seed,0,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_lmatch_stack_2x2.py,817,--output-dir,--output-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_lmatch_stack_2x2.py,818,--inventory-root,--inventory-root,Path('results/fig9_diagnostics'),False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_lmatch_stack_2x2.py,819,--docs-dir,--docs-dir,Path('docs'),False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_lmatch_stack_2x2.py,820,--run,--run,[],False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_lmatch_stack_2x2.py,821,--native-history,--native-history,[],False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_match_overlap_decomposition.py,1792,--run-dir,--run-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_match_overlap_decomposition.py,1793,--output-dir,--output-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_match_overlap_decomposition.py,1794,--bootstrap-samples,--bootstrap-samples,1000,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_match_overlap_decomposition.py,1795,--bootstrap-seed,--bootstrap-seed,0,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_match_overlap_decomposition.py,1796,--fixed-only,--fixed-only,,False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_observe_scenario_assignment.py,455,--observation-trace,--observation-trace,,False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_observe_scenario_assignment.py,456,--output-dir,--output-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_observe_scenario_assignment.py,457,--bootstrap-samples,--bootstrap-samples,1000,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_observe_scenario_assignment.py,458,--bootstrap-seed,--bootstrap-seed,0,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_observe_scenario_reasons.py,15,--run-dir,--run-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_observe_scenario_reasons.py,16,--output-dir,--output-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_observe_scenario_reasons.py,17,--bootstrap-samples,--bootstrap-samples,1000,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_observe_scenario_reasons.py,18,--bootstrap-seed,--bootstrap-seed,0,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_pairwise_context.py,1212,--l2-dir,--l2-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_pairwise_context.py,1213,--l4-dir,--l4-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_pairwise_context.py,1214,--output-dir,--output-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_preselection_segments.py,659,--run-dir,--run-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_preselection_segments.py,660,--output-dir,--output-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_preselection_segments.py,661,--policy-label,--policy-label,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_preselection_segments.py,662,--bootstrap-samples,--bootstrap-samples,1000,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_preselection_segments.py,663,--bootstrap-seed,--bootstrap-seed,0,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_readout_dynamics.py,999,--output-root,--output-root,,False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_readout_dynamics.py,1004,--validation-note,--validation-note,'',False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_readout_dynamics.py,1005,--recommended-next-step,--recommended-next-step,'',False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_reference_neuron_selection.py,1202,--run-dir,--run-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_reference_neuron_selection.py,1203,--identity-dir,--identity-dir,,False,True,False,False,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_reference_neuron_selection.py,1204,--output-dir,--output-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_reference_neuron_selection.py,1205,--bootstrap-samples,--bootstrap-samples,1000,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_reference_neuron_selection.py,1206,--bootstrap-seed,--bootstrap-seed,0,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_scenario_aware_identity.py,248,--run-dir,--run-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_scenario_aware_identity.py,249,--output-dir,--output-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_scenario_aware_identity.py,250,--policy-label,--policy-label,'batched',False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_scenario_aware_identity.py,251,--bootstrap-samples,--bootstrap-samples,1000,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_scenario_aware_identity.py,252,--bootstrap-seed,--bootstrap-seed,0,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_segment_context_composition.py,386,--run-dir,--run-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_segment_context_composition.py,387,--output-dir,--output-dir,None,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_teacher_forced_identity.py,1100,--run-dir,--run-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_teacher_forced_identity.py,1101,--output-dir,--output-dir,,False,True,False,True,LOW,DiagnosticConfig
experiments/diagnostics/analyze_fig9_teacher_forced_identity.py,1102,--policy-label,--policy-label,,False,True,False,True,LOW,DiagnosticConfig
