source_path,source_module,source_role,target_path,target_module,target_role,line,import_kind,architecture_flag
experiments/diagnostics/analyze_fig9_branch_provenance.py,experiments.diagnostics.analyze_fig9_branch_provenance,diagnostic,experiments/diagnostics/analyze_fig9_candidate_score_separability.py,experiments.diagnostics.analyze_fig9_candidate_score_separability,diagnostic,15,from,
experiments/diagnostics/analyze_fig9_branch_provenance.py,experiments.diagnostics.analyze_fig9_branch_provenance,diagnostic,experiments/diagnostics/fig9_branch_provenance.py,experiments.diagnostics.fig9_branch_provenance,diagnostic,19,from,
experiments/diagnostics/analyze_fig9_candidate_score_separability.py,experiments.diagnostics.analyze_fig9_candidate_score_separability,diagnostic,experiments/diagnostics/fig9_candidate_score_trace.py,experiments.diagnostics.fig9_candidate_score_trace,diagnostic,25,from,
experiments/diagnostics/analyze_fig9_l2_stack_component_2x2.py,experiments.diagnostics.analyze_fig9_l2_stack_component_2x2,diagnostic,experiments/diagnostics/analyze_fig9_lmatch_stack_2x2.py,experiments.diagnostics.analyze_fig9_lmatch_stack_2x2,diagnostic,11,from,
experiments/diagnostics/analyze_fig9_lmatch_ablation.py,experiments.diagnostics.analyze_fig9_lmatch_ablation,diagnostic,experiments/fig9_strict_reproduction.py,experiments.fig9_strict_reproduction,experiment,540,from,
experiments/diagnostics/analyze_fig9_lmatch_stack_2x2.py,experiments.diagnostics.analyze_fig9_lmatch_stack_2x2,diagnostic,experiments/fig9_strict_reproduction.py,experiments.fig9_strict_reproduction,experiment,65,from,
experiments/diagnostics/analyze_fig9_observe_scenario_reasons.py,experiments.diagnostics.analyze_fig9_observe_scenario_reasons,diagnostic,experiments/diagnostics/analyze_fig9_observe_scenario_assignment.py,experiments.diagnostics.analyze_fig9_observe_scenario_assignment,diagnostic,8,from,
experiments/diagnostics/analyze_fig9_preselection_segments.py,experiments.diagnostics.analyze_fig9_preselection_segments,diagnostic,experiments/diagnostics/analyze_fig9_candidate_score_separability.py,experiments.diagnostics.analyze_fig9_candidate_score_separability,diagnostic,16,from,
experiments/diagnostics/analyze_fig9_readout_dynamics.py,experiments.diagnostics.analyze_fig9_readout_dynamics,diagnostic,experiments/diagnostics/fig9_readout_dynamics.py,experiments.diagnostics.fig9_readout_dynamics,diagnostic,21,from,
experiments/diagnostics/analyze_fig9_scenario_aware_identity.py,experiments.diagnostics.analyze_fig9_scenario_aware_identity,diagnostic,experiments/diagnostics/analyze_fig9_observe_scenario_assignment.py,experiments.diagnostics.analyze_fig9_observe_scenario_assignment,diagnostic,11,from,
experiments/diagnostics/analyze_fig9_scenario_aware_identity.py,experiments.diagnostics.analyze_fig9_scenario_aware_identity,diagnostic,experiments/diagnostics/analyze_fig9_reference_neuron_selection.py,experiments.diagnostics.analyze_fig9_reference_neuron_selection,diagnostic,14,from,
experiments/diagnostics/analyze_fig9_scenario_aware_identity.py,experiments.diagnostics.analyze_fig9_scenario_aware_identity,diagnostic,experiments/diagnostics/analyze_fig9_teacher_forced_identity.py,experiments.diagnostics.analyze_fig9_teacher_forced_identity,diagnostic,17,from,
experiments/diagnostics/analyze_fig9_teacher_forced_identity.py,experiments.diagnostics.analyze_fig9_teacher_forced_identity,diagnostic,experiments/diagnostics/fig9_teacher_forced_identity.py,experiments.diagnostics.fig9_teacher_forced_identity,diagnostic,14,from,
experiments/diagnostics/analyze_fig9_temporal_context.py,experiments.diagnostics.analyze_fig9_temporal_context,diagnostic,experiments/diagnostics/fig9_temporal_context.py,experiments.diagnostics.fig9_temporal_context,diagnostic,22,from,
experiments/diagnostics/analyze_fig9_timing_eligibility_decomposition.py,experiments.diagnostics.analyze_fig9_timing_eligibility_decomposition,diagnostic,experiments/diagnostics/analyze_fig9_match_overlap_decomposition.py,experiments.diagnostics.analyze_fig9_match_overlap_decomposition,diagnostic,15,from,
