path,directory,size_bytes_recursive,mtime_latest,experiment_family,known_commit,protocol_available,checkpoint,report,raw_prediction,temporary,credibility,regeneration_cost,suggested_future_action
results/citation_chain_soma_vinh_20260813_130843,citation_chain_soma_vinh_20260813_130843,20878,2026-08-13T13:08:43.164258,Other,,False,False,True,False,False,UNCLASSIFIED,MEDIUM,UNKNOWN
results/citation_chain_soma_vinh_20260813_131042,citation_chain_soma_vinh_20260813_131042,24386,2026-08-13T13:10:42.371381,Other,,False,False,True,False,False,UNCLASSIFIED,MEDIUM,UNKNOWN
results/citation_chain_soma_vinh_20260813_131437,citation_chain_soma_vinh_20260813_131437,24366,2026-08-13T13:14:37.287510,Other,,False,False,True,False,False,UNCLASSIFIED,MEDIUM,UNKNOWN
results/citation_chain_soma_vinh_20260813_132057,citation_chain_soma_vinh_20260813_132057,25602,2026-08-13T13:21:35.943205,Other,,False,False,True,False,False,UNCLASSIFIED,MEDIUM,UNKNOWN
results/fig7_baseline_plot_smoke,fig7_baseline_plot_smoke,62681,2026-07-15T06:26:35.883058,Fig7,,False,False,False,False,True,C,LOW,REGENERABLE
results/fig7_baselines_full,fig7_baselines_full,172106,2026-07-15T06:49:57.133397,Fig7,,False,False,False,False,False,UNCLASSIFIED,MEDIUM,UNKNOWN
results/fig7_baselines_smoke,fig7_baselines_smoke,740,2026-07-15T05:49:58.956656,Fig7,,False,False,False,False,True,C,LOW,REGENERABLE
results/fig7_htm_smoke,fig7_htm_smoke,213,2026-07-15T06:24:37.368586,Fig7,,False,False,False,False,True,C,LOW,REGENERABLE
results/fig7_reference_comparison,fig7_reference_comparison,1724270,2026-07-16T17:50:35.012320,Fig7,,False,False,False,False,False,UNCLASSIFIED,MEDIUM,UNKNOWN
results/fig7_repeated_smoke,fig7_repeated_smoke,51260,2026-07-15T05:54:25.544892,Fig7,,False,False,False,False,True,C,LOW,REGENERABLE
results/fig7_strict,fig7_strict,93387,2026-07-15T06:41:23.958057,Fig7,,False,False,False,False,False,B,MEDIUM,KEEP_REPORT
results/fig7_strict_corrected,fig7_strict_corrected,122693,2026-07-16T17:42:05.781662,Fig7,,False,False,False,False,False,B,MEDIUM,KEEP_REPORT
results/fig7_strict_inhibited,fig7_strict_inhibited,140816,2026-07-15T12:31:50.251930,Fig7,,False,False,False,False,False,B,MEDIUM,KEEP_REPORT
results/fig7_strict_multitime,fig7_strict_multitime,135479,2026-07-15T09:30:07.924185,Fig7,,False,False,False,False,False,B,MEDIUM,KEEP_REPORT
results/fig7_strict_reference_ties,fig7_strict_reference_ties,137476,2026-07-15T10:01:27.327941,Fig7,,False,False,False,False,False,B,MEDIUM,KEEP_REPORT
results/fig8_diagnostics,fig8_diagnostics,517653520,2026-07-23T14:59:29.061860,Fig8,,False,False,True,True,False,C,MEDIUM,KEEP_REPORT
results/fig8_strict_fixedset_resource_sweep,fig8_strict_fixedset_resource_sweep,70600,2026-07-15T16:56:27.842869,Fig8,,False,False,False,False,False,B,MEDIUM,KEEP_REPORT
results/fig8_strict_paperflow_resource_sweep,fig8_strict_paperflow_resource_sweep,326,2026-07-15T12:07:30.676301,Fig8,,False,False,False,False,False,B,MEDIUM,KEEP_REPORT
results/fig9_diagnostics,fig9_diagnostics,20531444891,2026-08-13T02:08:01.648959,Fig9,,True,True,True,True,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/actual_branch_lineage_250_20260808_083200_L2,actual_branch_lineage_250_20260808_083200_L2,288565951,2026-08-08T08:50:52.253854,Fig9,,True,True,True,True,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/actual_branch_provenance_250_20260806_102928_L4,actual_branch_provenance_250_20260806_102928_L4,602375975,2026-08-06T17:32:13.176129,Fig9,,True,True,True,True,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/actual_branch_provenance_250_20260806_184819_L2,actual_branch_provenance_250_20260806_184819_L2,2080910,2026-08-06T18:48:26.615211,Fig9,,False,True,False,False,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/actual_branch_provenance_250_20260806_184819_L2_forensics,actual_branch_provenance_250_20260806_184819_L2_forensics,7878,2026-08-06T20:08:08.314954,Fig9,,False,False,False,False,False,C,MEDIUM,KEEP_REPORT
results/fig9_diagnostics/actual_branch_provenance_250_20260807_092438_L2,actual_branch_provenance_250_20260807_092438_L2,736578518,2026-08-07T09:44:58.729308,Fig9,,True,True,True,True,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/actual_branch_provenance_250_20260808_073849_L4,actual_branch_provenance_250_20260808_073849_L4,916767761,2026-08-08T07:58:09.236697,Fig9,,True,True,True,True,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/actual_branch_provenance_250_20260808_080211_L2,actual_branch_provenance_250_20260808_080211_L2,292697208,2026-08-08T08:08:57.170831,Fig9,,False,True,False,False,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/actual_branch_prune_isolation,actual_branch_prune_isolation,36671218,2026-08-06T20:13:52.340494,Fig9,,True,True,False,False,True,C,HIGH,REGENERABLE
results/fig9_diagnostics/actual_branch_prune_isolation/actual-off_20260806_201254_136,actual-off_20260806_201254_136,5395602,2026-08-06T20:13:04.168917,Fig9,,True,True,False,False,True,C,HIGH,REGENERABLE
results/fig9_diagnostics/actual_branch_prune_isolation/actual-summary_20260806_201304_188,actual-summary_20260806_201304_188,13207158,2026-08-06T20:13:33.783484,Fig9,,True,True,False,False,True,C,HIGH,REGENERABLE
results/fig9_diagnostics/actual_branch_prune_isolation/branch-off_20260806_201333_812,branch-off_20260806_201333_812,1193245,2026-08-06T20:13:42.958862,Fig9,,True,True,False,False,True,C,HIGH,REGENERABLE
results/fig9_diagnostics/actual_branch_prune_isolation/exact-all_20260806_200931_175,exact-all_20260806_200931_175,2470341,2026-08-06T20:11:37.056133,Fig9,,False,True,False,False,True,C,HIGH,REGENERABLE
results/fig9_diagnostics/actual_branch_prune_isolation/exact-all_20260806_201202_407,exact-all_20260806_201202_407,13211609,2026-08-06T20:12:30.504649,Fig9,,True,True,False,False,True,C,HIGH,REGENERABLE
results/fig9_diagnostics/actual_branch_prune_isolation/minimal_20260806_201342_984,minimal_20260806_201342_984,1193263,2026-08-06T20:13:52.340494,Fig9,,True,True,False,False,True,C,HIGH,REGENERABLE
results/fig9_diagnostics/actual_branch_prune_resume_base,actual_branch_prune_resume_base,2054952,2026-08-06T20:08:16.786040,Fig9,,False,True,False,False,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/actual_branch_prune_runner_regression,actual_branch_prune_runner_regression,2441,2026-08-06T20:07:52.895113,Fig9,,False,False,False,False,False,C,MEDIUM,KEEP_REPORT
results/fig9_diagnostics/actual_branch_resume_part1,actual_branch_resume_part1,12477724,2026-08-06T10:09:09.740274,Fig9,,True,True,False,True,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/actual_branch_resume_part2,actual_branch_resume_part2,803707,2026-08-06T10:09:10.643909,Fig9,,True,False,False,True,False,C,MEDIUM,KEEP_REPORT
results/fig9_diagnostics/actual_branch_semantic_smoke20_repaired,actual_branch_semantic_smoke20_repaired,422041,2026-08-06T17:31:40.782933,Fig9,,True,False,True,True,True,C,LOW,REGENERABLE
results/fig9_diagnostics/actual_branch_smoke20,actual_branch_smoke20,10255703,2026-08-06T10:11:26.027027,Fig9,,True,False,True,True,True,C,LOW,REGENERABLE
results/fig9_diagnostics/actual_branch_smoke20_off,actual_branch_smoke20_off,9086249,2026-08-06T10:08:36.333056,Fig9,,True,False,False,True,True,C,LOW,REGENERABLE
results/fig9_diagnostics/actual_branch_smoke50_L2_off,actual_branch_smoke50_L2_off,85267399,2026-08-06T10:26:37.241895,Fig9,,True,False,False,True,True,C,LOW,REGENERABLE
results/fig9_diagnostics/actual_branch_smoke50_L2_on,actual_branch_smoke50_L2_on,90083314,2026-08-06T10:24:26.318198,Fig9,,True,False,False,True,True,C,LOW,REGENERABLE
results/fig9_diagnostics/actual_branch_smoke50_L4_off,actual_branch_smoke50_L4_off,104470552,2026-08-06T10:22:10.847918,Fig9,,True,False,False,True,True,C,LOW,REGENERABLE
results/fig9_diagnostics/actual_branch_smoke50_L4_on,actual_branch_smoke50_L4_on,109219755,2026-08-06T10:20:00.701988,Fig9,,True,False,False,True,True,C,LOW,REGENERABLE
results/fig9_diagnostics/anchor_parity_abcd_20260813_000500,anchor_parity_abcd_20260813_000500,127447,2026-08-13T00:27:34.915642,Fig9,,True,False,True,True,False,C,MEDIUM,KEEP_REPORT
