fixture,artifact,present_before,present_after,raw_byte_equal,scientific_content_equal,before_sha256,after_sha256,before_content_sha256,after_content_sha256,difference_reason
segment_reinforcement,segment_reinforcement_event_trace.csv.gz,True,True,False,True,09d5003ebc249754d73d214f3ce4fa4d694cc3418955c675691b0be39b6e18e0,2704a78b901ef6e1efbdd1d12ce22c67b9a1e6f07d72d1de3ea30ea703fdff92,792bad9f92f88f81b40416b5f20eebbfea949d923fa82678c6aabc0146eba805,792bad9f92f88f81b40416b5f20eebbfea949d923fa82678c6aabc0146eba805,gzip_header_metadata_only
segment_reinforcement,segment_reinforcement_protocol.json,True,True,False,True,a8cd72b9421b5cef5888486206c928ce5a4b572c89b589ee641dd80ab08f377d,40d5fc74d7f8bf6e84fce6b1e39eab307bd54c2e6d1aa79cfdbc6149fd00b07d,6ed7d08ffea2ae5eeeadf804a95947bff6a58ea481b76ce12a2e618b28567500,6ed7d08ffea2ae5eeeadf804a95947bff6a58ea481b76ce12a2e618b28567500,strict_protocol_sha256_commit_provenance_only
actual_branch_provenance,actual_branch_event_trace.csv,True,True,True,True,d9129b2e2d05a31ef00e7ff0b0b17a0ee9b899478f1aada01183efcb13ae321c,d9129b2e2d05a31ef00e7ff0b0b17a0ee9b899478f1aada01183efcb13ae321c,d9129b2e2d05a31ef00e7ff0b0b17a0ee9b899478f1aada01183efcb13ae321c,d9129b2e2d05a31ef00e7ff0b0b17a0ee9b899478f1aada01183efcb13ae321c,
actual_branch_provenance,actual_branch_provenance_protocol.json,True,True,True,True,5926782f6ab12cd036ed52bfa7fe9e0f2b057041ee6cd8f44541ca4e5ae260a0,5926782f6ab12cd036ed52bfa7fe9e0f2b057041ee6cd8f44541ca4e5ae260a0,5926782f6ab12cd036ed52bfa7fe9e0f2b057041ee6cd8f44541ca4e5ae260a0,5926782f6ab12cd036ed52bfa7fe9e0f2b057041ee6cd8f44541ca4e5ae260a0,
actual_branch_provenance,actual_branch_registry.csv,True,True,True,True,312b7860ebf843f052cce7613e177f976f483b682b203bdcc4ef547268eabe20,312b7860ebf843f052cce7613e177f976f483b682b203bdcc4ef547268eabe20,312b7860ebf843f052cce7613e177f976f483b682b203bdcc4ef547268eabe20,312b7860ebf843f052cce7613e177f976f483b682b203bdcc4ef547268eabe20,
actual_branch_provenance,actual_branch_segment_trace.csv,True,True,True,True,0830e1525269553d27d3737e1b9a074a1f642d804c6a6d098d046bae559a3a55,0830e1525269553d27d3737e1b9a074a1f642d804c6a6d098d046bae559a3a55,0830e1525269553d27d3737e1b9a074a1f642d804c6a6d098d046bae559a3a55,0830e1525269553d27d3737e1b9a074a1f642d804c6a6d098d046bae559a3a55,
actual_branch_provenance,actual_lineage_event_trace.csv,True,True,True,True,f39855e5379be8ad4091546641a2a62a1ce1d733006b8a31c135d59fe26d1d18,f39855e5379be8ad4091546641a2a62a1ce1d733006b8a31c135d59fe26d1d18,f39855e5379be8ad4091546641a2a62a1ce1d733006b8a31c135d59fe26d1d18,f39855e5379be8ad4091546641a2a62a1ce1d733006b8a31c135d59fe26d1d18,
actual_branch_provenance,actual_lineage_registry.csv,True,True,True,True,fc43fb638daa1765b9c32ca75c32dfbb9e31254f753c0940894455b6171ababc,fc43fb638daa1765b9c32ca75c32dfbb9e31254f753c0940894455b6171ababc,fc43fb638daa1765b9c32ca75c32dfbb9e31254f753c0940894455b6171ababc,fc43fb638daa1765b9c32ca75c32dfbb9e31254f753c0940894455b6171ababc,
match_overlap,match_overlap_column_trace.csv,True,True,True,True,11c334c1773492c455131f5e7259823833c7f54caae038a2fb0de6ad58725faa,11c334c1773492c455131f5e7259823833c7f54caae038a2fb0de6ad58725faa,11c334c1773492c455131f5e7259823833c7f54caae038a2fb0de6ad58725faa,11c334c1773492c455131f5e7259823833c7f54caae038a2fb0de6ad58725faa,
match_overlap,match_overlap_protocol.json,True,True,False,True,f2602feb072c6fdb9fccbbd462264bcb103d8709e584f9af555f0d2521844733,84fffecc93bf6ef85157a60bd2579b176f9320fa93cd585e990769a266262685,61be9eb59d8a2ad66ebf4f555876d740585dc8b86c12ecde41755fadd7e03669,61be9eb59d8a2ad66ebf4f555876d740585dc8b86c12ecde41755fadd7e03669,strict_protocol_sha256_commit_provenance_only
match_overlap,match_overlap_segment_trace.csv.gz,True,True,False,True,dd7a4505423e5b8914cc2fa6ed4c5c668bc8a5f9dfa083993b9e886075f16ef1,89b0d5123a3676ea6341de760f9fc13521fe396f95f2f0362c1f22a8e1c858e6,a876f0bdd70452bd4cb00bb1d522a9e52a4a6caf3b27d3d5d8be35e2f27c80f0,a876f0bdd70452bd4cb00bb1d522a9e52a4a6caf3b27d3d5d8be35e2f27c80f0,gzip_header_metadata_only
