module,imported_symbols,used_by_cli_option,used_on_strict_default_path,import_time_only,runtime_only,reads_model_state,writes_model_state,uses_ground_truth,uses_future_data,emits_files,formats_rows,performs_analysis,affects_prediction,affects_learning,affects_rng,classification,recommended_action
experiments.diagnostics.fig9_competitive_inhibition,"CompetitionResult;CompetitionSettings;candidates_for_prediction;compete_prediction_candidates;emitted_prediction_code;summarize_competition","--competition-mode;--inhibition-strength;--inhibition-tau;--simultaneous-policy;--simultaneous-bin-width",true,false,true,true,false,false,false,false,true,true,true,false,false,DIAGNOSTIC_MODEL_TRANSFORM,DEFERRED_SCIENTIFIC_RISK
experiments.diagnostics.fig9_oracle_candidate,"FieldColumnRanges;analyze_oracle_step;summarize_oracle_rows",--oracle-candidate-diagnostic,false,true,true,true,false,true,true,false,true,true,false,false,false,ORACLE,LAZY_LOAD
experiments.diagnostics.fig9_candidate_score_trace,"candidate_score_trace_rows;field_for_column",--candidate-separability-trace,false,true,true,true,false,true,true,false,true,false,false,false,false,READ_ONLY_TRACE,LAZY_LOAD
experiments.diagnostics.fig9_candidate_context_oracle,"ContextCompositionIndex;project_actual_composition_rows;write_join_outputs",--context-oracle-unified-trace,false,true,true,true,false,true,true,true,true,true,false,false,false,ORACLE,LAZY_LOAD
experiments.diagnostics.fig9_branch_provenance,"BRANCH_LEVELS;DIAGNOSTIC_MARKERS;BranchProvenanceRegistry;branch_trace_rows;summarize_branch_steps",--branch-provenance-diagnostic,false,true,true,true,false,false,false,false,true,true,false,false,false,READ_ONLY_TRACE,LAZY_LOAD
experiments.diagnostics.fig9_preselection_segments,"DIAGNOSTIC_MARKERS;PRESELECTION_LEVELS;build_preselection_rows",--preselection-segment-diagnostic,false,true,true,true,false,false,false,false,true,true,false,false,false,READ_ONLY_TRACE,LAZY_LOAD
experiments.diagnostics.fig9_teacher_forced_identity,"DIAGNOSTIC_MARKERS;OBSERVE_SCENARIO_LEVELS;REFERENCE_NEURON_SELECTION_LEVELS;TEACHER_FORCED_LEVELS;build_teacher_forced_observation_rows;legacy_teacher_forced_rows;observe_scenario_rows","--teacher-forced-winner-diagnostic;--observe-scenario-diagnostic;--reference-neuron-selection-diagnostic",false,true,true,true,false,true,false,false,true,true,false,false,false,ORACLE,LAZY_LOAD
experiments.diagnostics.fig9_intracolumn_selector,"DIAGNOSTIC_MARKERS;SELECTOR_VERSION;mark_competition_outcomes;selection_trace_rows;summarize_selection_rows;write_selection_trace","--intracolumn-selection-diagnostic;--intracolumn-selection-policy",true,true,true,true,false,true,true,true,true,true,false,false,false,READ_ONLY_TRACE,LAZY_LOAD_WITH_EMPTY_CALL_GUARD
experiments.diagnostics.fig9_readout_dynamics,"READOUT_TRACE_FIELDS;build_readout_column_rows;write_readout_trace",--readout-dynamics-trace,false,true,true,true,false,true,true,true,true,true,false,false,false,READ_ONLY_TRACE,LAZY_LOAD
experiments.diagnostics.fig9_match_overlap,"DIAGNOSTIC_MARKERS;MATCH_OVERLAP_LEVELS;SourceTraceFilter;capture_match_overlap;filter_source_trace_rows;finalize_match_overlap",--match-overlap-diagnostic,false,true,true,true,false,true,false,false,true,true,false,false,false,READ_ONLY_TRACE,LAZY_LOAD
experiments.diagnostics.fig9_segment_context_composition,"LEVELS;MARKERS;SegmentContextCompositionTracker;protocol",--segment-context-composition-diagnostic,false,true,true,true,false,true,false,true,true,true,false,false,false,READ_ONLY_TRACE,LAZY_LOAD
experiments.diagnostics.fig9_context_trajectory,"CONTEXT_TRAJECTORY_LEVELS;CONTEXT_TRAJECTORY_MARKERS;ContextTrajectoryTracker",--context-trajectory-diagnostic,false,true,true,true,false,true,false,false,true,true,false,false,false,READ_ONLY_TRACE,LAZY_LOAD
experiments.diagnostics.fig9_temporal_context,"TemporalContextTracker;protocol",--temporal-context-diagnostic,false,true,true,true,false,true,false,true,true,true,false,false,false,READ_ONLY_TRACE,LAZY_LOAD
experiments.diagnostics.fig9_autonomous_context_provenance,"AutonomousContextProvenanceTracker;protocol",--autonomous-context-provenance-diagnostic,false,true,true,true,false,true,true,true,true,true,false,false,false,READ_ONLY_TRACE,LAZY_LOAD
experiments.diagnostics.fig9_segment_reinforcement,"DIAGNOSTIC_MARKERS;SEGMENT_REINFORCEMENT_LEVELS;build_segment_reinforcement_rows;enrich_segment_reinforcement_rows",--segment-reinforcement-diagnostic,false,true,true,true,false,true,false,false,true,true,false,false,false,READ_ONLY_TRACE,LAZY_LOAD
experiments.diagnostics.fig9_ambiguity,"AmbiguityReuseState;build_actual_observation_rows;build_autonomous_rollout_rows;protocol",--ambiguity-diagnostic,true,false,true,true,false,true,false,false,true,true,false,false,false,READ_ONLY_TRACE,DEFERRED_CHECKPOINT_COUPLING
experiments.diagnostics.fig9_independent_reference,"IndependentReferenceTracker;capture_before_matching;join_after_observation;protocol;record_actual_history;write_trace",--independent-reference-diagnostic,true,false,true,true,false,true,false,true,true,true,false,false,false,ORACLE,DEFERRED_CHECKPOINT_COUPLING
experiments.diagnostics.fig9_actual_branch_provenance,"ActualBranchProvenanceTracker;capture_prematch;join_after_observation;record_actual_transition;write_lineage_registry;write_registry;write_rows;MARKERS",--actual-branch-provenance-diagnostic,true,false,true,true,false,true,false,true,true,true,false,false,false,READ_ONLY_TRACE,DEFERRED_CHECKPOINT_COUPLING
