model,elements,mean_moving_accuracy,std_moving_accuracy,completed_trials
ELM,250,0.7307692307692307,0.0,1
ELM,500,0.6981132075471698,0.0,1
ELM,750,0.7341772151898734,0.0,1
ELM,1000,0.79,0.0,1
ELM,1250,0.84,0.0,1
ELM,1500,0.91,0.0,1
ELM,1750,0.96,0.0,1
ELM,2000,0.99,0.0,1
ELM,2250,1.0,0.0,1
ELM,2500,1.0,0.0,1
ELM,2750,1.0,0.0,1
ELM,3000,1.0,0.0,1
ELM,3250,1.0,0.0,1
ELM,3500,1.0,0.0,1
ELM,3750,1.0,0.0,1
ELM,4000,1.0,0.0,1
ELM,4250,1.0,0.0,1
ELM,4500,1.0,0.0,1
ELM,4750,1.0,0.0,1
ELM,5000,1.0,0.0,1
ELM,5250,1.0,0.0,1
ELM,5500,1.0,0.0,1
ELM,5750,1.0,0.0,1
ELM,6000,1.0,0.0,1
ELM,6250,1.0,0.0,1
ELM,6500,1.0,0.0,1
ELM,6750,1.0,0.0,1
ELM,7000,1.0,0.0,1
ELM,7250,1.0,0.0,1
ELM,7500,1.0,0.0,1
ELM,7750,1.0,0.0,1
ELM,8000,1.0,0.0,1
ELM,8250,1.0,0.0,1
ELM,8500,1.0,0.0,1
ELM,8750,1.0,0.0,1
ELM,9000,1.0,0.0,1
ELM,9250,1.0,0.0,1
ELM,9500,1.0,0.0,1
ELM,9750,1.0,0.0,1
ELM,10000,1.0,0.0,1
ELM,10250,0.79,0.0,1
ELM,10500,0.61,0.0,1
ELM,10750,0.42,0.0,1
ELM,11000,0.33,0.0,1
ELM,11250,0.42,0.0,1
ELM,11500,0.53,0.0,1
ELM,11750,0.68,0.0,1
ELM,12000,0.78,0.0,1
ELM,12250,0.84,0.0,1
ELM,12500,0.9,0.0,1
ELM,12750,0.93,0.0,1
ELM,13000,0.98,0.0,1
ELM,13250,0.98,0.0,1
ELM,13500,0.99,0.0,1
ELM,13750,1.0,0.0,1
ELM,14000,1.0,0.0,1
ELM,14250,1.0,0.0,1
ELM,14500,1.0,0.0,1
ELM,14750,1.0,0.0,1
ELM,15000,1.0,0.0,1
ELM,15250,1.0,0.0,1
ELM,15500,1.0,0.0,1
ELM,15750,1.0,0.0,1
ELM,16000,1.0,0.0,1
ELM,16250,1.0,0.0,1
ELM,16500,1.0,0.0,1
ELM,16750,1.0,0.0,1
ELM,17000,1.0,0.0,1
ELM,17250,1.0,0.0,1
ELM,17500,1.0,0.0,1
ELM,17750,1.0,0.0,1
ELM,18000,1.0,0.0,1
ELM,18250,1.0,0.0,1
ELM,18500,1.0,0.0,1
ELM,18750,1.0,0.0,1
ELM,19000,1.0,0.0,1
ELM,19250,1.0,0.0,1
ELM,19500,1.0,0.0,1
ELM,19750,1.0,0.0,1
ELM,20000,1.0,0.0,1
ELM,20250,1.0,0.0,1
ELM,20500,1.0,0.0,1
ELM,20750,1.0,0.0,1
ELM,21000,1.0,0.0,1
ELM,21250,1.0,0.0,1
ELM,21500,1.0,0.0,1
ELM,21750,1.0,0.0,1
ELM,22000,1.0,0.0,1
ELM,22250,1.0,0.0,1
ELM,22500,1.0,0.0,1
ELM,22750,1.0,0.0,1
ELM,23000,1.0,0.0,1
ELM,23250,1.0,0.0,1
ELM,23500,1.0,0.0,1
ELM,23750,1.0,0.0,1
ELM,24000,1.0,0.0,1
ELM,24250,1.0,0.0,1
ELM,24500,1.0,0.0,1
ELM,24750,1.0,0.0,1
ELM,25000,1.0,0.0,1
ELM,25250,1.0,0.0,1
ELM,25500,1.0,0.0,1
ELM,25750,1.0,0.0,1
ELM,26000,1.0,0.0,1
ELM,26250,1.0,0.0,1
ELM,26500,1.0,0.0,1
ELM,26750,1.0,0.0,1
ELM,27000,1.0,0.0,1
ELM,27250,1.0,0.0,1
ELM,27500,1.0,0.0,1
ELM,27750,1.0,0.0,1
ELM,28000,1.0,0.0,1
ELM,28250,1.0,0.0,1
HTM,250,0.5384615384615384,0.0,1
HTM,500,0.5849056603773585,0.0,1
HTM,750,0.6329113924050633,0.0,1
HTM,1000,0.66,0.0,1
HTM,1250,0.67,0.0,1
HTM,1500,0.73,0.0,1
HTM,1750,0.74,0.0,1
HTM,2000,0.76,0.0,1
HTM,2250,0.74,0.0,1
HTM,2500,0.74,0.0,1
HTM,2750,0.77,0.0,1
HTM,3000,0.84,0.0,1
HTM,3250,0.91,0.0,1
HTM,3500,0.93,0.0,1
HTM,3750,0.99,0.0,1
HTM,4000,1.0,0.0,1
HTM,4250,1.0,0.0,1
HTM,4500,1.0,0.0,1
HTM,4750,1.0,0.0,1
HTM,5000,1.0,0.0,1
HTM,5250,1.0,0.0,1
HTM,5500,1.0,0.0,1
HTM,5750,1.0,0.0,1
HTM,6000,1.0,0.0,1
HTM,6250,1.0,0.0,1
HTM,6500,1.0,0.0,1
HTM,6750,1.0,0.0,1
HTM,7000,1.0,0.0,1
HTM,7250,1.0,0.0,1
HTM,7500,1.0,0.0,1
HTM,7750,1.0,0.0,1
HTM,8000,1.0,0.0,1
HTM,8250,1.0,0.0,1
HTM,8500,1.0,0.0,1
HTM,8750,1.0,0.0,1
HTM,9000,1.0,0.0,1
HTM,9250,1.0,0.0,1
HTM,9500,1.0,0.0,1
HTM,9750,1.0,0.0,1
HTM,10000,1.0,0.0,1
HTM,10250,0.84,0.0,1
HTM,10500,0.69,0.0,1
HTM,10750,0.58,0.0,1
HTM,11000,0.49,0.0,1
HTM,11250,0.47,0.0,1
HTM,11500,0.46,0.0,1
HTM,11750,0.47,0.0,1
HTM,12000,0.5,0.0,1
HTM,12250,0.58,0.0,1
HTM,12500,0.69,0.0,1
HTM,12750,0.69,0.0,1
HTM,13000,0.76,0.0,1
HTM,13250,0.78,0.0,1
HTM,13500,0.78,0.0,1
HTM,13750,0.83,0.0,1
HTM,14000,0.86,0.0,1
HTM,14250,0.94,0.0,1
HTM,14500,0.99,0.0,1
HTM,14750,1.0,0.0,1
HTM,15000,1.0,0.0,1
HTM,15250,1.0,0.0,1
HTM,15500,1.0,0.0,1
HTM,15750,1.0,0.0,1
HTM,16000,1.0,0.0,1
HTM,16250,1.0,0.0,1
HTM,16500,1.0,0.0,1
HTM,16750,1.0,0.0,1
HTM,17000,1.0,0.0,1
HTM,17250,1.0,0.0,1
HTM,17500,1.0,0.0,1
HTM,17750,1.0,0.0,1
HTM,18000,1.0,0.0,1
HTM,18250,1.0,0.0,1
HTM,18500,1.0,0.0,1
HTM,18750,1.0,0.0,1
HTM,19000,1.0,0.0,1
HTM,19250,1.0,0.0,1
HTM,19500,1.0,0.0,1
HTM,19750,1.0,0.0,1
HTM,20000,1.0,0.0,1
HTM,20250,1.0,0.0,1
HTM,20500,1.0,0.0,1
HTM,20750,1.0,0.0,1
HTM,21000,1.0,0.0,1
HTM,21250,1.0,0.0,1
HTM,21500,1.0,0.0,1
HTM,21750,1.0,0.0,1
HTM,22000,1.0,0.0,1
HTM,22250,1.0,0.0,1
HTM,22500,1.0,0.0,1
HTM,22750,1.0,0.0,1
HTM,23000,1.0,0.0,1
HTM,23250,1.0,0.0,1
HTM,23500,1.0,0.0,1
HTM,23750,1.0,0.0,1
HTM,24000,1.0,0.0,1
HTM,24250,1.0,0.0,1
HTM,24500,1.0,0.0,1
HTM,24750,1.0,0.0,1
HTM,25000,1.0,0.0,1
HTM,25250,1.0,0.0,1
HTM,25500,1.0,0.0,1
HTM,25750,1.0,0.0,1
HTM,26000,1.0,0.0,1
HTM,26250,1.0,0.0,1
HTM,26500,1.0,0.0,1
HTM,26750,1.0,0.0,1
HTM,27000,1.0,0.0,1
HTM,27250,1.0,0.0,1
HTM,27500,1.0,0.0,1
HTM,27750,1.0,0.0,1
HTM,28000,1.0,0.0,1
HTM,28250,1.0,0.0,1
LSTM,250,0.6153846153846154,0.0,1
LSTM,500,0.5849056603773585,0.0,1
LSTM,750,0.5569620253164557,0.0,1
LSTM,1000,0.62,0.0,1
LSTM,1250,0.55,0.0,1
LSTM,1500,0.51,0.0,1
LSTM,1750,0.53,0.0,1
LSTM,2000,0.48,0.0,1
LSTM,2250,0.49,0.0,1
LSTM,2500,0.46,0.0,1
LSTM,2750,0.48,0.0,1
LSTM,3000,0.43,0.0,1
LSTM,3250,0.43,0.0,1
LSTM,3500,0.36,0.0,1
LSTM,3750,0.38,0.0,1
LSTM,4000,0.45,0.0,1
LSTM,4250,0.48,0.0,1
LSTM,4500,0.51,0.0,1
LSTM,4750,0.48,0.0,1
LSTM,5000,0.47,0.0,1
LSTM,5250,0.48,0.0,1
LSTM,5500,0.51,0.0,1
LSTM,5750,0.6,0.0,1
LSTM,6000,0.58,0.0,1
LSTM,6250,0.68,0.0,1
LSTM,6500,0.66,0.0,1
LSTM,6750,0.68,0.0,1
LSTM,7000,0.68,0.0,1
LSTM,7250,0.65,0.0,1
LSTM,7500,0.64,0.0,1
LSTM,7750,0.62,0.0,1
LSTM,8000,0.66,0.0,1
LSTM,8250,0.69,0.0,1
LSTM,8500,0.68,0.0,1
LSTM,8750,0.65,0.0,1
