elements,moving_accuracy_100,cumulative_accuracy
250,0.26666666666666666,0.26666666666666666
500,0.4406779661016949,0.4406779661016949
750,0.45454545454545453,0.45454545454545453
1000,0.55,0.49572649572649574
1250,0.54,0.5034013605442177
1500,0.52,0.4915254237288136
1750,0.53,0.5048543689320388
2000,0.56,0.5169491525423728
2250,0.55,0.5207547169811321
2500,0.62,0.5423728813559322
2750,0.66,0.5648148148148148
3000,0.76,0.5807365439093485
3250,0.8,0.6020942408376964
3500,0.82,0.6180048661800487
3750,0.78,0.6235827664399093
4000,0.74,0.625531914893617
4250,0.65,0.6212424849699398
4500,0.58,0.6174242424242424
4750,0.59,0.6218637992831542
5000,0.59,0.6183986371379898
5250,0.62,0.6207455429497569
5500,0.63,0.6222910216718266
5750,0.69,0.6272189349112426
6000,0.71,0.6340425531914894
6250,0.81,0.6448979591836734
6500,0.75,0.6418300653594772
6750,0.72,0.640251572327044
7000,0.62,0.6395631067961165
7250,0.62,0.639344262295082
7500,0.63,0.638731596828992
7750,0.64,0.6414473684210527
8000,0.64,0.640807651434644
8250,0.66,0.6405767250257467
8500,0.65,0.6403596403596403
8750,0.65,0.6427184466019418
9000,0.72,0.6490566037735849
9250,0.81,0.6565656565656566
9500,0.79,0.6559428060768543
9750,0.81,0.65970409051349
10000,0.75,0.6624257845631891
10250,0.68,0.6597682119205298
10500,0.72,0.6631663974151858
10750,0.7,0.6629834254143646
11000,0.72,0.6635802469135802
11250,0.68,0.6641509433962264
11500,0.73,0.6674041297935103
11750,0.72,0.6671480144404333
12000,0.74,0.6685512367491167
12250,0.72,0.6689750692520776
12500,0.7,0.6689280868385346
12750,0.67,0.669328010645376
13000,0.68,0.6690600522193212
13250,0.67,0.6690140845070423
13500,0.69,0.6700188560653677
13750,0.7,0.6705737199259716
14000,0.72,0.6721212121212121
14250,0.73,0.6726190476190477
14500,0.7,0.6723229959040374
14750,0.74,0.6754890678941312
15000,0.74,0.6759049773755657
15250,0.81,0.6800222593210907
15500,0.81,0.6819923371647509
15750,0.81,0.6826508620689655
16000,0.81,0.6859416445623342
16250,0.78,0.6875653082549634
16500,0.87,0.6917138445702522
16750,0.84,0.6923466801824633
17000,0.85,0.6958041958041958
17250,0.87,0.6988188976377953
17500,0.9,0.7007759456838021
17750,0.82,0.7006217120994739
18000,0.76,0.7015558698727016
18250,0.71,0.7004651162790698
18500,0.69,0.7007801743919229
18750,0.7,0.7006340579710145
19000,0.69,0.7001787310098302
19250,0.67,0.6991618879576533
19500,0.67,0.6990418118466899
19750,0.65,0.6986242476354256
20000,0.64,0.6973684210526315
