elements,moving_accuracy_100,cumulative_accuracy
250,0.11538461538461539,0.11538461538461539
500,0.22641509433962265,0.22641509433962265
750,0.3037974683544304,0.3037974683544304
1000,0.41,0.3904761904761905
1250,0.57,0.48484848484848486
1500,0.67,0.5189873417721519
1750,0.78,0.5706521739130435
2000,0.81,0.6
2250,0.85,0.6413502109704642
2500,0.88,0.6666666666666666
2750,0.91,0.6941580756013745
3000,0.96,0.720125786163522
3250,0.96,0.7383720930232558
3500,0.97,0.7513513513513513
3750,0.96,0.7657430730478589
4000,0.97,0.7806603773584906
4250,0.97,0.7933333333333333
4500,1.0,0.8046218487394958
4750,0.99,0.8127490039840638
5000,0.98,0.8200757575757576
5250,0.97,0.8267148014440433
5500,0.97,0.8344827586206897
5750,0.98,0.841845140032949
6000,0.99,0.8483412322274881
6250,1.0,0.8545454545454545
6500,0.99,0.858806404657933
6750,0.96,0.8595505617977528
7000,0.96,0.864314789687924
7250,0.95,0.8678010471204188
7500,0.96,0.8721518987341772
7750,0.99,0.8763769889840881
8000,0.99,0.8801897983392646
8250,0.99,0.8826237054085155
8500,0.99,0.8860335195530726
8750,0.98,0.8881650380021715
9000,0.99,0.8912354804646251
9250,0.98,0.8931140801644398
9500,0.98,0.8961038961038961
9750,0.99,0.8987341772151899
10000,0.99,0.9012345679012346
10250,0.99,0.9026876737720111
10500,0.99,0.9051490514905149
10750,0.98,0.9065255731922398
11000,0.98,0.9087779690189329
11250,0.97,0.9090909090909091
11500,0.97,0.9110378912685337
11750,0.98,0.9129032258064517
12000,0.97,0.9139700078926598
12250,0.99,0.9156999226604795
12500,0.99,0.9174242424242425
12750,0.98,0.9182763744427934
13000,0.98,0.9190962099125365
13250,0.96,0.919170243204578
13500,0.96,0.9206460674157303
13750,0.98,0.9221226740179187
14000,0.99,0.9235453315290933
14250,1.0,0.9248670212765957
14500,1.0,0.9261920313520575
14750,1.0,0.9274245343609505
15000,1.0,0.9286616161616161
15250,0.99,0.9291485394655066
15500,0.98,0.9297495418448382
15750,0.98,0.9308062575210589
16000,0.99,0.9319123741859088
16250,1.0,0.932983682983683
16500,1.0,0.934021801491681
16750,0.98,0.9338609383832673
17000,0.97,0.9342618384401115
17250,0.96,0.9346871569703622
17500,0.97,0.9356408869659275
17750,0.98,0.9365671641791045
18000,0.98,0.9369416710457172
18250,0.98,0.9372731985484707
18500,0.95,0.9366053169734151
18750,0.95,0.9374369323915237
19000,0.96,0.9377490039840638
19250,0.98,0.9385447394296952
19500,0.97,0.9383794274623969
19750,0.94,0.9377096310493531
20000,0.95,0.9384469696969697
20250,0.95,0.9391955098222639
20500,0.97,0.9399260628465804
20750,0.99,0.9401826484018265
21000,0.99,0.9408844765342961
21250,0.99,0.9415700267618198
21500,0.98,0.9417989417989417
21750,0.98,0.9419973833406018
22000,0.97,0.9422413793103448
22250,0.97,0.9428815004262575
22500,0.97,0.9430860033726813
22750,0.97,0.9433097123801584
23000,0.97,0.9435051546391753
23250,0.97,0.9441044471644227
23500,0.97,0.9442874444893016
23750,0.99,0.944888178913738
24000,0.98,0.9450809956538917
24250,0.98,0.9456394211967148
24500,0.99,0.9462074303405573
24750,0.98,0.9463395937140667
25000,0.99,0.9468892261001517
25250,0.99,0.9474079639368895
25500,0.99,0.947936035701004
25750,1.0,0.9484536082474226
26000,0.99,0.9485964272694131
26250,0.99,0.9490974729241878
26500,0.99,0.9495708154506438
26750,0.99,0.9500354358610914
27000,1.0,0.9505089505089505
27250,1.0,0.9509565217391305
27500,1.0,0.9514128187456926
27750,1.0,0.9518607033117105
28000,0.99,0.9519458544839255
28250,0.99,0.9523809523809523
