model,elements,mean_moving_accuracy,std_moving_accuracy,source
HTM,5,0.0,0.0,Cui et al. [58] processed result
HTM,13,0.1,0.20000000000000004,Cui et al. [58] processed result
HTM,22,0.1,0.21343747458109494,Cui et al. [58] processed result
HTM,31,0.075,0.16007810593582122,Cui et al. [58] processed result
HTM,40,0.06000000000000001,0.12806248474865697,Cui et al. [58] processed result
HTM,48,0.05,0.10671873729054747,Cui et al. [58] processed result
HTM,56,0.07142857142857142,0.11517511068997928,Cui et al. [58] processed result
HTM,64,0.0875,0.1375,Cui et al. [58] processed result
HTM,72,0.1,0.1356283957303745,Cui et al. [58] processed result
HTM,80,0.1,0.1264911064067352,Cui et al. [58] processed result
HTM,88,0.1,0.12497933713515927,Cui et al. [58] processed result
HTM,96,0.11666666666666665,0.11902380714238082,Cui et al. [58] processed result
HTM,104,0.11538461538461538,0.1252216968930747,Cui et al. [58] processed result
HTM,113,0.10714285714285714,0.11627728997214073,Cui et al. [58] processed result
HTM,122,0.1,0.10852547064066473,Cui et al. [58] processed result
HTM,130,0.1,0.10155048005794952,Cui et al. [58] processed result
HTM,139,0.09411764705882354,0.09557692240748189,Cui et al. [58] processed result
HTM,148,0.08888888888888888,0.090267093384844,Cui et al. [58] processed result
HTM,156,0.0894736842105263,0.0882266032328432,Cui et al. [58] processed result
HTM,164,0.085,0.08381527307120104,Cui et al. [58] processed result
HTM,172,0.09047619047619046,0.08095238095238094,Cui et al. [58] processed result
HTM,180,0.08636363636363635,0.07727272727272727,Cui et al. [58] processed result
HTM,189,0.08695652173913045,0.07275304578557179,Cui et al. [58] processed result
HTM,197,0.08333333333333333,0.06972166887783962,Cui et al. [58] processed result
HTM,205,0.08800000000000001,0.07110555533852471,Cui et al. [58] processed result
HTM,214,0.08461538461538462,0.068370726287043,Cui et al. [58] processed result
HTM,223,0.08148148148148146,0.06583847716530065,Cui et al. [58] processed result
HTM,231,0.07857142857142858,0.06348710298082563,Cui et al. [58] processed result
HTM,239,0.07586206896551724,0.06129789253321096,Cui et al. [58] processed result
HTM,247,0.07333333333333333,0.059254629448770586,Cui et al. [58] processed result
HTM,256,0.07096774193548386,0.05734318978913283,Cui et al. [58] processed result
HTM,264,0.06875,0.05555121510822243,Cui et al. [58] processed result
HTM,273,0.0696969696969697,0.05595813731096785,Cui et al. [58] processed result
HTM,281,0.06764705882352942,0.0543123097429982,Cui et al. [58] processed result
HTM,290,0.06571428571428573,0.05276052946462682,Cui et al. [58] processed result
HTM,298,0.06388888888888888,0.051294959201720516,Cui et al. [58] processed result
HTM,306,0.06756756756756757,0.05701357597224051,Cui et al. [58] processed result
HTM,314,0.06578947368421052,0.055513218709813114,Cui et al. [58] processed result
HTM,323,0.06666666666666668,0.05869499047312613,Cui et al. [58] processed result
HTM,332,0.0675,0.05482928049865327,Cui et al. [58] processed result
HTM,340,0.06829268292682927,0.05540398386146609,Cui et al. [58] processed result
HTM,349,0.06666666666666667,0.05408484138857403,Cui et al. [58] processed result
