task,elements,mean_moving_accuracy,std_moving_accuracy,completed_trials
single,250,0.18547578347578347,0.0700702804747492,10
single,500,0.35411295142149746,0.05306987146883592,10
single,750,0.4184184855229159,0.06107841873215495,10
single,1000,0.472,0.059966657402259795,10
single,1250,0.5660000000000001,0.06296030495478877,10
single,1500,0.5890000000000001,0.05593746508378797,10
single,1750,0.605,0.05408326913195985,10
single,2000,0.632,0.06808817812219678,10
single,2250,0.654,0.08321057625085887,10
single,2500,0.685,0.09156964562561111,10
single,2750,0.7150000000000001,0.09718538984847468,10
single,3000,0.737,0.09613012014972207,10
single,3250,0.752,0.09463614531456782,10
single,3500,0.784,0.08321057625085888,10
single,3750,0.825,0.07632168761236874,10
single,4000,0.842,0.06823488843692792,10
single,4250,0.8470000000000001,0.06466065264130885,10
single,4500,0.8560000000000001,0.07059745037889115,10
single,4750,0.843,0.09423905772024675,10
single,5000,0.852,0.08863407922464135,10
single,5250,0.867,0.08000624975587844,10
single,5500,0.8630000000000001,0.07925276020429824,10
single,5750,0.876,0.07017121917139534,10
single,6000,0.8789999999999999,0.08239538822045807,10
single,6250,0.865,0.087091905479212,10
single,6500,0.861,0.08595929269136639,10
single,6750,0.8629999999999999,0.08331266410336426,10
single,7000,0.877,0.07681796664843453,10
single,7250,0.8800000000000001,0.060166435825965286,10
single,7500,0.8800000000000001,0.0626099033699941,10
single,7750,0.876,0.0657571288910944,10
single,8000,0.875,0.06280923498976883,10
single,8250,0.882,0.060794736614282655,10
single,8500,0.889,0.0645677938294317,10
single,8750,0.8939999999999999,0.057306195127577605,10
single,9000,0.9029999999999999,0.06017474553332153,10
single,9250,0.9029999999999999,0.05866003750424985,10
single,9500,0.89,0.06049793384901669,10
single,9750,0.89,0.06708203932499368,10
single,10000,0.8779999999999999,0.08084553172563094,10
single,10250,0.71,0.06985699678629191,10
single,10500,0.596,0.06151422599691879,10
single,10750,0.507,0.07975587752636165,10
single,11000,0.46399999999999997,0.11429785649783637,10
single,11250,0.581,0.10329085148259742,10
single,11500,0.671,0.10319399207318224,10
single,11750,0.745,0.06830080526611673,10
single,12000,0.808,0.07138627319029898,10
single,12250,0.8300000000000001,0.0551361950083609,10
single,12500,0.841,0.058728187440104086,10
single,12750,0.851,0.06949100661236673,10
single,13000,0.8470000000000001,0.07937883848986453,10
single,13250,0.8560000000000001,0.07670723564306042,10
single,13500,0.859,0.08549268974596598,10
single,13750,0.8550000000000001,0.08452810183601664,10
single,14000,0.869,0.08166394553289719,10
single,14250,0.867,0.08161494961096281,10
single,14500,0.86,0.08366600265340755,10
single,14750,0.8640000000000001,0.09101648202386202,10
single,15000,0.8619999999999999,0.09877246579892596,10
single,15250,0.865,0.09635870484808312,10
single,15500,0.876,0.08077128202523469,10
single,15750,0.875,0.0799061950038919,10
single,16000,0.8699999999999999,0.07536577472566709,10
single,16250,0.8619999999999999,0.07560423268574319,10
single,16500,0.867,0.08283115355951529,10
single,16750,0.868,0.08084553172563094,10
single,17000,0.8709999999999999,0.07395268757793728,10
single,17250,0.868,0.0794732659452221,10
single,17500,0.861,0.07647875521999556,10
single,17750,0.8560000000000001,0.07735631842325486,10
single,18000,0.8720000000000001,0.06779380502671317,10
single,18250,0.8710000000000001,0.05769748694700662,10
single,18500,0.875,0.055,10
single,18750,0.881,0.05318834458788881,10
single,19000,0.893,0.04879549159502341,10
single,19250,0.897,0.04900000000000001,10
single,19500,0.8960000000000001,0.04963869458396341,10
single,19750,0.9039999999999999,0.04923413450036468,10
single,20000,0.892,0.056709787515031314,10
single,20250,0.883,0.06558200972827836,10
single,20500,0.882,0.06415605972938176,10
single,20750,0.873,0.06496922348312315,10
single,21000,0.8879999999999999,0.06112282715974451,10
single,21250,0.8869999999999999,0.06512296062065975,10
single,21500,0.884,0.06437390775772432,10
single,21750,0.8789999999999999,0.07408778576796582,10
single,22000,0.875,0.07046275611981126,10
single,22250,0.882,0.07166589146867566,10
single,22500,0.891,0.06518435395092904,10
single,22750,0.897,0.06034069936618235,10
single,23000,0.889,0.06284106937345989,10
single,23250,0.883,0.06309516621738942,10
single,23500,0.877,0.06827151675479314,10
single,23750,0.8800000000000001,0.062289646009589736,10
single,24000,0.8789999999999999,0.06331666447310691,10
single,24250,0.877,0.06341135544995076,10
single,24500,0.885,0.07242237223399961,10
single,24750,0.8859999999999999,0.07213875518748573,10
single,25000,0.89,0.07375635565834308,10
single,25250,0.892,0.06569627082262736,10
single,25500,0.898,0.05509990925582364,10
single,25750,0.897,0.06116371473349212,10
single,26000,0.893,0.06419501538281613,10
single,26250,0.8859999999999999,0.07391887445030532,10
single,26500,0.876,0.08742997197757758,10
single,26750,0.8789999999999999,0.08178630692236935,10
single,27000,0.8800000000000001,0.0737563556583431,10
single,27250,0.8789999999999999,0.0706328535456412,10
single,27500,0.882,0.06584831053261729,10
single,27750,0.884,0.07241546796092668,10
single,28000,0.889,0.06579513659838392,10
single,28250,0.8949999999999999,0.0700357051795725,10
single,28500,0.9128571428571428,0.06226998490772391,7
