task,elements,mean_moving_accuracy,std_moving_accuracy,completed_trials
single,250,0.37091954022988505,0.05545438006086623,10
single,500,0.4639996103643094,0.0567559177538772,10
single,750,0.6095439771602111,0.032467287399401114,10
single,1000,0.745,0.025787593916455277,10
single,1250,0.876,0.035832945734337866,10
single,1500,0.9189999999999999,0.057,10
single,1750,0.933,0.0525452186216786,10
single,2000,0.943,0.048999999999999995,10
single,2250,0.9470000000000001,0.051,10
single,2500,0.95,0.052153619241621194,10
single,2750,0.9560000000000001,0.05122499389946279,10
single,3000,0.954,0.0538887743412299,10
single,3250,0.96,0.052725705305856276,10
single,3500,0.962,0.051536394906900505,10
single,3750,0.9560000000000001,0.05480875842417889,10
single,4000,0.959,0.04721228653645151,10
single,4250,0.959,0.047212286536451514,10
single,4500,0.961,0.045265881191025106,10
single,4750,0.9640000000000001,0.03852272056851645,10
single,5000,0.962,0.04044749683231337,10
single,5250,0.961,0.04846648326421054,10
single,5500,0.966,0.05678027826631354,10
single,5750,0.962,0.061286213784178235,10
single,6000,0.958,0.054369108876272755,10
single,6250,0.961,0.04968903299521938,10
single,6500,0.958,0.057930993431840966,10
single,6750,0.961,0.04948737212663449,10
single,7000,0.958,0.052306787322488085,10
single,7250,0.951,0.05787054518492116,10
single,7500,0.9480000000000001,0.05775811631277462,10
single,7750,0.954,0.0494368283772331,10
single,8000,0.9650000000000001,0.032939338184001195,10
single,8250,0.9629999999999999,0.04495553358597804,10
single,8500,0.9720000000000001,0.032802438933713436,10
single,8750,0.97,0.02792848008753788,10
single,9000,0.978,0.020880613017821095,10
single,9250,0.9800000000000001,0.023237900077244494,10
single,9500,0.97,0.03794733192202056,10
single,9750,0.967,0.03195309061734091,10
single,10000,0.954,0.040298883359219766,10
single,10250,0.756,0.03878143885933064,10
single,10500,0.661,0.047843494855622754,10
single,10750,0.609,0.0738173421358423,10
single,11000,0.719,0.09502105029939419,10
single,11250,0.8099999999999999,0.10788883167408941,10
single,11500,0.8720000000000001,0.09453041838477177,10
single,11750,0.889,0.07408778576796582,10
single,12000,0.9129999999999999,0.05831809324729333,10
single,12250,0.93,0.04195235392680606,10
single,12500,0.9480000000000001,0.036551333764994115,10
single,12750,0.96,0.040987803063838375,10
single,13000,0.9570000000000001,0.04859012245302536,10
single,13250,0.953,0.052735187493740836,10
single,13500,0.943,0.06034069936618237,10
single,13750,0.945,0.05748912940721925,10
single,14000,0.9369999999999999,0.07510659092250158,10
single,14250,0.9390000000000001,0.07542545989253228,10
single,14500,0.944,0.0649923072370877,10
single,14750,0.943,0.056753854494650854,10
single,15000,0.9470000000000001,0.04382921400162224,10
single,15250,0.945,0.051429563482495166,10
single,15500,0.9460000000000001,0.048,10
single,15750,0.9480000000000001,0.04935585071701226,10
single,16000,0.952,0.05844655678480984,10
single,16250,0.954,0.05642694391866352,10
single,16500,0.953,0.06148983655857282,10
single,16750,0.9490000000000001,0.052430906915673314,10
single,17000,0.9490000000000001,0.04346262762420145,10
single,17250,0.95,0.05059644256269407,10
single,17500,0.9490000000000001,0.057697486947006604,10
single,17750,0.9470000000000001,0.06588626564011651,10
single,18000,0.9480000000000001,0.0745385806143369,10
single,18250,0.944,0.07186097689288672,10
single,18500,0.9560000000000001,0.06575712889109438,10
single,18750,0.9570000000000001,0.06841783393238929,10
single,19000,0.961,0.06236184731067545,10
single,19250,0.953,0.06694027188471824,10
single,19500,0.942,0.08340263784797218,10
single,19750,0.9349999999999999,0.10993179703798169,10
single,20000,0.938,0.11391224692718514,10
multiple-2,250,0.30942528735632185,0.05183589459333866,10
multiple-2,500,0.38774790570816287,0.041841455880094414,10
multiple-2,750,0.5214372512415906,0.029762778173313725,10
multiple-2,1000,0.65,0.04979959839195493,10
multiple-2,1250,0.805,0.04566180022732348,10
multiple-2,1500,0.8699999999999999,0.05813776741499454,10
multiple-2,1750,0.8859999999999999,0.061838499334961224,10
multiple-2,2000,0.907,0.061000000000000006,10
multiple-2,2250,0.9,0.07707139547199077,10
multiple-2,2500,0.9119999999999999,0.07236021006050217,10
multiple-2,2750,0.909,0.07203471385380801,10
multiple-2,3000,0.9129999999999999,0.06573431371817917,10
multiple-2,3250,0.914,0.0802745289615579,10
multiple-2,3500,0.914,0.08879189152169244,10
multiple-2,3750,0.9109999999999999,0.0898276126811795,10
multiple-2,4000,0.9189999999999999,0.07569015788066503,10
multiple-2,4250,0.932,0.06305553108173777,10
multiple-2,4500,0.9400000000000001,0.04582575694955839,10
multiple-2,4750,0.9490000000000001,0.04085339643163098,10
multiple-2,5000,0.943,0.046270941205037094,10
multiple-2,5250,0.942,0.040447496832313364,10
multiple-2,5500,0.945,0.03956008088970495,10
multiple-2,5750,0.9460000000000001,0.042941821107167766,10
multiple-2,6000,0.9359999999999999,0.04608687448721164,10
multiple-2,6250,0.938,0.044452221541785734,10
multiple-2,6500,0.9289999999999999,0.05412023651093924,10
multiple-2,6750,0.9410000000000001,0.04968903299521937,10
multiple-2,7000,0.9390000000000001,0.046141087980237305,10
multiple-2,7250,0.946,0.03979949748426479,10
multiple-2,7500,0.953,0.0355105618091294,10
multiple-2,7750,0.952,0.04975942121849892,10
multiple-2,8000,0.9550000000000001,0.04759201613716317,10
multiple-2,8250,0.9560000000000001,0.046303347611160894,10
multiple-2,8500,0.959,0.040853396431630995,10
multiple-2,8750,0.9629999999999999,0.035791060336346554,10
multiple-2,9000,0.9570000000000001,0.03522782990761707,10
multiple-2,9250,0.9550000000000001,0.0456618002273235,10
multiple-2,9500,0.9560000000000001,0.0431740662898458,10
multiple-2,9750,0.9640000000000001,0.041521078984053376,10
multiple-2,10000,0.9550000000000001,0.056258332716140814,10
multiple-4,250,0.29551724137931035,0.06743209029406454,10
multiple-4,500,0.34643191116306254,0.059759881692572646,10
multiple-4,750,0.4520783875171709,0.05260165971059307,10
multiple-4,1000,0.584,0.041279534881100574,10
multiple-4,1250,0.726,0.06696267617113284,10
multiple-4,1500,0.8240000000000001,0.062000000000000006,10
multiple-4,1750,0.8720000000000001,0.05211525688318153,10
multiple-4,2000,0.899,0.05940538696111659,10
multiple-4,2250,0.907,0.06213694553162394,10
multiple-4,2500,0.914,0.05624944444170092,10
multiple-4,2750,0.907,0.062136945531623924,10
multiple-4,3000,0.9039999999999999,0.06003332407921453,10
multiple-4,3250,0.909,0.06549045732013176,10
multiple-4,3500,0.9099999999999999,0.06723094525588642,10
multiple-4,3750,0.923,0.052163205422979905,10
multiple-4,4000,0.923,0.05040833264451425,10
multiple-4,4250,0.931,0.03884584919911006,10
multiple-4,4500,0.9359999999999999,0.03352610922848041,10
multiple-4,4750,0.9369999999999999,0.034942810419312284,10
multiple-4,5000,0.944,0.025768197453450235,10
multiple-4,5250,0.946,0.029393876913398127,10
multiple-4,5500,0.942,0.035721142198983494,10
multiple-4,5750,0.9339999999999999,0.040546269865426574,10
multiple-4,6000,0.9269999999999999,0.04517742799230606,10
multiple-4,6250,0.931,0.04721228653645151,10
multiple-4,6500,0.933,0.05728001396647873,10
multiple-4,6750,0.9410000000000001,0.05430469592954187,10
multiple-4,7000,0.9390000000000001,0.06331666447310691,10
multiple-4,7250,0.938,0.06415605972938175,10
multiple-4,7500,0.9349999999999999,0.0571401785086466,10
multiple-4,7750,0.9359999999999999,0.05407402333838308,10
multiple-4,8000,0.9400000000000001,0.05215361924162119,10
multiple-4,8250,0.942,0.05075431016179808,10
multiple-4,8500,0.9490000000000001,0.04699999999999999,10
multiple-4,8750,0.9560000000000001,0.0363868107973205,10
multiple-4,9000,0.959,0.027367864366808,10
multiple-4,9250,0.962,0.023151673805580437,10
multiple-4,9500,0.9570000000000001,0.02451530134426252,10
multiple-4,9750,0.9650000000000001,0.018574175621006706,10
multiple-4,10000,0.9650000000000001,0.02156385865284782,10
