task,elements,mean_moving_accuracy,std_moving_accuracy,completed_trials
single,250,0.3057471264367816,0.05588618749950905,10
single,500,0.3843327488797974,0.041887714925791,10
single,750,0.42082121094713115,0.02796233117049707,10
single,1000,0.514,0.034985711369071804,10
single,1250,0.538,0.03893584466786357,10
single,1500,0.589,0.043920382511995495,10
single,1750,0.6,0.03464101615137754,10
single,2000,0.6060000000000001,0.05765414122159831,10
single,2250,0.617,0.06213694553162392,10
single,2500,0.621,0.06920260110718382,10
single,2750,0.646,0.08487638069569178,10
single,3000,0.688,0.09389355675444402,10
single,3250,0.7190000000000001,0.1049237818609299,10
single,3500,0.74,0.10972693379476162,10
single,3750,0.758,0.09368030742904293,10
single,4000,0.753,0.10315522284402279,10
single,4250,0.752,0.08749857141690942,10
single,4500,0.749,0.10606130302801302,10
single,4750,0.742,0.11728597529116598,10
single,5000,0.746,0.10051865498503253,10
single,5250,0.751,0.08949301648732153,10
single,5500,0.767,0.08185963596303127,10
single,5750,0.78,0.08910667763978186,10
single,6000,0.795,0.0785175139698144,10
single,6250,0.8109999999999999,0.049284886121406433,10
single,6500,0.82,0.04732863826479693,10
single,6750,0.826,0.082365041127896,10
single,7000,0.842,0.0906421535489973,10
single,7250,0.819,0.08848163651289459,10
single,7500,0.8009999999999999,0.11175419455215092,10
single,7750,0.792,0.11728597529116598,10
single,8000,0.766,0.14221111067704942,10
single,8250,0.773,0.14276203977248292,10
single,8500,0.755,0.1290155029444136,10
single,8750,0.751,0.11562439189029275,10
single,9000,0.732,0.10264501936285071,10
single,9250,0.722,0.09108238029388559,10
single,9500,0.7140000000000001,0.08800000000000001,10
single,9750,0.72,0.08809086218218094,10
single,10000,0.735,0.09871676655968832,10
single,10250,0.667,0.0751065909225016,10
single,10500,0.643,0.06870953354520755,10
single,10750,0.631,0.08745856161634491,10
single,11000,0.696,0.11421033228215388,10
single,11250,0.745,0.1257179382586272,10
single,11500,0.74,0.12190159966136621,10
single,11750,0.74,0.1293058390019569,10
single,12000,0.737,0.10649413129370087,10
single,12250,0.717,0.10872442227944927,10
single,12500,0.7230000000000001,0.11636580253665593,10
single,12750,0.724,0.10809255293497329,10
single,13000,0.723,0.09798469268207151,10
single,13250,0.737,0.08222530024268687,10
single,13500,0.7350000000000001,0.07046275611981126,10
single,13750,0.749,0.05889821729050888,10
single,14000,0.744,0.07158212067269311,10
single,14250,0.761,0.07867019766086773,10
single,14500,0.755,0.08417244204607588,10
single,14750,0.749,0.1014347080638575,10
single,15000,0.748,0.08997777503361595,10
single,15250,0.753,0.07142128534267639,10
