task,elements,mean_moving_accuracy,std_moving_accuracy,completed_trials
single,250,0.27482758620689657,0.07670456937587955,10
single,500,0.37217806351061755,0.07256957910189685,10
single,750,0.40025140987558655,0.058762045108764385,10
single,1000,0.46799999999999997,0.054552726787943435,10
single,1250,0.495,0.03774917217635374,10
single,1500,0.504,0.04386342439892262,10
single,1750,0.51,0.05674504383644443,10
single,2000,0.512,0.056178287620752554,10
single,2250,0.534,0.05517245689653488,10
single,2500,0.5439999999999999,0.0626418390534633,10
single,2750,0.576,0.06529931086925804,10
single,3000,0.608,0.09335952013587044,10
single,3250,0.626,0.11859173664298875,10
single,3500,0.666,0.1199333148045196,10
single,3750,0.6759999999999999,0.11808471535300409,10
single,4000,0.6839999999999999,0.1070700705145934,10
single,4250,0.693,0.10469479452198184,10
single,4500,0.69,0.09197825830053533,10
single,4750,0.6809999999999999,0.08336066218546974,10
single,5000,0.671,0.05557877292636102,10
single,5250,0.647,0.04539823785126469,10
single,5500,0.661,0.08926925562588724,10
single,5750,0.666,0.10451794104363137,10
single,6000,0.687,0.0846226919921601,10
single,6250,0.6940000000000001,0.07812809993849842,10
single,6500,0.693,0.07681796664843452,10
single,6750,0.689,0.09396275858019497,10
single,7000,0.696,0.09254188241007419,10
single,7250,0.685,0.09013878188659971,10
single,7500,0.675,0.07256031973468696,10
single,7750,0.6839999999999999,0.07418894796396565,10
single,8000,0.6679999999999999,0.1013706071797935,10
single,8250,0.678,0.13746272221951666,10
single,8500,0.667,0.13835100288758298,10
single,8750,0.669,0.12210241602851271,10
single,9000,0.654,0.10071742649611339,10
single,9250,0.649,0.09812746812182611,10
single,9500,0.636,0.0863944442658207,10
single,9750,0.628,0.08588364221433556,10
single,10000,0.637,0.08649277426467486,10
single,10250,0.594,0.07459222479588606,10
single,10500,0.5940000000000001,0.06799999999999999,10
single,10750,0.593,0.08283115355951527,10
single,11000,0.626,0.09167333309092672,10
single,11250,0.6439999999999999,0.09068627239003707,10
single,11500,0.64,0.06737952211169206,10
single,11750,0.625,0.07116881339463234,10
single,12000,0.613,0.09100000000000001,10
single,12250,0.6020000000000001,0.10235233265539187,10
single,12500,0.624,0.09911609354691092,10
single,12750,0.617,0.08246817568007674,10
single,13000,0.619,0.0642572953056694,10
single,13250,0.608,0.06352952069707436,10
single,13500,0.625,0.07269800547470336,10
single,13750,0.619,0.0805543294925853,10
single,14000,0.624,0.06590902821313634,10
single,14250,0.629,0.06934695379034324,10
single,14500,0.629,0.06441273166075166,10
single,14750,0.629,0.08239538822045807,10
single,15000,0.607,0.07810889834071402,10
single,15250,0.6140000000000001,0.0690217357069496,10
single,15500,0.603,0.06356886030125125,10
single,15750,0.601,0.05906775770248943,10
single,16000,0.592,0.06523802572120037,10
single,16250,0.594,0.06785278181474949,10
single,16500,0.612,0.08435638683585257,10
single,16750,0.624,0.0882269800004511,10
single,17000,0.626,0.05953150426454887,10
single,17250,0.632,0.053254107822777404,10
single,17500,0.628,0.06569627082262736,10
single,17750,0.612,0.074,10
single,18000,0.603,0.10159232254457026,10
single,18250,0.595,0.0984123975929862,10
single,18500,0.5860000000000001,0.10575443253121829,10
single,18750,0.593,0.08246817568007674,10
single,19000,0.577,0.08544588931013593,10
single,19250,0.6,0.09633275663033836,10
single,19500,0.591,0.085492689745966,10
single,19750,0.6,0.06511528238439881,10
single,20000,0.593,0.06277738446287802,10
multiple-2,250,0.2132183908045977,0.04083696304250694,10
multiple-2,500,0.3041681278005065,0.05467323187661817,10
multiple-2,750,0.36182665476931264,0.04555406171115733,10
multiple-2,1000,0.42400000000000004,0.0494368283772331,10
multiple-2,1250,0.48600000000000004,0.06799999999999999,10
multiple-2,1500,0.489,0.061065538563088106,10
multiple-2,1750,0.507,0.05866003750424987,10
multiple-2,2000,0.528,0.058957611891934714,10
multiple-2,2250,0.564,0.06406246951218786,10
multiple-2,2500,0.599,0.06624952830020754,10
