task,elements,mean_moving_accuracy,std_moving_accuracy,completed_trials
single,250,0.26816091954022986,0.05974811708368374,10
single,500,0.34514026884862653,0.06769670339070208,10
single,750,0.37532516172965613,0.0534065166071212,10
single,1000,0.438,0.04935585071701226,10
single,1250,0.45499999999999996,0.03981205847478877,10
single,1500,0.47400000000000003,0.046946778377222,10
single,1750,0.49400000000000005,0.03440930106817052,10
single,2000,0.495,0.047381430961928525,10
single,2250,0.519,0.050487622245457345,10
single,2500,0.51,0.05966573556070518,10
single,2750,0.529,0.058215118311311535,10
single,3000,0.5700000000000001,0.07694153624668537,10
single,3250,0.587,0.0980866963456309,10
single,3500,0.626,0.11499565209172041,10
single,3750,0.646,0.11525623627379127,10
single,4000,0.646,0.11447270417003347,10
single,4250,0.654,0.1261110621634756,10
single,4500,0.651,0.10251341375644457,10
single,4750,0.642,0.08852118390532292,10
single,5000,0.6439999999999999,0.05695612346359258,10
single,5250,0.624,0.04820788317277581,10
single,5500,0.634,0.07927168473042566,10
single,5750,0.6519999999999999,0.08518215775618741,10
single,6000,0.666,0.07748548251124207,10
single,6250,0.675,0.08845903006477067,10
single,6500,0.6799999999999999,0.08706319543871567,10
single,6750,0.694,0.10041912168506555,10
single,7000,0.6990000000000001,0.08802840450672726,10
single,7250,0.683,0.08136952746575343,10
single,7500,0.667,0.07681796664843452,10
single,7750,0.6769999999999999,0.07497332859090625,10
single,8000,0.663,0.09980480950335008,10
single,8250,0.6689999999999999,0.13118307817702707,10
single,8500,0.6599999999999999,0.136088206689632,10
single,8750,0.666,0.12043255373859678,10
single,9000,0.664,0.09666436778875657,10
single,9250,0.649,0.07828793010419932,10
single,9500,0.633,0.08567963585356791,10
single,9750,0.627,0.08013114251026252,10
single,10000,0.631,0.0819084855189009,10
single,10250,0.603,0.07603288762108144,10
single,10500,0.592,0.07110555533852471,10
single,10750,0.5890000000000001,0.07980601481091508,10
single,11000,0.608,0.09724196624914574,10
single,11250,0.612,0.09967948635501689,10
single,11500,0.609,0.08780091115700336,10
single,11750,0.583,0.10159232254457026,10
single,12000,0.588,0.11599999999999999,10
single,12250,0.5740000000000001,0.1128007092176286,10
single,12500,0.593,0.12474373731775074,10
single,12750,0.604,0.10170545708072894,10
single,13000,0.613,0.07785242449660768,10
single,13250,0.6020000000000001,0.0730479294709987,10
single,13500,0.613,0.07887331614684398,10
single,13750,0.6140000000000001,0.068585712797929,10
single,14000,0.623,0.05728001396647873,10
single,14250,0.638,0.07493997598078078,10
single,14500,0.633,0.06870953354520752,10
single,14750,0.624,0.07722693830523128,10
single,15000,0.589,0.08227393268830656,10
single,15250,0.599,0.06862215385719105,10
single,15500,0.595,0.05920304046246274,10
single,15750,0.605,0.043874821936960594,10
single,16000,0.595,0.06786015030929418,10
single,16250,0.5810000000000001,0.0716170370791755,10
single,16500,0.5730000000000001,0.09033825324855467,10
single,16750,0.583,0.11036756769993618,10
single,17000,0.5820000000000001,0.08726969691708572,10
single,17250,0.587,0.06899999999999999,10
single,17500,0.592,0.05306599664568638,10
single,17750,0.596,0.06151422599691878,10
single,18000,0.604,0.0791454357496375,10
single,18250,0.608,0.07560423268574319,10
single,18500,0.616,0.08101851640211637,10
single,18750,0.61,0.07224956747275375,10
single,19000,0.594,0.07255342858886822,10
single,19250,0.593,0.08626123115281858,10
