checkpoint_sentences,sentence_index,retrieval_mode,recall_step,expected_word,decoded_word,raw_event_count,raw_predicted_column_count,prediction_active_cell_count,advance_success,timed_overlap_of_selected_word,column_overlap_of_selected_word,timed_overlap_of_expected_word,column_overlap_of_expected_word,expected_word_rank,number_of_ranked_candidates,top_5_candidates,stopped_reason,previous_active_cell_count,previous_winner_count,burst_cell_count
200,1,neural,1,would,Lady,99,99,99,True,2,3,1,1,54,70,"[{""word"": ""Lady"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""Spirit"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""1715"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""You"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""West"", ""timed_overlap"": 1, ""column_overlap"": 4}]",completed,91,10,0
200,1,neural,2,want,thought,93,93,93,True,2,4,0,0,,72,"[{""word"": ""thought"", ""timed_overlap"": 2, ""column_overlap"": 4}, {""word"": ""any"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""have"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""Oh"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""The"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,99,99,0
200,1,neural,3,to,she,91,91,91,True,2,2,0,0,,66,"[{""word"": ""she"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""challenge"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""'ve"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""bronze-colored"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""deal"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,93,93,0
200,1,neural,4,see,Emmy,93,93,93,True,2,4,0,0,,72,"[{""word"": ""Emmy"", ""timed_overlap"": 2, ""column_overlap"": 4}, {""word"": ""drug-vendor"", ""timed_overlap"": 2, ""column_overlap"": 4}, {""word"": ""Souchong"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""eggs"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""tasted"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,91,91,0
200,2,neural,1,over,that,98,98,98,True,2,3,0,0,,71,"[{""word"": ""that"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""Most"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""tunnels"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""find"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""so"", ""timed_overlap"": 2, ""column_overlap"": 2}]",completed,91,10,0
200,2,neural,2,our,any,100,100,100,True,2,2,0,0,,59,"[{""word"": ""any"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""poor"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""dragging"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""more"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""these"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,98,98,0
200,2,neural,3,heads,resisted,94,94,94,True,2,4,1,1,52,63,"[{""word"": ""resisted"", ""timed_overlap"": 2, ""column_overlap"": 4}, {""word"": ""pretence"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""face"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""lady"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""Lucinda"", ""timed_overlap"": 2, ""column_overlap"": 2}]",completed,100,100,0
200,2,neural,4,.,Tribe,88,88,88,True,2,2,0,0,,72,"[{""word"": ""Tribe"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""Worth"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""up"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""he"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""Remember"", ""timed_overlap"": 1, ""column_overlap"": 4}]",completed,94,94,0
200,3,neural,1,a,find,89,89,89,True,2,3,0,0,,62,"[{""word"": ""find"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""only"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""want"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""tried"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""underneath"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,91,10,0
200,3,neural,2,woman,end,92,92,92,True,1,4,0,0,,45,"[{""word"": ""end"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""answered"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""deal"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""--"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""rejoined"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,89,89,0
