checkpoint_sentences,sentence_index,retrieval_mode,recall_step,expected_word,decoded_word,raw_event_count,raw_predicted_column_count,prediction_active_cell_count,advance_success,timed_overlap_of_selected_word,column_overlap_of_selected_word,number_of_ranked_candidates,top_5_candidates,stopped_reason,previous_active_cell_count,previous_winner_count,burst_cell_count
100,1,proximal-replay,1,would,will,86,86,86,,2,3,48,"[{""word"": ""will"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""have"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""would"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""place"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""full"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,46,10,36
100,1,proximal-replay,2,want,the,53,53,53,,2,3,29,"[{""word"": ""the"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""evening"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""look"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""be"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""Marsch"", ""timed_overlap"": 1, ""column_overlap"": 4}]",completed,46,10,74
100,1,proximal-replay,3,to,Dacca,95,95,95,,2,3,51,"[{""word"": ""Dacca"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""girl"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""price"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""His"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""saw"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,82,10,45
100,1,proximal-replay,4,see,drug-vendor,46,46,46,,7,7,40,"[{""word"": ""drug-vendor"", ""timed_overlap"": 7, ""column_overlap"": 7}, {""word"": ""Bagheera"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""Nan"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""tasted"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""torrents"", ""timed_overlap"": 1, ""column_overlap"": 4}]",completed,55,10,28
100,2,proximal-replay,1,over,over,24,24,24,,6,6,49,"[{""word"": ""over"", ""timed_overlap"": 6, ""column_overlap"": 6}, {""word"": ""wonder"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""more"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""n't"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""sure"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,19,10,19
100,2,proximal-replay,2,our,our,31,31,31,,9,9,49,"[{""word"": ""our"", ""timed_overlap"": 9, ""column_overlap"": 9}, {""word"": ""have"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""keep"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""already"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""head"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,28,10,10
100,2,proximal-replay,3,heads,heads,16,16,16,,9,9,39,"[{""word"": ""heads"", ""timed_overlap"": 9, ""column_overlap"": 9}, {""word"": ""wonder"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""were"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""high"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""his"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,19,10,9
100,2,proximal-replay,4,.,.,41,41,41,,7,7,47,"[{""word"": ""."", ""timed_overlap"": 7, ""column_overlap"": 7}, {""word"": ""remorsefully"", ""timed_overlap"": 3, ""column_overlap"": 3}, {""word"": ""expect"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""Square"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""were"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,19,10,9
100,3,proximal-replay,1,a,a,46,46,46,,7,7,39,"[{""word"": ""a"", ""timed_overlap"": 7, ""column_overlap"": 7}, {""word"": ""only"", ""timed_overlap"": 2, ""column_overlap"": 4}, {""word"": ""her"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""almost"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""amused"", ""timed_overlap"": 1, ""column_overlap"": 2}]",completed,37,10,20
100,3,proximal-replay,2,woman,woman,46,46,46,,6,6,41,"[{""word"": ""woman"", ""timed_overlap"": 6, ""column_overlap"": 6}, {""word"": ""sensible"", ""timed_overlap"": 3, ""column_overlap"": 3}, {""word"": ""ambitions"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""man"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""do"", ""timed_overlap"": 2, ""column_overlap"": 2}]",completed,28,10,36
