checkpoint_sentences,sentence_index,retrieval_mode,recall_step,expected_word,decoded_word,raw_event_count,raw_predicted_column_count,prediction_active_cell_count,advance_success,timed_overlap_of_selected_word,column_overlap_of_selected_word,timed_overlap_of_expected_word,column_overlap_of_expected_word,expected_word_rank,number_of_ranked_candidates,top_5_candidates,stopped_reason,previous_active_cell_count,previous_winner_count,burst_cell_count
500,1,proximal-replay,1,would,Fox,100,100,100,,2,2,0,0,,144,"[{""word"": ""Fox"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""AND"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""Sultan"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""hopelessly"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""give"", ""timed_overlap"": 1, ""column_overlap"": 4}]",completed,91,10,72
500,1,proximal-replay,2,want,Once,99,99,99,,2,2,0,0,,107,"[{""word"": ""Once"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""Dacca"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""why"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""down"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""heads"", ""timed_overlap"": 1, ""column_overlap"": 4}]",completed,82,10,63
500,1,proximal-replay,3,to,flashes,98,98,98,,2,2,0,0,,96,"[{""word"": ""flashes"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""certain"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""dress"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""Here"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""forth"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,73,10,64
500,1,proximal-replay,4,see,Don,97,97,97,,2,4,0,0,,155,"[{""word"": ""Don"", ""timed_overlap"": 2, ""column_overlap"": 4}, {""word"": ""vase"", ""timed_overlap"": 2, ""column_overlap"": 4}, {""word"": ""take"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""rare"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""astray"", ""timed_overlap"": 2, ""column_overlap"": 2}]",completed,73,10,73
500,2,proximal-replay,1,over,sweetens,100,100,100,,2,3,0,0,,84,"[{""word"": ""sweetens"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""Reddy"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""sensible"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""Lapsing"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""her"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,91,10,63
500,2,proximal-replay,2,our,and,94,94,94,,3,3,0,0,,141,"[{""word"": ""and"", ""timed_overlap"": 3, ""column_overlap"": 3}, {""word"": ""terrible"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""Head"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""thing"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""Lightfoot"", ""timed_overlap"": 2, ""column_overlap"": 2}]",completed,73,10,54
500,2,proximal-replay,3,heads,tyrannize,100,100,100,,2,3,0,0,,140,"[{""word"": ""tyrannize"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""Hippocrates"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""Betty"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""closing"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""return"", ""timed_overlap"": 1, ""column_overlap"": 4}]",completed,64,10,63
500,2,proximal-replay,4,.,Nature,96,96,96,,2,4,0,0,,134,"[{""word"": ""Nature"", ""timed_overlap"": 2, ""column_overlap"": 4}, {""word"": ""lonesome"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""pudding"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""'ll"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""confidences"", ""timed_overlap"": 2, ""column_overlap"": 2}]",completed,73,10,64
500,3,proximal-replay,1,a,spur,100,100,100,,2,4,0,0,,130,"[{""word"": ""spur"", ""timed_overlap"": 2, ""column_overlap"": 4}, {""word"": ""heated"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""habit"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""sorry"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""Bowser"", ""timed_overlap"": 2, ""column_overlap"": 2}]",completed,64,10,72
500,3,proximal-replay,2,woman,Bowser,95,95,95,,2,3,0,0,,130,"[{""word"": ""Bowser"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""bluntly"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""Mr."", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""both"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""hall"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,82,10,64
500,3,proximal-replay,3,",",doubt,99,99,99,,2,3,0,0,,132,"[{""word"": ""doubt"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""SAMMY"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""Nature"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""Priscilla"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""daughter"", ""timed_overlap"": 2, ""column_overlap"": 2}]",completed,73,10,72
500,3,proximal-replay,4,splendid,Robert,94,94,94,,2,3,0,0,,132,"[{""word"": ""Robert"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""snow"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""closing"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""fixed"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""Meanwhile"", ""timed_overlap"": 2, ""column_overlap"": 2}]",completed,82,10,54
500,4,proximal-replay,1,",",Ginger,100,100,100,,1,3,0,0,,76,"[{""word"": ""Ginger"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""timidly"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""Peter"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""mother"", ""timed_overlap"": 1, ""column_overlap"": 3}, {""word"": ""followed"", ""timed_overlap"": 1, ""column_overlap"": 2}]",completed,91,10,72
500,4,proximal-replay,2,the,went,95,95,95,,2,3,0,0,,134,"[{""word"": ""went"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""blow"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""can"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""Felicity"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""Hannah"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,82,10,46
500,4,proximal-replay,3,doctor,pudding,95,95,95,,2,3,0,0,,115,"[{""word"": ""pudding"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""Quite"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""creature"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""prince"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""Then"", ""timed_overlap"": 2, ""column_overlap"": 2}]",completed,55,10,63
500,4,proximal-replay,4,",",about,99,99,99,,2,3,0,0,,103,"[{""word"": ""about"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""As"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""KEEP"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""snubbed"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""dreams"", ""timed_overlap"": 1, ""column_overlap"": 4}]",completed,73,10,63
500,5,proximal-replay,1,had,Abraham,95,95,95,,2,3,0,0,,132,"[{""word"": ""Abraham"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""peeped"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""broad"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""clothes"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""Being"", ""timed_overlap"": 2, ""column_overlap"": 2}]",completed,91,10,72
500,5,proximal-replay,2,no,weight,99,99,99,,3,3,0,0,,122,"[{""word"": ""weight"", ""timed_overlap"": 3, ""column_overlap"": 3}, {""word"": ""Her"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""Pretty"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""can"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""pity"", ""timed_overlap"": 1, ""column_overlap"": 4}]",completed,82,10,54
500,5,proximal-replay,3,chance,These,96,96,96,,2,4,0,0,,125,"[{""word"": ""These"", ""timed_overlap"": 2, ""column_overlap"": 4}, {""word"": ""petals"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""breakfast"", ""timed_overlap"": 2, ""column_overlap"": 2}, {""word"": ""Anzacs"", ""timed_overlap"": 1, ""column_overlap"": 4}, {""word"": ""looked"", ""timed_overlap"": 1, ""column_overlap"": 3}]",completed,64,10,72
500,5,proximal-replay,4,after,withdrew,98,98,98,,2,3,0,0,,137,"[{""word"": ""withdrew"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""something"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""fellows"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""Jem"", ""timed_overlap"": 2, ""column_overlap"": 3}, {""word"": ""Most"", ""timed_overlap"": 2, ""column_overlap"": 2}]",completed,82,10,54
