diagnostic_label,sentence_index,phase,step,selection,selected_event_count,distinct_creation_transitions,maximum_same_origin_events,provenance_coherent_fraction,branch_entropy,source_coherence,minimum_source_jaccard,matches_historical_winner_set,raw_predicted_columns,burst_columns,burst_cells,active_cells_after_observe,winners_after_observe,beam_width,lambda_coherence,lambda_support,decoded_correct,expected_word_present,propagated_columns
nonpaper diagnostic,1,cue,1,coherent-beam,7,1,7,0.7,0.0,0.5437323691634036,0.22916666666666666,False,60,3,27,37,10,,,,,,
nonpaper diagnostic,1,cue,2,coherent-beam,7,1,7,0.7,0.0,0.8571428571428571,0.5,False,39,3,28,37,10,,,,,,
nonpaper diagnostic,1,cue,3,coherent-beam,9,1,9,0.9,0.0,1.0,1.0,False,18,1,9,19,10,,,,,,
nonpaper diagnostic,1,cue,4,coherent-beam,9,1,9,0.9,0.0,1.0,1.0,False,9,1,10,19,10,,,,,,
nonpaper diagnostic,1,cue,5,coherent-beam,6,1,6,0.6,0.0,1.0,1.0,False,6,4,40,46,10,,,,,,
nonpaper diagnostic,1,suffix,1,coherent-beam,10,7,2,0.2,0.969570350190125,0.11918724819771209,0.0,False,64,,,,,8,1.0,0.0,False,True,10
nonpaper diagnostic,2,cue,1,coherent-beam,6,1,6,0.6,0.0,1.0,1.0,False,66,4,38,46,10,,,,,,
nonpaper diagnostic,2,cue,2,coherent-beam,8,1,8,0.8,0.0,1.0,1.0,False,47,2,18,28,10,,,,,,
nonpaper diagnostic,2,cue,3,coherent-beam,10,1,10,1.0,0.0,1.0,1.0,True,13,0,0,10,10,,,,,,
nonpaper diagnostic,2,cue,4,coherent-beam,9,1,9,0.9,0.0,1.0,1.0,False,9,1,10,19,10,,,,,,
nonpaper diagnostic,2,cue,5,coherent-beam,10,1,10,1.0,0.0,1.0,1.0,True,13,0,0,10,10,,,,,,
nonpaper diagnostic,2,suffix,1,coherent-beam,9,1,9,0.9,0.0,1.0,1.0,False,9,,,,,8,1.0,0.0,True,True,9
nonpaper diagnostic,2,suffix,2,coherent-beam,10,1,10,1.0,0.0,1.0,1.0,True,10,,,,,8,1.0,0.0,True,True,10
nonpaper diagnostic,2,suffix,3,coherent-beam,9,1,9,0.9,0.0,1.0,1.0,False,9,,,,,8,1.0,0.0,True,True,9
nonpaper diagnostic,2,suffix,4,coherent-beam,7,1,7,0.7,0.0,1.0,1.0,False,7,,,,,8,1.0,0.0,True,True,7
nonpaper diagnostic,3,cue,1,coherent-beam,9,1,9,0.9,0.0,1.0,1.0,False,30,1,9,19,10,,,,,,
nonpaper diagnostic,3,cue,2,coherent-beam,10,1,10,1.0,0.0,1.0,1.0,True,10,0,0,10,10,,,,,,
nonpaper diagnostic,3,cue,3,coherent-beam,9,1,9,0.9,0.0,1.0,1.0,False,9,1,10,19,10,,,,,,
nonpaper diagnostic,3,cue,4,coherent-beam,7,1,7,0.7,0.0,1.0,1.0,False,27,3,27,37,10,,,,,,
nonpaper diagnostic,3,cue,5,coherent-beam,9,1,9,0.9,0.0,0.9012345679012346,0.5555555555555556,False,31,1,10,19,10,,,,,,
nonpaper diagnostic,3,suffix,1,coherent-beam,10,2,9,0.9,0.46899559358928117,0.8,0.0,False,10,,,,,8,1.0,0.0,True,True,10
nonpaper diagnostic,3,suffix,2,coherent-beam,8,1,8,0.8,0.0,1.0,1.0,False,8,,,,,8,1.0,0.0,True,True,8
nonpaper diagnostic,3,suffix,3,coherent-beam,5,1,5,0.5,0.0,1.0,1.0,False,5,,,,,8,1.0,0.0,False,False,5
nonpaper diagnostic,3,suffix,4,coherent-beam,7,3,4,0.4,0.8699155297736259,0.45097195842293314,0.10526315789473684,False,8,,,,,8,1.0,0.0,False,False,7
nonpaper diagnostic,4,cue,1,coherent-beam,9,1,9,0.9,0.0,1.0,1.0,False,24,1,9,19,10,,,,,,
nonpaper diagnostic,4,cue,2,coherent-beam,9,1,9,0.9,0.0,1.0,1.0,False,13,1,10,19,10,,,,,,
nonpaper diagnostic,4,cue,3,coherent-beam,9,1,9,0.9,0.0,1.0,1.0,False,9,1,10,19,10,,,,,,
nonpaper diagnostic,4,cue,4,coherent-beam,10,1,10,1.0,0.0,1.0,1.0,True,27,0,0,10,10,,,,,,
nonpaper diagnostic,4,cue,5,coherent-beam,10,1,10,1.0,0.0,1.0,1.0,True,10,0,0,10,10,,,,,,
nonpaper diagnostic,4,suffix,1,coherent-beam,7,1,7,0.7,0.0,1.0,1.0,False,8,,,,,8,1.0,0.0,True,True,7
nonpaper diagnostic,4,suffix,2,coherent-beam,10,3,5,0.5,0.8586727110732549,0.35722394518166584,0.13580246913580246,False,21,,,,,8,1.0,0.0,True,True,10
nonpaper diagnostic,4,suffix,3,coherent-beam,9,3,4,0.4,0.965633607142825,1.0,1.0,False,31,,,,,8,1.0,0.0,False,False,9
nonpaper diagnostic,5,cue,1,coherent-beam,10,1,10,1.0,0.0,0.9,0.5,True,12,0,0,10,10,,,,,,
nonpaper diagnostic,5,cue,2,coherent-beam,10,1,10,1.0,0.0,1.0,1.0,True,10,0,0,10,10,,,,,,
nonpaper diagnostic,5,cue,3,coherent-beam,10,1,10,1.0,0.0,0.40432196465795,0.09900990099009901,True,19,0,0,10,10,,,,,,
nonpaper diagnostic,5,cue,4,coherent-beam,3,1,3,0.3,0.0,0.5056980056980057,0.46153846153846156,False,51,7,65,73,10,,,,,,
nonpaper diagnostic,5,cue,5,coherent-beam,9,1,9,0.9,0.0,1.0,1.0,False,48,1,9,19,10,,,,,,
nonpaper diagnostic,5,suffix,1,coherent-beam,10,1,10,1.0,0.0,1.0,1.0,True,10,,,,,8,1.0,0.0,True,True,10
nonpaper diagnostic,5,suffix,2,coherent-beam,10,1,10,1.0,0.0,1.0,1.0,True,10,,,,,8,1.0,0.0,True,True,10
nonpaper diagnostic,5,suffix,3,coherent-beam,10,1,10,1.0,0.0,1.0,1.0,True,10,,,,,8,1.0,0.0,True,True,10
nonpaper diagnostic,5,suffix,4,coherent-beam,9,1,9,0.9,0.0,1.0,1.0,False,10,,,,,8,1.0,0.0,True,True,9
nonpaper diagnostic,6,cue,1,coherent-beam,6,1,6,0.6,0.0,1.0,1.0,False,66,4,37,46,10,,,,,,
nonpaper diagnostic,6,cue,2,coherent-beam,9,1,9,0.9,0.0,1.0,1.0,False,20,1,9,19,10,,,,,,
nonpaper diagnostic,6,cue,3,coherent-beam,10,1,10,1.0,0.0,1.0,1.0,True,10,0,0,10,10,,,,,,
nonpaper diagnostic,6,cue,4,coherent-beam,10,1,10,1.0,0.0,1.0,1.0,True,10,0,0,10,10,,,,,,
nonpaper diagnostic,6,cue,5,coherent-beam,10,1,10,1.0,0.0,1.0,1.0,True,10,0,0,10,10,,,,,,
nonpaper diagnostic,6,suffix,1,coherent-beam,10,1,10,1.0,0.0,0.9,0.5,True,10,,,,,8,1.0,0.0,True,True,10
nonpaper diagnostic,6,suffix,2,coherent-beam,9,1,9,0.9,0.0,1.0,1.0,False,9,,,,,8,1.0,0.0,True,True,9
