diagnostic_label,sentence_index,cue_transition,current_word,expected_next_word,previous_active_cell_count,previous_winner_count,burst_column_count,burst_cell_count,raw_event_count,raw_predicted_column_count,prediction_active_cell_count,number_of_ranked_candidates,expected_word_rank,timed_overlap_of_expected_word,column_overlap_of_expected_word,expected_word_present,selected_word,selected_word_correct,accepted_segment_count,mean_contributors,median_contributors,two_contributor_fraction,three_contributor_fraction,four_plus_contributor_fraction,average_threshold_margin
nonpaper diagnostic,1,1->2,``,I,100,10,2,18,54,54,54,20,1,8,8,True,I,True,54.0,6.055555555555555,3.0,0.3148148148148148,0.2037037037037037,0.48148148148148145,1.9634351928058082
nonpaper diagnostic,1,2->3,I,did,28,10,3,27,34,34,34,18,1,5,6,True,did,True,34.0,5.529411764705882,3.0,0.35294117647058826,0.23529411764705882,0.4117647058823529,1.629374995746186
nonpaper diagnostic,1,3->4,did,not,37,10,3,30,14,14,14,10,1,7,7,True,not,True,14.0,6.5,6.5,0.0,0.5,0.5,2.3628101176021374
nonpaper diagnostic,1,4->5,not,think,37,10,2,19,20,20,20,16,1,8,8,True,think,True,20.0,5.2,2.0,0.6,0.0,0.4,1.5594642086668944
nonpaper diagnostic,1,5->6,think,you,28,10,4,39,14,14,14,8,1,6,7,True,you,True,14.0,4.857142857142857,2.0,0.6428571428571429,0.0,0.35714285714285715,1.397823611892603
nonpaper diagnostic,1,6->7,you,would,46,10,0,0,42,42,42,18,2,4,5,True,may,False,42.0,4.714285714285714,4.0,0.09523809523809523,0.0,0.9047619047619048,1.3244047009484075
nonpaper diagnostic,2,1->2,The,Great,100,10,4,37,41,41,41,15,8,1,2,True,easel,False,41.0,5.097560975609756,3.0,0.2926829268292683,0.36585365853658536,0.34146341463414637,1.3766927679586065
nonpaper diagnostic,2,2->3,Great,Square,46,10,2,20,25,25,25,14,1,8,8,True,Square,True,25.0,4.96,3.0,0.28,0.4,0.32,1.7317823977685962
nonpaper diagnostic,2,3->4,Square,of,28,10,0,0,11,11,11,11,1,10,10,True,of,True,11.0,9.272727272727273,10.0,0.09090909090909091,0.0,0.9090909090909091,3.5581180778404193
nonpaper diagnostic,2,4->5,of,Pegasus,10,10,2,20,8,8,8,13,1,8,8,True,Pegasus,True,8.0,10.0,10.0,0.0,0.0,1.0,3.9124313049721113
nonpaper diagnostic,2,5->6,Pegasus,was,28,10,0,0,10,10,10,9,1,10,10,True,was,True,10.0,10.0,10.0,0.0,0.0,1.0,3.979930361070964
nonpaper diagnostic,2,6->7,was,over,10,10,0,0,10,10,10,12,1,10,10,True,over,True,10.0,10.0,10.0,0.0,0.0,1.0,3.8069327802546433
nonpaper diagnostic,3,1->2,A,moment,100,10,1,9,28,28,28,10,1,9,9,True,moment,True,28.0,4.642857142857143,2.0,0.6071428571428571,0.07142857142857142,0.32142857142857145,1.3143704417722277
nonpaper diagnostic,3,2->3,moment,before,19,10,0,0,10,10,10,14,1,10,10,True,before,True,10.0,10.0,10.0,0.0,0.0,1.0,3.9999300813965504
