diagnostic_label,sentences,scenario,target_column,target_neuron,segment_identity,contributing_synapse_count,mean_weight_before,mean_weight_after,reinforcement_number,contribution_mode,prediction_candidate_identity,prediction_crossing_time,actual_positive_synapse_count,actual_positive_weakened_count,strengthened_synapse_count,weakened_synapse_count
nonpaper diagnostic,100,scenario1,81,0,2536575482048,10,0.49000000000000005,0.59,1,continuous-positive,2536594355312,1.0061145019531248,10,0,10,0
nonpaper diagnostic,100,scenario1,78,8,2536548327184,10,0.5,0.6,1,continuous-positive,2536592713648,0.5059667968750001,10,0,10,0
nonpaper diagnostic,100,scenario1,23,6,2536548327376,10,0.5,0.6,1,continuous-positive,2536592716288,0.5615223524305557,10,0,10,0
nonpaper diagnostic,100,scenario1,12,0,2536548329200,10,0.5,0.6,1,continuous-positive,2536592713600,0.6170779079861113,10,0,10,0
nonpaper diagnostic,100,scenario1,57,1,2536548327952,10,0.5,0.6,1,continuous-positive,2536592716096,0.6726334635416666,10,0,10,0
nonpaper diagnostic,100,scenario1,38,0,2536548330448,10,0.5,0.6,1,continuous-positive,2536592716336,0.7281890190972222,10,0,10,0
nonpaper diagnostic,100,scenario1,18,8,2536548331408,10,0.5,0.6,1,continuous-positive,2536592716384,0.7837445746527778,10,0,10,0
nonpaper diagnostic,100,scenario1,11,1,2536548333376,10,0.5,0.6,1,continuous-positive,2536592716432,0.8393001302083334,10,0,10,0
nonpaper diagnostic,100,scenario1,68,2,2536548333904,10,0.5,0.6,1,continuous-positive,2536592716480,0.894855685763889,10,0,10,0
nonpaper diagnostic,100,scenario1,88,3,2536548333088,10,0.5,0.6,1,continuous-positive,2536592712928,0.9504112413194445,10,0,10,0
nonpaper diagnostic,100,scenario1,81,4,2536548334576,10,0.5,0.6,1,continuous-positive,2536592712976,1.005966796875,10,0,10,0
nonpaper diagnostic,100,scenario1,72,0,2536551420736,10,0.49000000000000005,0.59,1,continuous-positive,2536615484288,0.8394478352864583,10,0,10,0
nonpaper diagnostic,100,scenario1,96,5,2536562114736,10,0.41999999999999993,0.5199999999999999,1,continuous-positive,2536619094240,1.0074072265625,10,0,10,0
nonpaper diagnostic,100,scenario1,47,6,2536608516912,10,0.49000000000000005,0.59,1,continuous-positive,2536639685136,0.6727811686197918,10,0,10,0
nonpaper diagnostic,100,scenario1,86,6,2536552366048,10,0.5,0.6,1,continuous-positive,2536651609808,0.5059667968750001,10,0,10,0
nonpaper diagnostic,100,scenario1,34,9,2536552365040,10,0.5,0.6,1,continuous-positive,2536651610480,0.5615223524305557,10,0,10,0
nonpaper diagnostic,100,scenario1,43,8,2536553906544,10,0.5,0.6,1,continuous-positive,2536651607600,0.6170779079861113,10,0,10,0
nonpaper diagnostic,100,scenario1,11,8,2536553910336,10,0.5,0.6,1,continuous-positive,2536651609856,0.6726334635416666,10,0,10,0
nonpaper diagnostic,100,scenario1,39,2,2536553909712,10,0.5,0.6,1,continuous-positive,2536651609904,0.7281890190972222,10,0,10,0
nonpaper diagnostic,100,scenario1,42,4,2536553908608,10,0.5,0.6,1,continuous-positive,2536651609952,0.7837445746527778,10,0,10,0
nonpaper diagnostic,100,scenario1,1,1,2536553910528,10,0.5,0.6,1,continuous-positive,2536651610000,0.8393001302083334,10,0,10,0
nonpaper diagnostic,100,scenario1,52,4,2536553912544,10,0.5,0.6,1,continuous-positive,2536651610048,0.894855685763889,10,0,10,0
nonpaper diagnostic,100,scenario1,97,9,2536553913216,10,0.5,0.6,1,continuous-positive,2536651610096,0.9504112413194445,10,0,10,0
nonpaper diagnostic,100,scenario1,15,2,2536553915040,10,0.5,0.6,1,continuous-positive,2536651613984,1.005966796875,10,0,10,0
nonpaper diagnostic,100,scenario1,32,3,2536573484016,10,0.49000000000000005,0.59,1,continuous-positive,2536605608864,0.7838922797309029,10,0,10,0
nonpaper diagnostic,100,scenario1,17,1,2536632288944,10,0.5,0.6,1,continuous-positive,2536615486592,0.5615223524305557,10,0,10,0
nonpaper diagnostic,100,scenario1,57,2,2536548569488,10,0.471,0.571,1,continuous-positive,2536605774720,0.6730839029947917,10,0,10,0
nonpaper diagnostic,100,scenario1,41,0,2536590943984,10,0.5,0.6,1,continuous-positive,2536605722688,0.5059667968750001,10,0,10,0
nonpaper diagnostic,100,scenario1,64,9,2536604935776,10,0.45,0.5499999999999999,1,continuous-positive,2536623379936,0.5067907714843751,10,0,10,0
nonpaper diagnostic,100,scenario1,81,9,2536604926560,10,0.45,0.5499999999999999,1,continuous-positive,2536623378880,0.5623463270399307,10,0,10,0
nonpaper diagnostic,100,scenario1,97,3,2536604926896,10,0.45,0.5499999999999999,1,continuous-positive,2536623377968,0.6179018825954863,10,0,10,0
nonpaper diagnostic,100,scenario1,43,1,2536605134928,10,0.45,0.5499999999999999,1,continuous-positive,2536623379264,0.6734574381510416,10,0,10,0
nonpaper diagnostic,100,scenario1,24,3,2536605131472,10,0.45,0.5499999999999999,1,continuous-positive,2536623379984,0.7845685492621528,10,0,10,0
nonpaper diagnostic,100,scenario1,4,7,2536604940960,10,0.5,0.6,1,continuous-positive,2536623294752,0.5059667968750001,10,0,10,0
nonpaper diagnostic,100,scenario1,97,7,2536604937840,10,0.5,0.6,1,continuous-positive,2536623294704,0.5615223524305557,10,0,10,0
nonpaper diagnostic,100,scenario1,70,5,2536604937024,10,0.5,0.6,1,continuous-positive,2536623296000,0.6170779079861113,10,0,10,0
nonpaper diagnostic,100,scenario1,78,9,2536604936304,10,0.5,0.6,1,continuous-positive,2536623294800,0.6726334635416666,10,0,10,0
nonpaper diagnostic,100,scenario1,65,9,2536604927568,10,0.5,0.6,1,continuous-positive,2536623294848,0.7281890190972222,10,0,10,0
nonpaper diagnostic,100,scenario1,72,7,2536605133200,10,0.5,0.6,1,continuous-positive,2536623297200,0.7837445746527778,10,0,10,0
nonpaper diagnostic,100,scenario1,61,1,2536605128832,10,0.5,0.6,1,continuous-positive,2536623297248,0.8393001302083334,10,0,10,0
nonpaper diagnostic,100,scenario1,18,4,2536605127728,10,0.5,0.6,1,continuous-positive,2536623294656,0.894855685763889,10,0,10,0
nonpaper diagnostic,100,scenario1,24,6,2536605126624,10,0.5,0.6,1,continuous-positive,2536623295280,0.9504112413194445,10,0,10,0
nonpaper diagnostic,100,scenario1,23,9,2536605126000,10,0.5,0.6,1,continuous-positive,2536623295328,1.005966796875,10,0,10,0
nonpaper diagnostic,100,scenario1,24,5,2536550547584,10,0.5,0.6,1,continuous-positive,2536623105488,0.7281890190972222,10,0,10,0
nonpaper diagnostic,100,scenario1,3,5,2536550550224,10,0.5,0.6,1,continuous-positive,2536623105632,0.894855685763889,10,0,10,0
nonpaper diagnostic,100,scenario1,99,5,2536575475040,10,0.3999999999999999,0.4999999999999999,1,continuous-positive,2536623755376,0.5078857421875,10,0,10,0
