diagnostic_label,sentences,scenario,target_column,target_neuron,segment_identity,contributing_synapse_count,mean_weight_before,mean_weight_after,reinforcement_number,contribution_mode,prediction_candidate_identity,prediction_crossing_time,actual_positive_synapse_count,actual_positive_weakened_count,strengthened_synapse_count,weakened_synapse_count
nonpaper diagnostic,200,scenario1,81,0,2353780190064,10,0.49000000000000005,0.59,1,continuous-causal,2353894733968,1.0061145019531248,10,0,10,0
nonpaper diagnostic,200,scenario1,78,8,2353817126480,10,0.5,0.6,1,continuous-causal,2353832979504,0.5059667968750001,10,0,10,0
nonpaper diagnostic,200,scenario1,23,6,2353817127440,10,0.5,0.6,1,continuous-causal,2353832978688,0.5615223524305557,10,0,10,0
nonpaper diagnostic,200,scenario1,12,0,2353817129168,10,0.5,0.6,1,continuous-causal,2353832979408,0.6170779079861113,10,0,10,0
nonpaper diagnostic,200,scenario1,57,1,2353817135264,10,0.5,0.6,1,continuous-causal,2353832981280,0.6726334635416666,10,0,10,0
nonpaper diagnostic,200,scenario1,38,0,2353817139824,10,0.5,0.6,1,continuous-causal,2353832979456,0.7281890190972222,10,0,10,0
nonpaper diagnostic,200,scenario1,18,8,2353817140784,10,0.5,0.6,1,continuous-causal,2353832983344,0.7837445746527778,10,0,10,0
nonpaper diagnostic,200,scenario1,11,1,2353817140400,10,0.5,0.6,1,continuous-causal,2353832984256,0.8393001302083334,10,0,10,0
nonpaper diagnostic,200,scenario1,68,2,2353817140592,10,0.5,0.6,1,continuous-causal,2353832982816,0.894855685763889,10,0,10,0
nonpaper diagnostic,200,scenario1,88,3,2353817132000,10,0.5,0.6,1,continuous-causal,2353832982144,0.9504112413194445,10,0,10,0
nonpaper diagnostic,200,scenario1,81,4,2353817133200,10,0.5,0.6,1,continuous-causal,2353832982864,1.005966796875,10,0,10,0
nonpaper diagnostic,200,scenario1,72,0,2353790199152,10,0.49000000000000005,0.59,1,continuous-causal,2353858929072,0.8394478352864583,10,0,10,0
nonpaper diagnostic,200,scenario1,96,5,2353868558592,10,0.41999999999999993,0.5199999999999999,1,continuous-causal,2353885198576,1.0074072265625,10,0,10,0
nonpaper diagnostic,200,scenario1,47,6,2353846520096,10,0.49000000000000005,0.59,1,continuous-causal,2353861876944,0.6727811686197918,10,0,10,0
nonpaper diagnostic,200,scenario1,86,6,2353806361472,10,0.5,0.6,1,continuous-causal,2353818745840,0.5059667968750001,10,0,10,0
nonpaper diagnostic,200,scenario1,34,9,2353790698416,10,0.5,0.6,1,continuous-causal,2353818733408,0.5615223524305557,10,0,10,0
nonpaper diagnostic,200,scenario1,43,8,2353790700480,10,0.5,0.6,1,continuous-causal,2353818733552,0.6170779079861113,10,0,10,0
nonpaper diagnostic,200,scenario1,11,8,2353790704128,10,0.5,0.6,1,continuous-causal,2353818742288,0.6726334635416666,10,0,10,0
nonpaper diagnostic,200,scenario1,39,2,2353790699376,10,0.5,0.6,1,continuous-causal,2353818743632,0.7281890190972222,10,0,10,0
nonpaper diagnostic,200,scenario1,42,4,2353790705520,10,0.5,0.6,1,continuous-causal,2353818740416,0.7837445746527778,10,0,10,0
nonpaper diagnostic,200,scenario1,1,1,2353790709600,10,0.5,0.6,1,continuous-causal,2353818730960,0.8393001302083334,10,0,10,0
nonpaper diagnostic,200,scenario1,52,4,2353790704560,10,0.5,0.6,1,continuous-causal,2353818742048,0.894855685763889,10,0,10,0
nonpaper diagnostic,200,scenario1,97,9,2353790700720,10,0.5,0.6,1,continuous-causal,2353818741904,0.9504112413194445,10,0,10,0
nonpaper diagnostic,200,scenario1,15,2,2353790698368,10,0.5,0.6,1,continuous-causal,2353818741472,1.005966796875,10,0,10,0
nonpaper diagnostic,200,scenario1,32,3,2353860645648,10,0.49000000000000005,0.59,1,continuous-causal,2353824150880,0.7838922797309029,10,0,10,0
nonpaper diagnostic,200,scenario1,17,1,2353862128608,10,0.5,0.6,1,continuous-causal,2353796243024,0.5615223524305557,10,0,10,0
nonpaper diagnostic,200,scenario1,57,2,2353853287168,10,0.471,0.571,1,continuous-causal,2353781731648,0.6730839029947917,10,0,10,0
nonpaper diagnostic,200,scenario1,41,0,2353778652224,10,0.5,0.6,1,continuous-causal,2353781719312,0.5059667968750001,10,0,10,0
nonpaper diagnostic,200,scenario1,64,9,2353862162768,10,0.45,0.5499999999999999,1,continuous-causal,2353779500928,0.5067907714843751,10,0,10,0
nonpaper diagnostic,200,scenario1,81,9,2353862157920,10,0.45,0.5499999999999999,1,continuous-causal,2353779501360,0.5623463270399307,10,0,10,0
nonpaper diagnostic,200,scenario1,97,3,2353862149040,10,0.45,0.5499999999999999,1,continuous-causal,2353779505008,0.6179018825954863,10,0,10,0
nonpaper diagnostic,200,scenario1,43,1,2353873350160,10,0.45,0.5499999999999999,1,continuous-causal,2353779500448,0.6734574381510416,10,0,10,0
nonpaper diagnostic,200,scenario1,24,3,2353861213840,10,0.45,0.5499999999999999,1,continuous-causal,2353779498816,0.7845685492621528,10,0,10,0
nonpaper diagnostic,200,scenario1,4,7,2353862157296,10,0.5,0.6,1,continuous-causal,2353779738288,0.5059667968750001,10,0,10,0
nonpaper diagnostic,200,scenario1,97,7,2353862158112,10,0.5,0.6,1,continuous-causal,2353779749184,0.5615223524305557,10,0,10,0
nonpaper diagnostic,200,scenario1,70,5,2353862153408,10,0.5,0.6,1,continuous-causal,2353779749040,0.6170779079861113,10,0,10,0
nonpaper diagnostic,200,scenario1,78,9,2353862164016,10,0.5,0.6,1,continuous-causal,2353779742656,0.6726334635416666,10,0,10,0
nonpaper diagnostic,200,scenario1,65,9,2353862155520,10,0.5,0.6,1,continuous-causal,2353779742896,0.7281890190972222,10,0,10,0
nonpaper diagnostic,200,scenario1,72,7,2353873348336,10,0.5,0.6,1,continuous-causal,2353779744624,0.7837445746527778,10,0,10,0
nonpaper diagnostic,200,scenario1,61,1,2353873341184,10,0.5,0.6,1,continuous-causal,2353779742704,0.8393001302083334,10,0,10,0
nonpaper diagnostic,200,scenario1,18,4,2353873338784,10,0.5,0.6,1,continuous-causal,2353779748560,0.894855685763889,10,0,10,0
nonpaper diagnostic,200,scenario1,24,6,2353873352320,10,0.5,0.6,1,continuous-causal,2353779748464,0.9504112413194445,10,0,10,0
nonpaper diagnostic,200,scenario1,23,9,2353873352080,10,0.5,0.6,1,continuous-causal,2353779745488,1.005966796875,10,0,10,0
nonpaper diagnostic,200,scenario1,24,5,2353853300368,10,0.5,0.6,1,continuous-causal,2353779538736,0.7281890190972222,10,0,10,0
nonpaper diagnostic,200,scenario1,3,5,2353853299744,10,0.5,0.6,1,continuous-causal,2353779526016,0.894855685763889,10,0,10,0
nonpaper diagnostic,200,scenario1,99,5,2353780184496,10,0.3999999999999999,0.4999999999999999,1,continuous-causal,2353786658720,0.5078857421875,10,0,10,0
nonpaper diagnostic,200,scenario1,6,3,2353780187184,10,0.3999999999999999,0.4999999999999999,1,continuous-causal,2353786662032,0.6189968532986112,10,0,10,0
nonpaper diagnostic,200,scenario1,13,5,2353780181184,10,0.3999999999999999,0.4999999999999999,1,continuous-causal,2353786662512,0.8412190755208333,10,0,10,0
nonpaper diagnostic,200,scenario1,68,5,2353780191072,20,0.582,0.6819999999999999,1,continuous-causal,2353786658768,0.8911899142795137,20,0,20,0
nonpaper diagnostic,200,scenario1,78,4,2353894721440,10,0.41,0.5099999999999999,1,continuous-causal,2353791225296,0.507637939453125,10,0,10,0
nonpaper diagnostic,200,scenario1,98,9,2353783062352,10,0.45,0.5499999999999999,1,continuous-causal,2353790164128,0.6179018825954863,10,0,10,0
nonpaper diagnostic,200,scenario1,87,3,2353778841440,10,0.41999999999999993,0.5199999999999999,1,continuous-causal,2353793292752,0.5074072265625001,10,0,10,0
nonpaper diagnostic,200,scenario1,6,3,2353780187184,10,0.47999999999999987,0.5799999999999998,2,continuous-causal,2353793292800,0.6173818630642363,10,0,10,0
nonpaper diagnostic,200,scenario1,72,9,2353861877280,10,0.48,0.58,1,continuous-causal,2353800804016,0.6729374186197916,10,0,10,0
nonpaper diagnostic,200,scenario1,96,8,2353824322656,10,0.46099999999999997,0.5609999999999999,1,continuous-causal,2353800799888,0.7843671332465276,10,0,10,0
nonpaper diagnostic,200,scenario1,67,2,2353787211216,10,0.5,0.6,1,continuous-causal,2353799002784,0.6170779079861113,10,0,10,0
nonpaper diagnostic,200,scenario1,9,6,2353860646944,10,0.48,0.58,1,continuous-causal,2353804649456,0.5062707519531251,10,0,10,0
nonpaper diagnostic,200,scenario1,74,9,2353834571248,10,0.45,0.5499999999999999,1,continuous-causal,2353805019088,0.7290129937065972,10,0,10,0
nonpaper diagnostic,200,scenario1,40,3,2353792254320,10,0.48,0.58,1,continuous-causal,2353811836512,0.6729374186197916,10,0,10,0
nonpaper diagnostic,200,scenario1,42,8,2353787212752,10,0.49000000000000005,0.59,1,continuous-causal,2353805382320,0.8394478352864583,10,0,10,0
