columns,neurons,trials,mean_levenshtein,std_levenshtein
500,4,10,2.6436,0.025640592816859757
400,4,10,2.7497,0.02612297839068121
300,4,10,2.9122,0.02709538706126925
200,4,10,3.1117,0.027885659396901488
100,4,10,3.399,0.019804039991880424
50,4,10,3.6045000000000003,0.009146037393319557
500,8,10,1.2644,0.03582792207203761
400,8,10,1.2894999999999999,0.04914722779567529
300,8,10,1.4324,0.04663732410848633
200,8,10,1.7533999999999998,0.0405196248748677
100,8,10,2.4875,0.030751422731314336
50,8,10,3.0963000000000003,0.0221452026407527
500,12,10,0.592,0.05184592558726288
400,12,10,0.6155999999999999,0.024372935810033247
300,12,10,0.6323000000000001,0.05751356361763719
200,12,10,0.713,0.03200937362711116
100,12,10,1.2967,0.04377682035050054
50,12,10,2.411,0.03336465195382682
