columns,neurons,seed,mean_levenshtein
500,4,800,2.615
500,4,801,2.657
500,4,802,2.653
500,4,803,2.624
500,4,804,2.665
500,4,805,2.664
500,4,806,2.692
500,4,807,2.632
500,4,808,2.604
500,4,809,2.63
400,4,800,2.749
400,4,801,2.742
400,4,802,2.768
400,4,803,2.721
400,4,804,2.768
400,4,805,2.7
400,4,806,2.767
400,4,807,2.723
400,4,808,2.777
400,4,809,2.782
300,4,800,2.925
300,4,801,2.952
300,4,802,2.902
300,4,803,2.923
300,4,804,2.961
300,4,805,2.875
300,4,806,2.886
300,4,807,2.911
300,4,808,2.904
300,4,809,2.883
200,4,800,3.165
200,4,801,3.066
200,4,802,3.085
200,4,803,3.102
200,4,804,3.092
200,4,805,3.1
200,4,806,3.147
200,4,807,3.125
200,4,808,3.121
200,4,809,3.114
500,8,803,1.243
500,8,801,1.265
500,8,800,1.275
500,8,802,1.25
500,8,804,1.273
500,8,805,1.172
500,8,806,1.291
500,8,807,1.274
500,8,808,1.296
500,8,809,1.305
400,8,803,1.263
400,8,804,1.279
400,8,805,1.225
400,8,801,1.336
400,8,800,1.262
400,8,802,1.29
400,8,807,1.226
400,8,806,1.317
400,8,808,1.301
400,8,809,1.396
300,8,801,1.44
300,8,803,1.364
300,8,800,1.39
300,8,802,1.399
300,8,805,1.435
300,8,804,1.423
300,8,806,1.449
300,8,807,1.51
300,8,808,1.4
300,8,809,1.514
200,8,800,1.683
200,8,801,1.74
100,4,802,3.407
200,8,802,1.771
200,8,803,1.732
100,4,805,3.398
100,4,800,3.407
200,8,804,1.746
100,4,808,3.43
100,4,803,3.413
200,8,805,1.77
100,4,806,3.378
100,4,809,3.41
100,4,807,3.411
100,4,804,3.366
100,4,801,3.37
200,8,806,1.845
200,8,807,1.731
200,8,808,1.733
200,8,809,1.783
100,8,800,2.491
100,8,802,2.439
100,8,801,2.514
100,8,803,2.523
100,8,806,2.466
100,8,804,2.521
100,8,805,2.465
100,8,808,2.467
100,8,807,2.459
100,8,809,2.53
500,12,800,0.575
500,12,801,0.596
500,12,802,0.501
500,12,803,0.614
500,12,804,0.565
500,12,806,0.54
500,12,805,0.689
500,12,807,0.648
500,12,808,0.566
500,12,809,0.626
400,12,800,0.575
400,12,801,0.655
400,12,802,0.616
400,12,803,0.631
400,12,804,0.589
400,12,805,0.598
50,4,800,3.605
50,4,805,3.606
50,4,806,3.608
50,4,809,3.608
50,4,804,3.587
50,4,803,3.592
50,4,807,3.608
50,4,801,3.618
50,4,802,3.615
50,4,808,3.598
400,12,807,0.643
400,12,806,0.634
400,12,808,0.596
400,12,809,0.619
300,12,801,0.566
300,12,800,0.637
300,12,802,0.702
300,12,803,0.65
300,12,804,0.552
300,12,805,0.578
300,12,808,0.589
300,12,809,0.735
300,12,807,0.672
300,12,806,0.642
200,12,802,0.782
200,12,803,0.678
200,12,800,0.686
200,12,801,0.756
200,12,804,0.715
200,12,805,0.715
200,12,806,0.68
200,12,807,0.696
200,12,808,0.723
200,12,809,0.699
50,8,801,3.157
50,8,803,3.074
50,8,800,3.08
50,8,802,3.101
50,8,804,3.095
50,8,805,3.101
50,8,806,3.08
50,8,807,3.088
100,12,802,1.292
100,12,800,1.334
100,12,803,1.264
100,12,801,1.322
100,12,806,1.325
100,12,805,1.377
100,12,804,1.282
100,12,807,1.225
100,12,808,1.239
100,12,809,1.307
50,8,808,3.088
50,8,809,3.099
50,12,800,2.444
50,12,801,2.432
50,12,802,2.441
50,12,803,2.443
50,12,804,2.392
50,12,805,2.441
50,12,806,2.355
50,12,807,2.356
50,12,808,2.411
50,12,809,2.395
