poems,title,author,goal_based,contextual,contextual_single,goal_line,contextual_line,feedback_character
1000,复合记忆试验0000,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0001,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0002,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0003,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0004,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0005,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0006,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0007,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0008,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0009,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0010,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0011,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0012,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0013,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0014,synthetic-stress,0,14,14,0,3,0
1000,复合记忆试验0015,synthetic-stress,0,15,13,0,3,0
1000,复合记忆试验0016,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0017,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0018,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0019,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0020,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0021,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0022,synthetic-stress,0,14,13,0,3,0
1000,复合记忆试验0023,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0024,synthetic-stress,0,13,14,0,3,0
1000,复合记忆试验0025,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0026,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0027,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0028,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0029,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0030,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0031,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0032,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0033,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0034,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0035,synthetic-stress,0,14,14,0,3,0
1000,复合记忆试验0036,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0037,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0038,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0039,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0040,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0041,synthetic-stress,0,15,13,0,3,0
1000,复合记忆试验0042,synthetic-stress,0,12,15,0,3,0
1000,复合记忆试验0043,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0044,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0045,synthetic-stress,0,14,12,0,3,0
1000,复合记忆试验0046,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0047,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0048,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0049,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0050,synthetic-stress,0,13,13,0,3,0
1000,复合记忆试验0051,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0052,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0053,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0054,synthetic-stress,0,15,13,0,3,0
1000,复合记忆试验0055,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0056,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0057,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0058,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0059,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0060,synthetic-stress,0,14,14,0,3,0
1000,复合记忆试验0061,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0062,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0063,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0064,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0065,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0066,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0067,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0068,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0069,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0070,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0071,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0072,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0073,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0074,synthetic-stress,0,12,15,0,3,0
1000,复合记忆试验0075,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0076,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0077,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0078,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0079,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0080,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0081,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0082,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0083,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0084,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0085,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0086,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0087,synthetic-stress,0,15,13,0,3,0
1000,复合记忆试验0088,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0089,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0090,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0091,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0092,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0093,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0094,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0095,synthetic-stress,0,14,14,0,3,0
1000,复合记忆试验0096,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0097,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0098,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0099,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0100,synthetic-stress,0,15,11,0,3,0
1000,复合记忆试验0101,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0102,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0103,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0104,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0105,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0106,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0107,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0108,synthetic-stress,0,14,14,0,3,0
1000,复合记忆试验0109,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0110,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0111,synthetic-stress,0,14,13,0,3,0
1000,复合记忆试验0112,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0113,synthetic-stress,0,14,14,0,3,0
1000,复合记忆试验0114,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0115,synthetic-stress,0,14,13,0,3,0
1000,复合记忆试验0116,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0117,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0118,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0119,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0120,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0121,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0122,synthetic-stress,0,14,15,0,3,0
