"run","inhibition_strength","inhibition_tau","mape","coverage","mean_raw_columns","mean_emitted_columns","suppression_ratio","runtime_seconds","predictions_sha256","model_fingerprint","rng_fingerprint"
"raw","","","0.645017008130298","1","132.664","132.664","0","19.4266139999963","7D47FA82C803E82C939748892C80CB507D64AF6D57A76EFE3FFC400B2A3645CD","8e86c6fac808a07c845cf8919ac1c0f1b6da96e811a65eb26842c91212718130","146a05aaca1b7e5f27e4787e9a67d50ec003af268c832bdd254132d8a40e5e00"
"s0_t002","0","0.02","0.645017008130298","1","132.664","132.664","0","19.6719042999903","7D47FA82C803E82C939748892C80CB507D64AF6D57A76EFE3FFC400B2A3645CD","8e86c6fac808a07c845cf8919ac1c0f1b6da96e811a65eb26842c91212718130","146a05aaca1b7e5f27e4787e9a67d50ec003af268c832bdd254132d8a40e5e00"
"s010_t001","0.1","0.01","0.371231532002542","1","169.92","65.776","0.612900188323917","18.7190497999545","EDCA9AD40D93EA9D1EE0F5BC41CB328962AEA673D337BCB662C90CD672FA4AF2","8e86c6fac808a07c845cf8919ac1c0f1b6da96e811a65eb26842c91212718130","146a05aaca1b7e5f27e4787e9a67d50ec003af268c832bdd254132d8a40e5e00"
"s010_t002","0.1","0.02","0.319858767517087","1","171.784","60.88","0.645601452987473","18.2446326999925","EB34EB343E57C267BA49AD4742CA9887DA78794B95D8EDD70EF5FE01F432A241","8e86c6fac808a07c845cf8919ac1c0f1b6da96e811a65eb26842c91212718130","146a05aaca1b7e5f27e4787e9a67d50ec003af268c832bdd254132d8a40e5e00"
"s010_t005","0.1","0.05","0.41383406866547","1","170.032","46.192","0.728333490166557","17.2920981000061","1A61C6361CB4B48E54CEF1881DA36365D3AE09AC7C9520BF962686FDD6FC92CF","8e86c6fac808a07c845cf8919ac1c0f1b6da96e811a65eb26842c91212718130","146a05aaca1b7e5f27e4787e9a67d50ec003af268c832bdd254132d8a40e5e00"
"s025_t001","0.25","0.01","0.415070797543257","1","164.16","36.688","0.776510721247563","16.6713677999796","2F2F066388F93CA05CAD51959032D111AB82F5E236CB8B917FDA70A395EAFCB2","8e86c6fac808a07c845cf8919ac1c0f1b6da96e811a65eb26842c91212718130","146a05aaca1b7e5f27e4787e9a67d50ec003af268c832bdd254132d8a40e5e00"
"s025_t002","0.25","0.02","0.466032665497633","0.92","162.824","31.952","0.80376357293765","17.5850153999636","4A3CB2BA51E64014E9918AE4348F35FA378F1EBBCAB42A778E8441802158E793","8e86c6fac808a07c845cf8919ac1c0f1b6da96e811a65eb26842c91212718130","146a05aaca1b7e5f27e4787e9a67d50ec003af268c832bdd254132d8a40e5e00"
"s025_t005","0.25","0.05","0.445361539424328","1","162.712","24.144","0.851615123654064","16.6438369000098","E521FC68D843C4C1106DF1FB84D87A14C1B95156A1C7E16AF3FC7C5AA12FACE3","8e86c6fac808a07c845cf8919ac1c0f1b6da96e811a65eb26842c91212718130","146a05aaca1b7e5f27e4787e9a67d50ec003af268c832bdd254132d8a40e5e00"
"s050_t001","0.5","0.01","0.439098692661859","1","162.312","22.696","0.860170535758293","16.0740977000096","18C748964DEE258153A533A1D82B4888DD7FB1B4CFC9182B2376FF89EE137692","8e86c6fac808a07c845cf8919ac1c0f1b6da96e811a65eb26842c91212718130","146a05aaca1b7e5f27e4787e9a67d50ec003af268c832bdd254132d8a40e5e00"
"s050_t002","0.5","0.02","0.444310116354996","1","161.952","19.568","0.879174076269512","16.6681001000106","87DD1EB06CD013ED5D05D363E10E847A2BB3F9F9146B6893ACB245D916223B6B","8e86c6fac808a07c845cf8919ac1c0f1b6da96e811a65eb26842c91212718130","146a05aaca1b7e5f27e4787e9a67d50ec003af268c832bdd254132d8a40e5e00"
"s050_t005","0.5","0.05","0.554688211617356","1","161.688","15.008","0.907179258819455","15.4741813999717","12C4E7F777342848CCBC3A4EFFF89BB43148FC825604D34986BABD5CA73F9AC9","8e86c6fac808a07c845cf8919ac1c0f1b6da96e811a65eb26842c91212718130","146a05aaca1b7e5f27e4787e9a67d50ec003af268c832bdd254132d8a40e5e00"
"s100_t001","1","0.01","0.533355240318548","1","160.768","15.32","0.904707404458599","15.5552963000373","F3278C4368237A73BCC5F7BC666FCA4EFE954E878719E70FB6A720F8586710A5","8e86c6fac808a07c845cf8919ac1c0f1b6da96e811a65eb26842c91212718130","146a05aaca1b7e5f27e4787e9a67d50ec003af268c832bdd254132d8a40e5e00"
"s100_t002","1","0.02","0.592398461842516","0.56","160.16","11.824","0.926173826173826","15.2775882999995","A1A5DEE71851105B9F0D7D8E75841C77B31E33B631ED97FA35D6EE6A85BA737A","8e86c6fac808a07c845cf8919ac1c0f1b6da96e811a65eb26842c91212718130","146a05aaca1b7e5f27e4787e9a67d50ec003af268c832bdd254132d8a40e5e00"
"s100_t005","1","0.05","0.462527425120334","0.16","155.056","9.744","0.937158188009493","14.7595903000329","4BA667D61DBCE068CF49702C3E44FF2D352A243D2C32AD56D188A35701B4E6BC","8e86c6fac808a07c845cf8919ac1c0f1b6da96e811a65eb26842c91212718130","146a05aaca1b7e5f27e4787e9a67d50ec003af268c832bdd254132d8a40e5e00"
