diagnostic_only,offline_analysis_only,match_overlap_decomposition,uses_ground_truth_for_analysis_only,ground_truth_does_not_affect_matching,ground_truth_does_not_affect_prediction,ground_truth_does_not_affect_model,source_trace_does_not_affect_matching,source_trace_does_not_affect_learning,counterfactual_L_match_does_not_affect_model,context_variants_do_not_affect_model,uses_compensation,stream_label,actual_record_index,timestamp,field,encoded_column,encoded_value,observe_scenario,scenario_assignment_reason,previous_winner_count,previous_winner_unique_column_count,previous_winner_unique_neuron_count,predicted_cell_count,burst_cell_count,active_cell_count,winner_only_context_count,predicted_only_context_count,burst_only_context_count,predicted_and_burst_context_count,neuron_count,neurons_with_segments,existing_segment_count,existing_synapse_count,segment_age_mean,segment_age_max,segment_weight_sum_mean,segment_overlap_max,segment_overlap_mean,segment_overlap_median,segments_overlap_0,segments_overlap_1,segments_overlap_2,segments_overlap_3,segments_overlap_4_or_more,segments_meeting_L_match,eligible_matching_segments,best_matching_segment_id,best_matching_neuron,best_matching_overlap,L_match,gap_to_L_match,matching_ambiguity_count,multiple_segments_meet_L_match,multiple_neurons_meet_L_match,best_segment_source_count,best_segment_source_active_count,best_segment_source_retention,best_segment_creation_current_jaccard,best_segment_current_context_jaccard,selected_winner_neuron,selected_segment_id,reinforced_segment_id,created_segment_id,created_new_segment,selected_existing_segment,reference_applicability
True,True,True,True,True,True,True,True,True,True,True,False,original,0,2014-07-01 00:00:00,weekday,4,1.0,scenario3,NO_EXISTING_SEGMENT_IN_COLUMN,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,,,0,4,4,0,False,False,0,0,0.0,0.0,0.0,20,,,,False,False,PREEXISTING
True,True,True,True,True,True,True,True,True,True,True,False,original,0,2014-07-01 00:00:00,weekday,5,1.0,scenario3,NO_EXISTING_SEGMENT_IN_COLUMN,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,,,0,4,4,0,False,False,0,0,0.0,0.0,0.0,11,,,,False,False,PREEXISTING
True,True,True,True,True,True,True,True,True,True,True,False,original,0,2014-07-01 00:00:00,weekday,3,1.0,scenario3,NO_EXISTING_SEGMENT_IN_COLUMN,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,,,0,4,4,0,False,False,0,0,0.0,0.0,0.0,11,,,,False,False,PREEXISTING
True,True,True,True,True,True,True,True,True,True,True,False,original,0,2014-07-01 00:00:00,weekday,6,1.0,scenario3,NO_EXISTING_SEGMENT_IN_COLUMN,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,,,0,4,4,0,False,False,0,0,0.0,0.0,0.0,29,,,,False,False,PREEXISTING
True,True,True,True,True,True,True,True,True,True,True,False,original,0,2014-07-01 00:00:00,weekday,2,1.0,scenario3,NO_EXISTING_SEGMENT_IN_COLUMN,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,,,0,4,4,0,False,False,0,0,0.0,0.0,0.0,9,,,,False,False,PREEXISTING
True,True,True,True,True,True,True,True,True,True,True,False,original,0,2014-07-01 00:00:00,weekday,7,1.0,scenario3,NO_EXISTING_SEGMENT_IN_COLUMN,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,,,0,4,4,0,False,False,0,0,0.0,0.0,0.0,27,,,,False,False,PREEXISTING
True,True,True,True,True,True,True,True,True,True,True,False,original,0,2014-07-01 00:00:00,weekday,1,1.0,scenario3,NO_EXISTING_SEGMENT_IN_COLUMN,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,,,0,4,4,0,False,False,0,0,0.0,0.0,0.0,9,,,,False,False,PREEXISTING
True,True,True,True,True,True,True,True,True,True,True,False,original,0,2014-07-01 00:00:00,weekday,8,1.0,scenario3,NO_EXISTING_SEGMENT_IN_COLUMN,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,,,0,4,4,0,False,False,0,0,0.0,0.0,0.0,3,,,,False,False,PREEXISTING
True,True,True,True,True,True,True,True,True,True,True,False,original,0,2014-07-01 00:00:00,weekday,0,1.0,scenario3,NO_EXISTING_SEGMENT_IN_COLUMN,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,,,0,4,4,0,False,False,0,0,0.0,0.0,0.0,20,,,,False,False,PREEXISTING
True,True,True,True,True,True,True,True,True,True,True,False,original,0,2014-07-01 00:00:00,weekday,9,1.0,scenario3,NO_EXISTING_SEGMENT_IN_COLUMN,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,,,0,4,4,0,False,False,0,0,0.0,0.0,0.0,14,,,,False,False,PREEXISTING
True,True,True,True,True,True,True,True,True,True,True,False,original,0,2014-07-01 00:00:00,time,30,0.0,scenario3,NO_EXISTING_SEGMENT_IN_COLUMN,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,,,0,4,4,0,False,False,0,0,0.0,0.0,0.0,31,,,,False,False,PREEXISTING
True,True,True,True,True,True,True,True,True,True,True,False,original,0,2014-07-01 00:00:00,time,31,0.0,scenario3,NO_EXISTING_SEGMENT_IN_COLUMN,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,,,0,4,4,0,False,False,0,0,0.0,0.0,0.0,1,,,,False,False,PREEXISTING
True,True,True,True,True,True,True,True,True,True,True,False,original,0,2014-07-01 00:00:00,time,87,0.0,scenario3,NO_EXISTING_SEGMENT_IN_COLUMN,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,,,0,4,4,0,False,False,0,0,0.0,0.0,0.0,31,,,,False,False,PREEXISTING
True,True,True,True,True,True,True,True,True,True,True,False,original,0,2014-07-01 00:00:00,time,86,0.0,scenario3,NO_EXISTING_SEGMENT_IN_COLUMN,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,,,0,4,4,0,False,False,0,0,0.0,0.0,0.0,1,,,,False,False,PREEXISTING
True,True,True,True,True,True,True,True,True,True,True,False,original,0,2014-07-01 00:00:00,time,32,0.0,scenario3,NO_EXISTING_SEGMENT_IN_COLUMN,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,,,0,4,4,0,False,False,0,0,0.0,0.0,0.0,4,,,,False,False,PREEXISTING
True,True,True,True,True,True,True,True,True,True,True,False,original,0,2014-07-01 00:00:00,time,33,0.0,scenario3,NO_EXISTING_SEGMENT_IN_COLUMN,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,,,0,4,4,0,False,False,0,0,0.0,0.0,0.0,29,,,,False,False,PREEXISTING
True,True,True,True,True,True,True,True,True,True,True,False,original,0,2014-07-01 00:00:00,time,85,0.0,scenario3,NO_EXISTING_SEGMENT_IN_COLUMN,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,,,0,4,4,0,False,False,0,0,0.0,0.0,0.0,22,,,,False,False,PREEXISTING
True,True,True,True,True,True,True,True,True,True,True,False,original,0,2014-07-01 00:00:00,time,84,0.0,scenario3,NO_EXISTING_SEGMENT_IN_COLUMN,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,,,0,4,4,0,False,False,0,0,0.0,0.0,0.0,17,,,,False,False,PREEXISTING
True,True,True,True,True,True,True,True,True,True,True,False,original,0,2014-07-01 00:00:00,time,34,0.0,scenario3,NO_EXISTING_SEGMENT_IN_COLUMN,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,,,0,4,4,0,False,False,0,0,0.0,0.0,0.0,1,,,,False,False,PREEXISTING
True,True,True,True,True,True,True,True,True,True,True,False,original,0,2014-07-01 00:00:00,time,35,0.0,scenario3,NO_EXISTING_SEGMENT_IN_COLUMN,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,,,0,4,4,0,False,False,0,0,0.0,0.0,0.0,14,,,,False,False,PREEXISTING
True,True,True,True,True,True,True,True,True,True,True,False,original,0,2014-07-01 00:00:00,passenger,218,10844.0,scenario3,NO_EXISTING_SEGMENT_IN_COLUMN,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,,,0,4,4,0,False,False,0,0,0.0,0.0,0.0,20,,,,False,False,PREEXISTING
