artifact,anchor_semantics,window_name,start_index,end_index_exclusive,start_timestamp,end_timestamp,n,training_records_seen_at_start,training_records_seen_at_end,standard_mape,repo_metric,wape,coverage_within_artifact
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_diagnostics\lmatch_stack_2x2_20260810\250\STRICT_RAW_L4\original_predictions.csv,predict_before_observe,full,0,45,2014-07-05 06:30:00,2014-07-06 04:30:00,45,200,244,0.6914105389498437,0.5054500721931258,0.5054500721931258,1.0
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_diagnostics\lmatch_stack_2x2_20260810\250\STRICT_RAW_L4\original_predictions.csv,predict_before_observe,first_25,0,11,2014-07-05 06:30:00,2014-07-05 11:30:00,11,200,210,1.3146932785371306,0.9774597460643152,0.9774597460643152,0.24444444444444444
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_diagnostics\lmatch_stack_2x2_20260810\250\STRICT_RAW_L4\original_predictions.csv,predict_before_observe,second_25,11,22,2014-07-05 12:00:00,2014-07-05 17:00:00,11,211,221,0.3191601259040789,0.32014751340956704,0.32014751340956704,0.24444444444444444
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_diagnostics\lmatch_stack_2x2_20260810\250\STRICT_RAW_L4\original_predictions.csv,predict_before_observe,third_25,22,33,2014-07-05 17:30:00,2014-07-05 22:30:00,11,222,232,0.3959294154463612,0.3849240814712301,0.3849240814712301,0.24444444444444444
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_diagnostics\lmatch_stack_2x2_20260810\250\STRICT_RAW_L4\original_predictions.csv,predict_before_observe,final_25,33,45,2014-07-05 23:00:00,2014-07-06 04:30:00,12,233,244,0.7321552694983074,0.5659688971695951,0.5659688971695951,0.26666666666666666
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_diagnostics\lmatch_stack_2x2_20260810\250\STRICT_RAW_L4\original_predictions.csv,predict_before_observe,first_half,0,22,2014-07-05 06:30:00,2014-07-05 17:00:00,22,200,221,0.8169267022206047,0.5592217900917348,0.5592217900917348,0.4888888888888889
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_diagnostics\lmatch_stack_2x2_20260810\250\STRICT_RAW_L4\original_predictions.csv,predict_before_observe,second_half,22,45,2014-07-05 17:30:00,2014-07-06 04:30:00,23,222,244,0.5713516001691158,0.4650251145876468,0.4650251145876468,0.5111111111111111
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_diagnostics\lmatch_stack_500_completion_20260810_resume2\500\STRICT_RAW_L4\original_predictions.csv,predict_before_observe,full,0,295,2014-07-05 06:30:00,2014-07-11 09:30:00,295,200,494,1.0872846746640348,0.5392795787736315,0.5392795787736315,1.0
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_diagnostics\lmatch_stack_500_completion_20260810_resume2\500\STRICT_RAW_L4\original_predictions.csv,predict_before_observe,first_25,0,73,2014-07-05 06:30:00,2014-07-06 18:30:00,73,200,272,0.9600334655607813,0.5649846244637381,0.5649846244637381,0.24745762711864408
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_diagnostics\lmatch_stack_500_completion_20260810_resume2\500\STRICT_RAW_L4\original_predictions.csv,predict_before_observe,second_25,73,147,2014-07-06 19:00:00,2014-07-08 07:30:00,74,273,346,1.58833264275555,0.6353754339683687,0.6353754339683687,0.25084745762711863
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_diagnostics\lmatch_stack_500_completion_20260810_resume2\500\STRICT_RAW_L4\original_predictions.csv,predict_before_observe,third_25,147,221,2014-07-08 08:00:00,2014-07-09 20:30:00,74,347,420,0.7233213210407297,0.4555278036006577,0.4555278036006577,0.25084745762711863
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_diagnostics\lmatch_stack_500_completion_20260810_resume2\500\STRICT_RAW_L4\original_predictions.csv,predict_before_observe,final_25,221,295,2014-07-09 21:00:00,2014-07-11 09:30:00,74,421,494,1.0757316583652503,0.5369790564367073,0.5369790564367073,0.25084745762711863
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_diagnostics\lmatch_stack_500_completion_20260810_resume2\500\STRICT_RAW_L4\original_predictions.csv,predict_before_observe,first_half,0,147,2014-07-05 06:30:00,2014-07-08 07:30:00,147,200,346,1.2763201261894406,0.6009362330294985,0.6009362330294985,0.49830508474576274
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_diagnostics\lmatch_stack_500_completion_20260810_resume2\500\STRICT_RAW_L4\original_predictions.csv,predict_before_observe,second_half,147,295,2014-07-08 08:00:00,2014-07-11 09:30:00,148,347,494,0.8995264897029902,0.4941961503787021,0.4941961503787021,0.5016949152542373
