field,record_range,observe_scenario,counterfactual_L_match,columns,ambiguous_column_rate,multiple_neuron_ambiguity_rate,mean_extra_passing_segments
passenger,0-49,scenario1,1,18,0.2222222222222222,0.2222222222222222,0.2222222222222222
passenger,0-49,scenario1,2,18,0.05555555555555555,0.05555555555555555,0.05555555555555555
passenger,0-49,scenario1,3,18,0.05555555555555555,0.05555555555555555,0.05555555555555555
passenger,0-49,scenario1,4,18,0.0,0.0,0.0
passenger,0-49,scenario2,1,42,0.21428571428571427,0.21428571428571427,0.21428571428571427
passenger,0-49,scenario2,2,42,0.047619047619047616,0.047619047619047616,0.047619047619047616
passenger,0-49,scenario2,3,42,0.023809523809523808,0.023809523809523808,0.023809523809523808
passenger,0-49,scenario2,4,42,0.023809523809523808,0.023809523809523808,0.023809523809523808
passenger,0-49,scenario3,1,193,0.031088082901554404,0.031088082901554404,0.03626943005181347
passenger,0-49,scenario3,2,193,0.0,0.0,0.0
passenger,0-49,scenario3,3,193,0.0,0.0,0.0
passenger,0-49,scenario3,4,193,0.0,0.0,0.0
passenger,100-149,scenario1,1,36,0.7777777777777778,0.7777777777777778,1.3611111111111112
passenger,100-149,scenario1,2,36,0.2222222222222222,0.2222222222222222,0.2777777777777778
passenger,100-149,scenario1,3,36,0.08333333333333333,0.08333333333333333,0.1111111111111111
passenger,100-149,scenario1,4,36,0.027777777777777776,0.027777777777777776,0.027777777777777776
passenger,100-149,scenario2,1,79,0.8481012658227848,0.8481012658227848,2.1139240506329116
passenger,100-149,scenario2,2,79,0.4050632911392405,0.4050632911392405,0.6835443037974683
passenger,100-149,scenario2,3,79,0.31645569620253167,0.31645569620253167,0.4810126582278481
passenger,100-149,scenario2,4,79,0.21518987341772153,0.21518987341772153,0.27848101265822783
passenger,100-149,scenario3,1,365,0.3315068493150685,0.3315068493150685,0.5342465753424658
passenger,100-149,scenario3,2,365,0.024657534246575342,0.024657534246575342,0.030136986301369864
passenger,100-149,scenario3,3,365,0.0,0.0,0.0
passenger,100-149,scenario3,4,365,0.0,0.0,0.0
passenger,150-199,scenario1,1,29,0.5517241379310345,0.5517241379310345,0.7931034482758621
passenger,150-199,scenario1,2,29,0.13793103448275862,0.13793103448275862,0.13793103448275862
passenger,150-199,scenario1,3,29,0.06896551724137931,0.06896551724137931,0.06896551724137931
passenger,150-199,scenario1,4,29,0.0,0.0,0.0
passenger,150-199,scenario2,1,57,0.6842105263157895,0.6842105263157895,1.263157894736842
passenger,150-199,scenario2,2,57,0.15789473684210525,0.15789473684210525,0.15789473684210525
passenger,150-199,scenario2,3,57,0.14035087719298245,0.14035087719298245,0.14035087719298245
passenger,150-199,scenario2,4,57,0.07017543859649122,0.07017543859649122,0.07017543859649122
passenger,150-199,scenario3,1,402,0.2810945273631841,0.2810945273631841,0.4129353233830846
passenger,150-199,scenario3,2,402,0.012437810945273632,0.012437810945273632,0.014925373134328358
passenger,150-199,scenario3,3,402,0.0,0.0,0.0
passenger,150-199,scenario3,4,402,0.0,0.0,0.0
passenger,200-244,scenario1,1,34,0.7941176470588235,0.7941176470588235,1.5294117647058822
passenger,200-244,scenario1,2,34,0.20588235294117646,0.20588235294117646,0.20588235294117646
passenger,200-244,scenario1,3,34,0.058823529411764705,0.058823529411764705,0.058823529411764705
passenger,200-244,scenario1,4,34,0.058823529411764705,0.058823529411764705,0.058823529411764705
passenger,200-244,scenario2,1,87,0.8735632183908046,0.8735632183908046,1.9655172413793103
passenger,200-244,scenario2,2,87,0.4827586206896552,0.4827586206896552,0.5862068965517241
passenger,200-244,scenario2,3,87,0.20689655172413793,0.20689655172413793,0.20689655172413793
passenger,200-244,scenario2,4,87,0.12643678160919541,0.12643678160919541,0.12643678160919541
passenger,200-244,scenario3,1,329,0.5227963525835866,0.5227963525835866,0.9148936170212766
passenger,200-244,scenario3,2,329,0.0486322188449848,0.0486322188449848,0.0486322188449848
passenger,200-244,scenario3,3,329,0.00303951367781155,0.00303951367781155,0.00303951367781155
passenger,200-244,scenario3,4,329,0.0,0.0,0.0
passenger,50-99,scenario1,1,31,0.5806451612903226,0.5806451612903226,1.1290322580645162
passenger,50-99,scenario1,2,31,0.16129032258064516,0.16129032258064516,0.1935483870967742
passenger,50-99,scenario1,3,31,0.0,0.0,0.0
passenger,50-99,scenario1,4,31,0.0,0.0,0.0
passenger,50-99,scenario2,1,68,0.8676470588235294,0.8676470588235294,1.7205882352941178
passenger,50-99,scenario2,2,68,0.3235294117647059,0.3235294117647059,0.39705882352941174
passenger,50-99,scenario2,3,68,0.14705882352941177,0.14705882352941177,0.17647058823529413
passenger,50-99,scenario2,4,68,0.11764705882352941,0.11764705882352941,0.11764705882352941
passenger,50-99,scenario3,1,356,0.21067415730337077,0.21067415730337077,0.30337078651685395
passenger,50-99,scenario3,2,356,0.016853932584269662,0.016853932584269662,0.016853932584269662
passenger,50-99,scenario3,3,356,0.0,0.0,0.0
passenger,50-99,scenario3,4,356,0.0,0.0,0.0
time,0-49,scenario1,1,69,0.4927536231884058,0.4927536231884058,0.8260869565217391
time,0-49,scenario1,2,69,0.2608695652173913,0.2608695652173913,0.2753623188405797
time,0-49,scenario1,3,69,0.17391304347826086,0.17391304347826086,0.17391304347826086
