field,record_range,observe_scenario,counterfactual_L_match,columns,columns_with_any_passing_segment_rate,mean_passing_segment_count,mean_passing_neuron_count,mean_best_passing_overlap,selected_segment_compatibility_rate,teacher_reference_neuron_availability_rate,teacher_reference_segment_availability_rate
passenger,0-49,scenario1,1,18,1.0,1.2222222222222223,1.2222222222222223,7.944444444444445,1.0,1.0,1.0
passenger,0-49,scenario1,2,18,1.0,1.0555555555555556,1.0555555555555556,7.944444444444445,1.0,1.0,1.0
passenger,0-49,scenario1,3,18,0.9444444444444444,1.0,1.0,7.833333333333333,0.9444444444444444,0.9444444444444444,0.9444444444444444
passenger,0-49,scenario1,4,18,0.8888888888888888,0.8888888888888888,0.8888888888888888,7.666666666666667,0.8888888888888888,0.8888888888888888,0.8888888888888888
passenger,0-49,scenario2,1,42,1.0,1.2142857142857142,1.2142857142857142,9.714285714285714,1.0,1.0,1.0
passenger,0-49,scenario2,2,42,1.0,1.0476190476190477,1.0476190476190477,9.714285714285714,1.0,1.0,1.0
passenger,0-49,scenario2,3,42,1.0,1.0238095238095237,1.0238095238095237,9.714285714285714,1.0,1.0,1.0
passenger,0-49,scenario2,4,42,1.0,1.0238095238095237,1.0238095238095237,9.714285714285714,1.0,1.0,1.0
passenger,0-49,scenario3,1,193,0.22797927461139897,0.26424870466321243,0.26424870466321243,0.29015544041450775,0.0,0.0,0.0
passenger,0-49,scenario3,2,193,0.05699481865284974,0.05699481865284974,0.05699481865284974,0.11917098445595854,0.0,0.0,0.0
passenger,0-49,scenario3,3,193,0.0051813471502590676,0.0051813471502590676,0.0051813471502590676,0.015544041450777202,0.0,0.0,0.0
passenger,0-49,scenario3,4,193,0.0,0.0,0.0,0.0,0.0,0.0,0.0
passenger,100-149,scenario1,1,36,0.9444444444444444,2.3055555555555554,2.3055555555555554,5.277777777777778,0.9166666666666666,0.9166666666666666,0.9166666666666666
passenger,100-149,scenario1,2,36,0.8055555555555556,1.0833333333333333,1.0833333333333333,5.138888888888889,0.75,0.75,0.75
passenger,100-149,scenario1,3,36,0.6944444444444444,0.8055555555555556,0.8055555555555556,4.916666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666
passenger,100-149,scenario1,4,36,0.4722222222222222,0.5,0.5,4.25,0.4166666666666667,0.4166666666666667,0.4166666666666667
passenger,100-149,scenario2,1,79,1.0,3.1139240506329116,3.1139240506329116,8.240506329113924,1.0,1.0,1.0
passenger,100-149,scenario2,2,79,1.0,1.6835443037974684,1.6835443037974684,8.240506329113924,1.0,1.0,1.0
passenger,100-149,scenario2,3,79,1.0,1.481012658227848,1.481012658227848,8.240506329113924,1.0,1.0,1.0
passenger,100-149,scenario2,4,79,1.0,1.2784810126582278,1.2784810126582278,8.240506329113924,1.0,1.0,1.0
passenger,100-149,scenario3,1,365,0.6493150684931507,1.1835616438356165,1.1835616438356165,0.9013698630136986,0.0,0.0,0.0
passenger,100-149,scenario3,2,365,0.18904109589041096,0.2191780821917808,0.2191780821917808,0.4410958904109589,0.0,0.0,0.0
passenger,100-149,scenario3,3,365,0.06301369863013699,0.06301369863013699,0.06301369863013699,0.18904109589041096,0.0,0.0,0.0
passenger,100-149,scenario3,4,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0
passenger,150-199,scenario1,1,29,1.0,1.793103448275862,1.793103448275862,5.793103448275862,0.9655172413793104,0.9655172413793104,0.9655172413793104
passenger,150-199,scenario1,2,29,0.896551724137931,1.0344827586206897,1.0344827586206897,5.689655172413793,0.8620689655172413,0.8620689655172413,0.8620689655172413
passenger,150-199,scenario1,3,29,0.8275862068965517,0.896551724137931,0.896551724137931,5.551724137931035,0.8275862068965517,0.8275862068965517,0.8275862068965517
passenger,150-199,scenario1,4,29,0.7586206896551724,0.7586206896551724,0.7586206896551724,5.344827586206897,0.7241379310344828,0.7241379310344828,0.7241379310344828
passenger,150-199,scenario2,1,57,1.0,2.263157894736842,2.263157894736842,8.596491228070175,1.0,1.0,1.0
passenger,150-199,scenario2,2,57,1.0,1.1578947368421053,1.1578947368421053,8.596491228070175,1.0,1.0,1.0
passenger,150-199,scenario2,3,57,1.0,1.1403508771929824,1.1403508771929824,8.596491228070175,1.0,1.0,1.0
passenger,150-199,scenario2,4,57,1.0,1.0701754385964912,1.0701754385964912,8.596491228070175,1.0,1.0,1.0
passenger,150-199,scenario3,1,402,0.6094527363184079,1.0223880597014925,1.0223880597014925,0.7835820895522388,0.0,0.0,0.0
passenger,150-199,scenario3,2,402,0.14676616915422885,0.16169154228855723,0.16169154228855723,0.3208955223880597,0.0,0.0,0.0
passenger,150-199,scenario3,3,402,0.02736318407960199,0.02736318407960199,0.02736318407960199,0.08208955223880597,0.0,0.0,0.0
passenger,150-199,scenario3,4,402,0.0,0.0,0.0,0.0,0.0,0.0,0.0
passenger,200-244,scenario1,1,34,1.0,2.5294117647058822,2.5294117647058822,5.794117647058823,0.8823529411764706,0.8823529411764706,0.8823529411764706
passenger,200-244,scenario1,2,34,0.8823529411764706,1.088235294117647,1.088235294117647,5.676470588235294,0.7941176470588235,0.7941176470588235,0.7941176470588235
passenger,200-244,scenario1,3,34,0.7352941176470589,0.7941176470588235,0.7941176470588235,5.382352941176471,0.6176470588235294,0.6176470588235294,0.6176470588235294
passenger,200-244,scenario1,4,34,0.5588235294117647,0.6176470588235294,0.6176470588235294,4.852941176470588,0.47058823529411764,0.47058823529411764,0.47058823529411764
passenger,200-244,scenario2,1,87,1.0,2.9655172413793105,2.9655172413793105,9.114942528735632,1.0,1.0,1.0
passenger,200-244,scenario2,2,87,1.0,1.5862068965517242,1.5862068965517242,9.114942528735632,1.0,1.0,1.0
passenger,200-244,scenario2,3,87,1.0,1.206896551724138,1.206896551724138,9.114942528735632,1.0,1.0,1.0
passenger,200-244,scenario2,4,87,1.0,1.1264367816091954,1.1264367816091954,9.114942528735632,1.0,1.0,1.0
passenger,200-244,scenario3,1,329,0.8115501519756839,1.7264437689969605,1.7264437689969605,1.1185410334346504,0.0,0.0,0.0
passenger,200-244,scenario3,2,329,0.25227963525835867,0.3009118541033435,0.3009118541033435,0.5592705167173252,0.0,0.0,0.0
passenger,200-244,scenario3,3,329,0.0547112462006079,0.057750759878419454,0.057750759878419454,0.1641337386018237,0.0,0.0,0.0
passenger,200-244,scenario3,4,329,0.0,0.0,0.0,0.0,0.0,0.0,0.0
passenger,50-99,scenario1,1,31,1.0,2.129032258064516,2.129032258064516,7.387096774193548,0.967741935483871,0.967741935483871,0.967741935483871
passenger,50-99,scenario1,2,31,0.967741935483871,1.1612903225806452,1.1612903225806452,7.354838709677419,0.9032258064516129,0.9032258064516129,0.9032258064516129
passenger,50-99,scenario1,3,31,0.9354838709677419,0.9354838709677419,0.9354838709677419,7.290322580645161,0.9032258064516129,0.9032258064516129,0.9032258064516129
passenger,50-99,scenario1,4,31,0.7419354838709677,0.7419354838709677,0.7419354838709677,6.709677419354839,0.7096774193548387,0.7096774193548387,0.7096774193548387
passenger,50-99,scenario2,1,68,1.0,2.7205882352941178,2.7205882352941178,8.602941176470589,1.0,1.0,1.0
passenger,50-99,scenario2,2,68,1.0,1.3970588235294117,1.3970588235294117,8.602941176470589,1.0,1.0,1.0
passenger,50-99,scenario2,3,68,1.0,1.1764705882352942,1.1764705882352942,8.602941176470589,1.0,1.0,1.0
passenger,50-99,scenario2,4,68,1.0,1.1176470588235294,1.1176470588235294,8.602941176470589,1.0,1.0,1.0
passenger,50-99,scenario3,1,356,0.5814606741573034,0.8848314606741573,0.8848314606741573,0.75,0.0,0.0,0.0
passenger,50-99,scenario3,2,356,0.13202247191011235,0.14887640449438203,0.14887640449438203,0.300561797752809,0.0,0.0,0.0
passenger,50-99,scenario3,3,356,0.03651685393258427,0.03651685393258427,0.03651685393258427,0.10955056179775281,0.0,0.0,0.0
passenger,50-99,scenario3,4,356,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time,0-49,scenario1,1,69,1.0,1.826086956521739,1.826086956521739,4.72463768115942,0.9855072463768116,0.9855072463768116,0.9855072463768116
time,0-49,scenario1,2,69,0.8695652173913043,1.144927536231884,1.144927536231884,4.594202898550725,0.7536231884057971,0.7536231884057971,0.7536231884057971
time,0-49,scenario1,3,69,0.7681159420289855,0.9420289855072463,0.9420289855072463,4.391304347826087,0.6666666666666666,0.6666666666666666,0.6666666666666666
time,0-49,scenario1,4,69,0.463768115942029,0.5652173913043478,0.5652173913043478,3.4782608695652173,0.36231884057971014,0.36231884057971014,0.36231884057971014
time,0-49,scenario2,1,104,1.0,2.7115384615384617,2.7115384615384617,8.711538461538462,1.0,1.0,1.0
time,0-49,scenario2,2,104,1.0,1.6057692307692308,1.6057692307692308,8.711538461538462,1.0,1.0,1.0
time,0-49,scenario2,3,104,1.0,1.3365384615384615,1.3365384615384615,8.711538461538462,1.0,1.0,1.0
time,0-49,scenario2,4,104,1.0,1.125,1.125,8.711538461538462,1.0,1.0,1.0
time,0-49,scenario3,1,259,0.7027027027027027,1.1544401544401544,1.1544401544401544,1.3552123552123552,0.0,0.0,0.0
time,0-49,scenario3,2,259,0.42084942084942084,0.4749034749034749,0.4749034749034749,1.0733590733590734,0.0,0.0,0.0
time,0-49,scenario3,3,259,0.23166023166023167,0.23938223938223938,0.23938223938223938,0.694980694980695,0.0,0.0,0.0
time,0-49,scenario3,4,259,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time,100-149,scenario1,1,104,1.0,3.6346153846153846,3.6346153846153846,9.759615384615385,0.9903846153846154,0.9903846153846154,0.9903846153846154
time,100-149,scenario1,2,104,1.0,2.355769230769231,2.355769230769231,9.759615384615385,0.8942307692307693,0.8942307692307693,0.8942307692307693
time,100-149,scenario1,3,104,0.9903846153846154,1.7692307692307692,1.7692307692307692,9.740384615384615,0.7788461538461539,0.7788461538461539,0.7788461538461539
time,100-149,scenario1,4,104,0.9519230769230769,1.3557692307692308,1.3557692307692308,9.625,0.6730769230769231,0.6730769230769231,0.6730769230769231
time,100-149,scenario2,1,393,1.0,4.142493638676845,4.142493638676845,12.198473282442748,1.0,1.0,1.0
time,100-149,scenario2,2,393,1.0,2.5852417302798982,2.5852417302798982,12.198473282442748,1.0,1.0,1.0
time,100-149,scenario2,3,393,1.0,1.8727735368956744,1.8727735368956744,12.198473282442748,1.0,1.0,1.0
time,100-149,scenario2,4,393,1.0,1.4351145038167938,1.4351145038167938,12.198473282442748,1.0,1.0,1.0
time,100-149,scenario3,1,3,1.0,3.6666666666666665,3.6666666666666665,3.0,0.0,0.0,0.0
time,100-149,scenario3,2,3,1.0,2.0,2.0,3.0,0.0,0.0,0.0
time,100-149,scenario3,3,3,1.0,2.0,2.0,3.0,0.0,0.0,0.0
time,100-149,scenario3,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time,150-199,scenario1,1,107,1.0,3.317757009345794,3.317757009345794,11.280373831775702,1.0,1.0,1.0
time,150-199,scenario1,2,107,1.0,2.1588785046728973,2.1588785046728973,11.280373831775702,0.9345794392523364,0.9345794392523364,0.9345794392523364
time,150-199,scenario1,3,107,0.9906542056074766,1.588785046728972,1.588785046728972,11.261682242990654,0.8317757009345794,0.8317757009345794,0.8317757009345794
time,150-199,scenario1,4,107,0.9813084112149533,1.2149532710280373,1.2149532710280373,11.233644859813085,0.7570093457943925,0.7570093457943925,0.7570093457943925
time,150-199,scenario2,1,390,1.0,3.4974358974358974,3.4974358974358974,14.08974358974359,1.0,1.0,1.0
time,150-199,scenario2,2,390,1.0,2.2717948717948717,2.2717948717948717,14.08974358974359,1.0,1.0,1.0
time,150-199,scenario2,3,390,1.0,1.6974358974358974,1.6974358974358974,14.08974358974359,1.0,1.0,1.0
time,150-199,scenario2,4,390,1.0,1.3358974358974358,1.3358974358974358,14.08974358974359,1.0,1.0,1.0
time,150-199,scenario3,1,3,1.0,2.6666666666666665,2.6666666666666665,2.3333333333333335,0.0,0.0,0.0
time,150-199,scenario3,2,3,1.0,1.0,1.0,2.3333333333333335,0.0,0.0,0.0
time,150-199,scenario3,3,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.0
time,150-199,scenario3,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time,200-244,scenario1,1,102,1.0,3.6372549019607843,3.6372549019607843,11.303921568627452,0.9803921568627451,0.9803921568627451,0.9803921568627451
time,200-244,scenario1,2,102,1.0,2.264705882352941,2.264705882352941,11.303921568627452,0.9019607843137255,0.9019607843137255,0.9019607843137255
time,200-244,scenario1,3,102,1.0,1.5392156862745099,1.5392156862745099,11.303921568627452,0.7450980392156863,0.7450980392156863,0.7450980392156863
time,200-244,scenario1,4,102,0.9705882352941176,1.2549019607843137,1.2549019607843137,11.215686274509803,0.6568627450980392,0.6568627450980392,0.6568627450980392
time,200-244,scenario2,1,348,1.0,3.896551724137931,3.896551724137931,13.775862068965518,1.0,1.0,1.0
time,200-244,scenario2,2,348,1.0,2.5402298850574714,2.5402298850574714,13.775862068965518,1.0,1.0,1.0
time,200-244,scenario2,3,348,1.0,1.867816091954023,1.867816091954023,13.775862068965518,1.0,1.0,1.0
time,200-244,scenario2,4,348,1.0,1.5660919540229885,1.5660919540229885,13.775862068965518,1.0,1.0,1.0
time,50-99,scenario1,1,142,1.0,3.387323943661972,3.387323943661972,8.450704225352112,0.9859154929577465,0.9859154929577465,0.9859154929577465
time,50-99,scenario1,2,142,0.9929577464788732,1.943661971830986,1.943661971830986,8.443661971830986,0.9154929577464789,0.9154929577464789,0.9154929577464789
