field,record_range,observe_scenario,observation_count,observation_denominator_scope,existing_segment_observation_count,existing_segment_rate_all_observations,existing_segment_denominator_scope,segment_row_count,segment_row_denominator_scope,best_overlap_mean_all_observations,best_overlap_median_all_observations,best_overlap_p10_all_observations,best_overlap_p25_all_observations,best_overlap_p75_all_observations,best_overlap_p90_all_observations,gap_to_L_match_mean_all_observations,source_retention_mean_segment_rows,creation_current_jaccard_mean_segment_rows,L1_match_observation_count,L1_match_rate_existing_segment_observations,L1_ambiguity_observation_count,L1_ambiguity_rate_existing_segment_observations,L1_multiple_neuron_ambiguity_count,L1_multiple_neuron_ambiguity_rate_existing_segment_observations,L2_match_observation_count,L2_match_rate_existing_segment_observations,L2_ambiguity_observation_count,L2_ambiguity_rate_existing_segment_observations,L2_multiple_neuron_ambiguity_count,L2_multiple_neuron_ambiguity_rate_existing_segment_observations,L3_match_observation_count,L3_match_rate_existing_segment_observations,L3_ambiguity_observation_count,L3_ambiguity_rate_existing_segment_observations,L3_multiple_neuron_ambiguity_count,L3_multiple_neuron_ambiguity_rate_existing_segment_observations,L4_match_observation_count,L4_match_rate_existing_segment_observations,L4_ambiguity_observation_count,L4_ambiguity_rate_existing_segment_observations,L4_multiple_neuron_ambiguity_count,L4_multiple_neuron_ambiguity_rate_existing_segment_observations,all_cell_current_best_overlap_mean_existing_segment_observations,winner_only_best_overlap_mean_existing_segment_observations,predicted_only_best_overlap_mean_existing_segment_observations,burst_only_best_overlap_mean_existing_segment_observations,predicted_plus_winner_best_overlap_mean_existing_segment_observations,without_burst_only_best_overlap_mean_existing_segment_observations,same_field_only_best_overlap_mean_existing_segment_observations,cross_field_only_best_overlap_mean_existing_segment_observations
passenger,0-49,scenario1,18,field_x_record_range_x_scenario_all_observed_columns,18,1.0,observations_in_scope_with_at_least_one_preexisting_segment,41,all_preexisting_segment_rows_for_observations_in_scope,7.944444444444445,10.0,3.7,4.25,10.0,10.0,0.16666666666666666,0.4260162601626016,0.013891965817911798,18,1.0,4,0.2222222222222222,4,0.2222222222222222,18,1.0,1,0.05555555555555555,1,0.05555555555555555,17,0.9444444444444444,1,0.05555555555555555,1,0.05555555555555555,16,0.8888888888888888,0,0.0,0,0.0,7.944444444444445,6.777777777777778,0.05555555555555555,7.888888888888889,6.777777777777778,6.777777777777778,0.2777777777777778,7.833333333333333
passenger,0-49,scenario2,42,field_x_record_range_x_scenario_all_observed_columns,42,1.0,observations_in_scope_with_at_least_one_preexisting_segment,121,all_preexisting_segment_rows_for_observations_in_scope,9.714285714285714,10.0,5.500000000000003,10.0,10.0,10.0,0.0,0.4705234159779614,0.015119206345107442,42,1.0,9,0.21428571428571427,9,0.21428571428571427,42,1.0,2,0.047619047619047616,2,0.047619047619047616,42,1.0,1,0.023809523809523808,1,0.023809523809523808,42,1.0,1,0.023809523809523808,1,0.023809523809523808,9.714285714285714,9.166666666666666,0.0,9.714285714285714,9.166666666666666,9.166666666666666,0.6190476190476191,9.238095238095237
passenger,0-49,scenario3,440,field_x_record_range_x_scenario_all_observed_columns,193,0.43863636363636366,observations_in_scope_with_at_least_one_preexisting_segment,308,all_preexisting_segment_rows_for_observations_in_scope,0.12727272727272726,0.0,0.0,0.0,0.0,0.10000000000002274,3.8727272727272726,0.4972943722943723,0.01634827864339102,44,0.22797927461139897,6,0.031088082901554404,6,0.031088082901554404,11,0.05699481865284974,0,0.0,0,0.0,1,0.0051813471502590676,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.29015544041450775,0.0051813471502590676,0.0,0.29015544041450775,0.0051813471502590676,0.0051813471502590676,0.11398963730569948,0.19170984455958548
passenger,100-149,scenario1,36,field_x_record_range_x_scenario_all_observed_columns,36,1.0,observations_in_scope_with_at_least_one_preexisting_segment,214,all_preexisting_segment_rows_for_observations_in_scope,5.277777777777778,3.0,1.0,2.0,10.0,10.0,1.0833333333333333,0.352803738317757,0.01229590678050745,34,0.9444444444444444,28,0.7777777777777778,28,0.7777777777777778,29,0.8055555555555556,8,0.2222222222222222,8,0.2222222222222222,25,0.6944444444444444,3,0.08333333333333333,3,0.08333333333333333,17,0.4722222222222222,1,0.027777777777777776,1,0.027777777777777776,5.277777777777778,4.027777777777778,0.3055555555555556,5.055555555555555,4.027777777777778,4.027777777777778,0.8611111111111112,4.833333333333333
passenger,100-149,scenario2,79,field_x_record_range_x_scenario_all_observed_columns,79,1.0,observations_in_scope_with_at_least_one_preexisting_segment,512,all_preexisting_segment_rows_for_observations_in_scope,8.240506329113924,9.0,4.0,6.0,10.0,11.0,0.0,0.3766276041666667,0.01304915699851493,79,1.0,67,0.8481012658227848,67,0.8481012658227848,79,1.0,32,0.4050632911392405,32,0.4050632911392405,79,1.0,25,0.31645569620253167,25,0.31645569620253167,79,1.0,17,0.21518987341772153,17,0.21518987341772153,8.240506329113924,6.227848101265823,0.6075949367088608,7.784810126582278,6.227848101265823,6.227848101265823,2.037974683544304,7.10126582278481
passenger,100-149,scenario3,385,field_x_record_range_x_scenario_all_observed_columns,365,0.948051948051948,observations_in_scope_with_at_least_one_preexisting_segment,1554,all_preexisting_segment_rows_for_observations_in_scope,0.8545454545454545,1.0,0.0,0.0,1.0,2.0,3.1454545454545455,0.3006220506220506,0.010788725494882932,237,0.6493150684931507,121,0.3315068493150685,121,0.3315068493150685,69,0.18904109589041096,9,0.024657534246575342,9,0.024657534246575342,23,0.06301369863013699,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.9013698630136986,0.4794520547945205,0.10410958904109589,0.8684931506849315,0.4794520547945205,0.4794520547945205,0.22465753424657534,0.7808219178082192
passenger,150-199,scenario1,29,field_x_record_range_x_scenario_all_observed_columns,29,1.0,observations_in_scope_with_at_least_one_preexisting_segment,162,all_preexisting_segment_rows_for_observations_in_scope,5.793103448275862,5.0,1.8000000000000003,4.0,9.0,10.0,0.5172413793103449,0.2462962962962963,0.009434372300201084,29,1.0,16,0.5517241379310345,16,0.5517241379310345,26,0.896551724137931,4,0.13793103448275862,4,0.13793103448275862,24,0.8275862068965517,2,0.06896551724137931,2,0.06896551724137931,22,0.7586206896551724,0,0.0,0,0.0,5.793103448275862,2.5172413793103448,0.7931034482758621,5.068965517241379,2.5172413793103448,2.5172413793103448,1.5862068965517242,4.586206896551724
passenger,150-199,scenario2,57,field_x_record_range_x_scenario_all_observed_columns,57,1.0,observations_in_scope_with_at_least_one_preexisting_segment,415,all_preexisting_segment_rows_for_observations_in_scope,8.596491228070175,9.0,4.0,7.0,10.0,10.399999999999999,0.0,0.23831325301204817,0.008871211136931907,57,1.0,39,0.6842105263157895,39,0.6842105263157895,57,1.0,9,0.15789473684210525,9,0.15789473684210525,57,1.0,8,0.14035087719298245,8,0.14035087719298245,57,1.0,4,0.07017543859649122,4,0.07017543859649122,8.596491228070175,5.456140350877193,1.631578947368421,7.035087719298246,5.456140350877193,5.456140350877193,1.368421052631579,7.666666666666667
passenger,150-199,scenario3,414,field_x_record_range_x_scenario_all_observed_columns,402,0.9710144927536232,observations_in_scope_with_at_least_one_preexisting_segment,1951,all_preexisting_segment_rows_for_observations_in_scope,0.7608695652173914,1.0,0.0,0.0,1.0,2.0,3.239130434782609,0.20584315735520248,0.008003481645771185,245,0.6094527363184079,113,0.2810945273631841,113,0.2810945273631841,59,0.14676616915422885,5,0.012437810945273632,5,0.012437810945273632,11,0.02736318407960199,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.7835820895522388,0.4427860696517413,0.09701492537313433,0.7388059701492538,0.4427860696517413,0.4427860696517413,0.20149253731343283,0.6666666666666666
passenger,200-244,scenario1,34,field_x_record_range_x_scenario_all_observed_columns,34,1.0,observations_in_scope_with_at_least_one_preexisting_segment,285,all_preexisting_segment_rows_for_observations_in_scope,5.794117647058823,4.0,1.3000000000000003,2.25,10.0,10.0,0.8235294117647058,0.23567251461988306,0.008458119451336125,34,1.0,27,0.7941176470588235,27,0.7941176470588235,30,0.8823529411764706,7,0.20588235294117646,7,0.20588235294117646,25,0.7352941176470589,2,0.058823529411764705,2,0.058823529411764705,19,0.5588235294117647,2,0.058823529411764705,2,0.058823529411764705,5.794117647058823,4.382352941176471,0.8235294117647058,5.176470588235294,4.382352941176471,4.382352941176471,1.0,5.264705882352941
