field,record_range,observe_scenario,segment_row_count,denominator_scope,source_retention_mean_segment_rows,current_source_retention_mean_segment_rows,creation_current_jaccard_mean_segment_rows,creation_source_count_mean_segment_rows
passenger,0-49,scenario1,41,all_preexisting_segment_rows_for_field_x_range_x_scenario,0.4260162601626016,0.41930421629797693,0.013891965817911798,30.0
passenger,0-49,scenario2,121,all_preexisting_segment_rows_for_field_x_range_x_scenario,0.4705234159779614,0.4642399767261636,0.015119206345107442,30.0
passenger,0-49,scenario3,308,all_preexisting_segment_rows_for_field_x_range_x_scenario,0.4972943722943723,0.4942577779823952,0.01634827864339102,30.0
passenger,100-149,scenario1,214,all_preexisting_segment_rows_for_field_x_range_x_scenario,0.352803738317757,0.3528032517827919,0.01229590678050745,30.0
passenger,100-149,scenario2,512,all_preexisting_segment_rows_for_field_x_range_x_scenario,0.3766276041666667,0.3823997920521244,0.01304915699851493,30.0
passenger,100-149,scenario3,1554,all_preexisting_segment_rows_for_field_x_range_x_scenario,0.3006220506220506,0.30152913202512516,0.010788725494882932,30.0
passenger,150-199,scenario1,162,all_preexisting_segment_rows_for_field_x_range_x_scenario,0.2462962962962963,0.24902076065008633,0.009434372300201084,30.0
passenger,150-199,scenario2,415,all_preexisting_segment_rows_for_field_x_range_x_scenario,0.23831325301204817,0.24773365885353674,0.008871211136931907,30.0
passenger,150-199,scenario3,1951,all_preexisting_segment_rows_for_field_x_range_x_scenario,0.20584315735520248,0.2079810285879439,0.008003481645771185,30.0
passenger,200-244,scenario1,285,all_preexisting_segment_rows_for_field_x_range_x_scenario,0.23567251461988306,0.2373873232467549,0.008458119451336125,30.0
passenger,200-244,scenario2,782,all_preexisting_segment_rows_for_field_x_range_x_scenario,0.29249786871270245,0.298860971221336,0.010157329649059983,30.0
passenger,200-244,scenario3,2437,all_preexisting_segment_rows_for_field_x_range_x_scenario,0.2255368622623444,0.2266081142724548,0.00799348065403461,30.0
passenger,50-99,scenario1,127,all_preexisting_segment_rows_for_field_x_range_x_scenario,0.3811023622047244,0.3674630095314148,0.014032351762506197,30.0
passenger,50-99,scenario2,362,all_preexisting_segment_rows_for_field_x_range_x_scenario,0.38554327808471456,0.37314723689406715,0.014213179183987026,30.0
passenger,50-99,scenario3,967,all_preexisting_segment_rows_for_field_x_range_x_scenario,0.38276456394346775,0.3811543660647543,0.01398166881364918,30.0
time,0-49,scenario1,188,all_preexisting_segment_rows_for_field_x_range_x_scenario,0.5741134751773049,0.567249112144745,0.018795758932741765,30.0
time,0-49,scenario2,435,all_preexisting_segment_rows_for_field_x_range_x_scenario,0.5196934865900383,0.5097286029857291,0.016891621467871803,30.0
time,0-49,scenario3,743,all_preexisting_segment_rows_for_field_x_range_x_scenario,0.5557200538358008,0.5515793754351503,0.01815363431131029,30.0
time,100-149,scenario1,593,all_preexisting_segment_rows_for_field_x_range_x_scenario,0.2942664418212479,0.32651335581980734,0.010286170064534344,30.0
time,100-149,scenario2,2267,all_preexisting_segment_rows_for_field_x_range_x_scenario,0.2747978238494339,0.3089983606916709,0.00973641864140945,30.0
time,100-149,scenario3,17,all_preexisting_segment_rows_for_field_x_range_x_scenario,0.2647058823529412,0.2882124071879112,0.009338462147374112,30.0
time,150-199,scenario1,619,all_preexisting_segment_rows_for_field_x_range_x_scenario,0.20780829294561118,0.2328201166077486,0.008047049486615922,30.0
time,150-199,scenario2,2258,all_preexisting_segment_rows_for_field_x_range_x_scenario,0.19257454974904045,0.21059767160643036,0.007529454486140274,30.0
time,150-199,scenario3,16,all_preexisting_segment_rows_for_field_x_range_x_scenario,0.16666666666666666,0.21661325994390046,0.0069795774302258175,30.0
time,200-244,scenario1,599,all_preexisting_segment_rows_for_field_x_range_x_scenario,0.20795770728992766,0.22737610635685387,0.007266769971518926,30.0
time,200-244,scenario2,2035,all_preexisting_segment_rows_for_field_x_range_x_scenario,0.1904013104013104,0.21206735440323496,0.006675045662977332,30.0
time,50-99,scenario1,812,all_preexisting_segment_rows_for_field_x_range_x_scenario,0.3719622331691297,0.3819401934965483,0.013684829493045246,30.0
time,50-99,scenario2,1912,all_preexisting_segment_rows_for_field_x_range_x_scenario,0.3722454672245467,0.3811256783909986,0.0135452955620467,30.0
time,50-99,scenario3,87,all_preexisting_segment_rows_for_field_x_range_x_scenario,0.34827586206896555,0.35128818679634505,0.013408957979477911,30.0
weekday,0-49,scenario2,464,all_preexisting_segment_rows_for_field_x_range_x_scenario,0.3829022988505747,0.1949944772652794,0.012429056895394664,30.0
weekday,0-49,scenario3,16,all_preexisting_segment_rows_for_field_x_range_x_scenario,0.4666666666666667,0.26532438478747206,0.015319111711912418,30.0
weekday,100-149,scenario1,229,all_preexisting_segment_rows_for_field_x_range_x_scenario,0.18296943231441049,0.15066846416305646,0.0065407665951220445,30.0
weekday,100-149,scenario2,1123,all_preexisting_segment_rows_for_field_x_range_x_scenario,0.22481448501038884,0.16620404549599843,0.007918610685542105,30.0
weekday,100-149,scenario3,14,all_preexisting_segment_rows_for_field_x_range_x_scenario,0.4642857142857143,0.34304176215940924,0.016635688117722224,30.0
weekday,150-199,scenario1,560,all_preexisting_segment_rows_for_field_x_range_x_scenario,0.14583333333333334,0.14299196370261927,0.0057276612180457995,30.0
weekday,150-199,scenario2,711,all_preexisting_segment_rows_for_field_x_range_x_scenario,0.19971870604781997,0.16740231736871272,0.00737649749204197,30.0
weekday,150-199,scenario3,16,all_preexisting_segment_rows_for_field_x_range_x_scenario,0.44375,0.3490036445247069,0.01631360533428999,30.0
weekday,200-244,scenario1,222,all_preexisting_segment_rows_for_field_x_range_x_scenario,0.21846846846846846,0.17404638312145276,0.007712428666551279,30.0
weekday,200-244,scenario2,968,all_preexisting_segment_rows_for_field_x_range_x_scenario,0.20158402203856748,0.14900414486053232,0.007107201302714846,30.0
weekday,200-244,scenario3,14,all_preexisting_segment_rows_for_field_x_range_x_scenario,0.4095238095238095,0.2727638955027046,0.014189165165273037,30.0
weekday,50-99,scenario1,229,all_preexisting_segment_rows_for_field_x_range_x_scenario,0.23085880640465795,0.1736949220196893,0.008519464748451382,30.0
weekday,50-99,scenario2,857,all_preexisting_segment_rows_for_field_x_range_x_scenario,0.24745235316997277,0.17331708351498173,0.00896706892345752,30.0
weekday,50-99,scenario3,18,all_preexisting_segment_rows_for_field_x_range_x_scenario,0.4,0.25920709441836204,0.01622551055258492,30.0
