field,record_range,observe_scenario,reference_row_count,denominator_scope,winner_reference_available_count,preexisting_segment_reference_count
passenger,0-49,scenario1,18,teacher_forced_observation_rows_field_x_range_x_scenario,18,18
passenger,0-49,scenario2,42,teacher_forced_observation_rows_field_x_range_x_scenario,42,42
passenger,0-49,scenario3,440,teacher_forced_observation_rows_field_x_range_x_scenario,440,0
passenger,100-149,scenario1,36,teacher_forced_observation_rows_field_x_range_x_scenario,36,36
passenger,100-149,scenario2,79,teacher_forced_observation_rows_field_x_range_x_scenario,79,79
passenger,100-149,scenario3,385,teacher_forced_observation_rows_field_x_range_x_scenario,385,0
passenger,150-199,scenario1,29,teacher_forced_observation_rows_field_x_range_x_scenario,29,29
passenger,150-199,scenario2,57,teacher_forced_observation_rows_field_x_range_x_scenario,57,57
passenger,150-199,scenario3,414,teacher_forced_observation_rows_field_x_range_x_scenario,414,0
passenger,200-244,scenario1,34,teacher_forced_observation_rows_field_x_range_x_scenario,34,34
passenger,200-244,scenario2,87,teacher_forced_observation_rows_field_x_range_x_scenario,87,87
passenger,200-244,scenario3,329,teacher_forced_observation_rows_field_x_range_x_scenario,329,0
passenger,50-99,scenario1,31,teacher_forced_observation_rows_field_x_range_x_scenario,31,31
passenger,50-99,scenario2,68,teacher_forced_observation_rows_field_x_range_x_scenario,68,68
passenger,50-99,scenario3,401,teacher_forced_observation_rows_field_x_range_x_scenario,401,0
time,0-49,scenario1,69,teacher_forced_observation_rows_field_x_range_x_scenario,69,69
time,0-49,scenario2,104,teacher_forced_observation_rows_field_x_range_x_scenario,104,104
time,0-49,scenario3,327,teacher_forced_observation_rows_field_x_range_x_scenario,327,0
time,100-149,scenario1,104,teacher_forced_observation_rows_field_x_range_x_scenario,104,104
time,100-149,scenario2,393,teacher_forced_observation_rows_field_x_range_x_scenario,393,393
time,100-149,scenario3,3,teacher_forced_observation_rows_field_x_range_x_scenario,3,0
time,150-199,scenario1,107,teacher_forced_observation_rows_field_x_range_x_scenario,107,107
time,150-199,scenario2,390,teacher_forced_observation_rows_field_x_range_x_scenario,390,390
time,150-199,scenario3,3,teacher_forced_observation_rows_field_x_range_x_scenario,3,0
time,200-244,scenario1,102,teacher_forced_observation_rows_field_x_range_x_scenario,102,102
time,200-244,scenario2,348,teacher_forced_observation_rows_field_x_range_x_scenario,348,348
time,50-99,scenario1,142,teacher_forced_observation_rows_field_x_range_x_scenario,142,142
time,50-99,scenario2,341,teacher_forced_observation_rows_field_x_range_x_scenario,341,341
time,50-99,scenario3,17,teacher_forced_observation_rows_field_x_range_x_scenario,17,0
weekday,0-49,scenario2,464,teacher_forced_observation_rows_field_x_range_x_scenario,464,464
weekday,0-49,scenario3,36,teacher_forced_observation_rows_field_x_range_x_scenario,36,0
weekday,100-149,scenario1,74,teacher_forced_observation_rows_field_x_range_x_scenario,74,74
weekday,100-149,scenario2,412,teacher_forced_observation_rows_field_x_range_x_scenario,412,412
weekday,100-149,scenario3,14,teacher_forced_observation_rows_field_x_range_x_scenario,14,0
weekday,150-199,scenario1,194,teacher_forced_observation_rows_field_x_range_x_scenario,194,194
weekday,150-199,scenario2,293,teacher_forced_observation_rows_field_x_range_x_scenario,293,293
weekday,150-199,scenario3,13,teacher_forced_observation_rows_field_x_range_x_scenario,13,0
weekday,200-244,scenario1,58,teacher_forced_observation_rows_field_x_range_x_scenario,58,58
weekday,200-244,scenario2,381,teacher_forced_observation_rows_field_x_range_x_scenario,381,381
weekday,200-244,scenario3,11,teacher_forced_observation_rows_field_x_range_x_scenario,11,0
weekday,50-99,scenario1,79,teacher_forced_observation_rows_field_x_range_x_scenario,79,79
weekday,50-99,scenario2,407,teacher_forced_observation_rows_field_x_range_x_scenario,407,407
weekday,50-99,scenario3,14,teacher_forced_observation_rows_field_x_range_x_scenario,14,0
