field,record_range,observe_scenario,context_membership,source_synapse_rows,member_count,membership_rate,denominator_scope
passenger,0-49,scenario1,source_in_previous_winners,90,32,0.35555555555555557,pre_observation_existing_segment_source_synapse_rows
passenger,0-49,scenario1,source_in_current_active_cells,90,44,0.4888888888888889,pre_observation_existing_segment_source_synapse_rows
passenger,0-49,scenario1,source_in_predicted_cells,90,0,0.0,pre_observation_existing_segment_source_synapse_rows
passenger,0-49,scenario1,source_in_burst_cells,90,44,0.4888888888888889,pre_observation_existing_segment_source_synapse_rows
passenger,0-49,scenario1,source_in_winner_only_context,90,32,0.35555555555555557,pre_observation_existing_segment_source_synapse_rows
passenger,0-49,scenario1,source_in_all_cell_context,90,44,0.4888888888888889,pre_observation_existing_segment_source_synapse_rows
passenger,0-49,scenario1,source_in_without_burst_context,90,32,0.35555555555555557,pre_observation_existing_segment_source_synapse_rows
passenger,0-49,scenario2,source_in_previous_winners,349,121,0.3467048710601719,pre_observation_existing_segment_source_synapse_rows
passenger,0-49,scenario2,source_in_current_active_cells,349,276,0.7908309455587392,pre_observation_existing_segment_source_synapse_rows
passenger,0-49,scenario2,source_in_predicted_cells,349,0,0.0,pre_observation_existing_segment_source_synapse_rows
passenger,0-49,scenario2,source_in_burst_cells,349,276,0.7908309455587392,pre_observation_existing_segment_source_synapse_rows
passenger,0-49,scenario2,source_in_winner_only_context,349,121,0.3467048710601719,pre_observation_existing_segment_source_synapse_rows
passenger,0-49,scenario2,source_in_all_cell_context,349,276,0.7908309455587392,pre_observation_existing_segment_source_synapse_rows
passenger,0-49,scenario2,source_in_without_burst_context,349,121,0.3467048710601719,pre_observation_existing_segment_source_synapse_rows
passenger,0-49,scenario3,source_in_previous_winners,2398,867,0.3615512927439533,pre_observation_existing_segment_source_synapse_rows
passenger,0-49,scenario3,source_in_current_active_cells,2398,1523,0.6351125938281902,pre_observation_existing_segment_source_synapse_rows
passenger,0-49,scenario3,source_in_predicted_cells,2398,38,0.0158465387823186,pre_observation_existing_segment_source_synapse_rows
passenger,0-49,scenario3,source_in_burst_cells,2398,1485,0.6192660550458715,pre_observation_existing_segment_source_synapse_rows
passenger,0-49,scenario3,source_in_winner_only_context,2398,867,0.3615512927439533,pre_observation_existing_segment_source_synapse_rows
passenger,0-49,scenario3,source_in_all_cell_context,2398,1523,0.6351125938281902,pre_observation_existing_segment_source_synapse_rows
passenger,0-49,scenario3,source_in_without_burst_context,2398,867,0.3615512927439533,pre_observation_existing_segment_source_synapse_rows
time,0-49,scenario1,source_in_previous_winners,1110,367,0.33063063063063064,pre_observation_existing_segment_source_synapse_rows
time,0-49,scenario1,source_in_current_active_cells,1110,757,0.681981981981982,pre_observation_existing_segment_source_synapse_rows
time,0-49,scenario1,source_in_predicted_cells,1110,16,0.014414414414414415,pre_observation_existing_segment_source_synapse_rows
time,0-49,scenario1,source_in_burst_cells,1110,741,0.6675675675675675,pre_observation_existing_segment_source_synapse_rows
time,0-49,scenario1,source_in_winner_only_context,1110,367,0.33063063063063064,pre_observation_existing_segment_source_synapse_rows
time,0-49,scenario1,source_in_all_cell_context,1110,757,0.681981981981982,pre_observation_existing_segment_source_synapse_rows
time,0-49,scenario1,source_in_without_burst_context,1110,367,0.33063063063063064,pre_observation_existing_segment_source_synapse_rows
time,0-49,scenario2,source_in_previous_winners,2932,882,0.30081855388813095,pre_observation_existing_segment_source_synapse_rows
