field,record_range,source_loss_reason,sources,rate
passenger,0-49,SOURCE_COLUMN_ACTIVE_WRONG_NEURON,31,0.010927035600986958
passenger,0-49,SOURCE_COLUMN_NOT_ACTIVE,963,0.33944307366936904
passenger,0-49,SOURCE_EXACT_CELL_MATCHED,86,0.03031371166725414
passenger,0-49,SOURCE_TIMING_OR_ELIGIBILITY_EXCLUDED,1757,0.6193161790623899
time,0-49,SOURCE_COLUMN_ACTIVE_WRONG_NEURON,133,0.014386154678204435
time,0-49,SOURCE_COLUMN_NOT_ACTIVE,3783,0.4091941590048675
time,0-49,SOURCE_EXACT_CELL_MATCHED,409,0.044240129799891836
time,0-49,SOURCE_TIMING_OR_ELIGIBILITY_EXCLUDED,4920,0.5321795565170362
weekday,0-49,SOURCE_COLUMN_ACTIVE_WRONG_NEURON,200,0.010834236186348862
weekday,0-49,SOURCE_COLUMN_NOT_ACTIVE,12030,0.6516793066088841
weekday,0-49,SOURCE_EXACT_CELL_MATCHED,2560,0.13867822318526543
weekday,0-49,SOURCE_TIMING_OR_ELIGIBILITY_EXCLUDED,3670,0.19880823401950162
