field,record_range,observe_scenario,context_membership,source_synapse_rows,member_count,membership_rate,denominator_scope
passenger,0-49,scenario1,source_in_previous_winners,1063,360,0.33866415804327377,pre_observation_existing_segment_source_synapse_rows
passenger,0-49,scenario1,source_in_current_active_cells,1063,463,0.4355597365945437,pre_observation_existing_segment_source_synapse_rows
passenger,0-49,scenario1,source_in_predicted_cells,1063,2,0.0018814675446848542,pre_observation_existing_segment_source_synapse_rows
passenger,0-49,scenario1,source_in_burst_cells,1063,461,0.4336782690498589,pre_observation_existing_segment_source_synapse_rows
passenger,0-49,scenario1,source_in_winner_only_context,1063,360,0.33866415804327377,pre_observation_existing_segment_source_synapse_rows
passenger,0-49,scenario1,source_in_all_cell_context,1063,463,0.4355597365945437,pre_observation_existing_segment_source_synapse_rows
passenger,0-49,scenario1,source_in_without_burst_context,1063,360,0.33866415804327377,pre_observation_existing_segment_source_synapse_rows
passenger,0-49,scenario2,source_in_previous_winners,3216,1076,0.3345771144278607,pre_observation_existing_segment_source_synapse_rows
passenger,0-49,scenario2,source_in_current_active_cells,3216,1543,0.4797885572139303,pre_observation_existing_segment_source_synapse_rows
passenger,0-49,scenario2,source_in_predicted_cells,3216,13,0.00404228855721393,pre_observation_existing_segment_source_synapse_rows
passenger,0-49,scenario2,source_in_burst_cells,3216,1530,0.47574626865671643,pre_observation_existing_segment_source_synapse_rows
passenger,0-49,scenario2,source_in_winner_only_context,3216,1076,0.3345771144278607,pre_observation_existing_segment_source_synapse_rows
passenger,0-49,scenario2,source_in_all_cell_context,3216,1543,0.4797885572139303,pre_observation_existing_segment_source_synapse_rows
passenger,0-49,scenario2,source_in_without_burst_context,3216,1076,0.3345771144278607,pre_observation_existing_segment_source_synapse_rows
passenger,0-49,scenario3,source_in_previous_winners,8926,3047,0.34136231234595565,pre_observation_existing_segment_source_synapse_rows
passenger,0-49,scenario3,source_in_current_active_cells,8926,4487,0.5026887743670178,pre_observation_existing_segment_source_synapse_rows
passenger,0-49,scenario3,source_in_predicted_cells,8926,77,0.008626484427515124,pre_observation_existing_segment_source_synapse_rows
passenger,0-49,scenario3,source_in_burst_cells,8926,4410,0.4940622899395026,pre_observation_existing_segment_source_synapse_rows
passenger,0-49,scenario3,source_in_winner_only_context,8926,3047,0.34136231234595565,pre_observation_existing_segment_source_synapse_rows
passenger,0-49,scenario3,source_in_all_cell_context,8926,4487,0.5026887743670178,pre_observation_existing_segment_source_synapse_rows
passenger,0-49,scenario3,source_in_without_burst_context,8926,3047,0.34136231234595565,pre_observation_existing_segment_source_synapse_rows
time,0-49,scenario1,source_in_previous_winners,4622,1565,0.33859800951968844,pre_observation_existing_segment_source_synapse_rows
time,0-49,scenario1,source_in_current_active_cells,4622,2778,0.6010385114668975,pre_observation_existing_segment_source_synapse_rows
time,0-49,scenario1,source_in_predicted_cells,4622,65,0.014063176114236261,pre_observation_existing_segment_source_synapse_rows
time,0-49,scenario1,source_in_burst_cells,4622,2713,0.5869753353526612,pre_observation_existing_segment_source_synapse_rows
time,0-49,scenario1,source_in_winner_only_context,4622,1565,0.33859800951968844,pre_observation_existing_segment_source_synapse_rows
time,0-49,scenario1,source_in_all_cell_context,4622,2778,0.6010385114668975,pre_observation_existing_segment_source_synapse_rows
time,0-49,scenario1,source_in_without_burst_context,4622,1565,0.33859800951968844,pre_observation_existing_segment_source_synapse_rows
time,0-49,scenario2,source_in_previous_winners,11510,3625,0.3149435273675065,pre_observation_existing_segment_source_synapse_rows
time,0-49,scenario2,source_in_current_active_cells,11510,5971,0.51876629018245,pre_observation_existing_segment_source_synapse_rows
time,0-49,scenario2,source_in_predicted_cells,11510,88,0.007645525629887055,pre_observation_existing_segment_source_synapse_rows
time,0-49,scenario2,source_in_burst_cells,11510,5883,0.511120764552563,pre_observation_existing_segment_source_synapse_rows
time,0-49,scenario2,source_in_winner_only_context,11510,3625,0.3149435273675065,pre_observation_existing_segment_source_synapse_rows
time,0-49,scenario2,source_in_all_cell_context,11510,5971,0.51876629018245,pre_observation_existing_segment_source_synapse_rows
time,0-49,scenario2,source_in_without_burst_context,11510,3625,0.3149435273675065,pre_observation_existing_segment_source_synapse_rows
time,0-49,scenario3,source_in_previous_winners,20108,6714,0.33389695643524964,pre_observation_existing_segment_source_synapse_rows
time,0-49,scenario3,source_in_current_active_cells,20108,11097,0.5518699025263577,pre_observation_existing_segment_source_synapse_rows
time,0-49,scenario3,source_in_predicted_cells,20108,286,0.014223194748358862,pre_observation_existing_segment_source_synapse_rows
time,0-49,scenario3,source_in_burst_cells,20108,10811,0.5376467077779988,pre_observation_existing_segment_source_synapse_rows
time,0-49,scenario3,source_in_winner_only_context,20108,6714,0.33389695643524964,pre_observation_existing_segment_source_synapse_rows
time,0-49,scenario3,source_in_all_cell_context,20108,11097,0.5518699025263577,pre_observation_existing_segment_source_synapse_rows
time,0-49,scenario3,source_in_without_burst_context,20108,6714,0.33389695643524964,pre_observation_existing_segment_source_synapse_rows
weekday,0-49,scenario2,source_in_previous_winners,160780,6140,0.03818882945640005,pre_observation_existing_segment_source_synapse_rows
weekday,0-49,scenario2,source_in_current_active_cells,160780,22480,0.13981838537131483,pre_observation_existing_segment_source_synapse_rows
weekday,0-49,scenario2,source_in_predicted_cells,160780,760,0.004726956089065804,pre_observation_existing_segment_source_synapse_rows
