field,record_range,source_loss_reason,sources,rate
passenger,0-49,SOURCE_COLUMN_ACTIVE_WRONG_NEURON,142,0.010753502461188943
passenger,0-49,SOURCE_COLUMN_NOT_ACTIVE,6570,0.497538811056418
passenger,0-49,SOURCE_EXACT_CELL_MATCHED,543,0.04112078758046195
passenger,0-49,SOURCE_TIMING_OR_ELIGIBILITY_EXCLUDED,5950,0.4505868989019311
time,0-49,SOURCE_COLUMN_ACTIVE_WRONG_NEURON,576,0.015894039735099338
time,0-49,SOURCE_COLUMN_NOT_ACTIVE,15818,0.43647902869757177
time,0-49,SOURCE_EXACT_CELL_MATCHED,1688,0.04657836644591611
time,0-49,SOURCE_TIMING_OR_ELIGIBILITY_EXCLUDED,18158,0.5010485651214128
weekday,0-49,SOURCE_COLUMN_ACTIVE_WRONG_NEURON,1050,0.006530663017788282
weekday,0-49,SOURCE_COLUMN_NOT_ACTIVE,137250,0.8536509516108969
weekday,0-49,SOURCE_EXACT_CELL_MATCHED,9140,0.056847866650080854
weekday,0-49,SOURCE_TIMING_OR_ELIGIBILITY_EXCLUDED,13340,0.08297051872123398
