field,fixture,input_value,event_count,active_columns_in_firing_order,spike_times,code_sha256
weekday,weekday_0,0.0,10,0 1 29 2 28 3 27 4 26 5,0 0.0555555555556 0.111111111111 0.166666666667 0.222222222222 0.277777777778 0.333333333333 0.388888888889 0.444444444444 0.5,3ca22fd7b002583aed344d7668571d5893224fd135491970c776982787649f0c
weekday,weekday_1,1.0,10,4 5 3 6 2 7 1 8 0 9,0 0.0555555555556 0.111111111111 0.166666666667 0.222222222222 0.277777777778 0.333333333333 0.388888888889 0.444444444444 0.5,db3077ac13daa5f4e1a72ac2b9554ea1a23a2f264d1aa8cf3fc6d21ff7a13b9b
weekday,weekday_6,6.0,10,26 25 27 24 28 23 29 22 0 21,0 0.0555555555556 0.111111111111 0.166666666667 0.222222222222 0.277777777778 0.333333333333 0.388888888889 0.444444444444 0.5,d826a4abb0f8b658ba94ff3bccc65e8d2947871a174dee087096d1cff2fbf92e
time,time_0000,0.0,10,30 31 87 86 32 33 85 84 34 35,0 0.0555555555556 0.111111111111 0.166666666667 0.222222222222 0.277777777778 0.333333333333 0.388888888889 0.444444444444 0.5,22c291a7977e21752b8f27d009a0ae7dd794c5b0e0f45ad9304b2adfef504bf5
time,time_0030,1.0,10,31 32 30 33 87 34 86 35 85 36,0 0.0555555555556 0.111111111111 0.166666666667 0.222222222222 0.277777777778 0.333333333333 0.388888888889 0.444444444444 0.5,a3d7def917b9effb5a90f7284e5619828309e548cab09ba72a5708a08b159161
time,time_0700,14.0,10,47 46 48 45 49 44 50 43 51 42,0 0.0555555555556 0.111111111111 0.166666666667 0.222222222222 0.277777777778 0.333333333333 0.388888888889 0.444444444444 0.5,5e3d7e70ceca9af79921a843277dc1bdb18f9da77a0ebf581bf3151d5d3700e6
time,time_1200,24.0,10,59 58 60 57 61 56 62 55 63 54,0 0.0555555555556 0.111111111111 0.166666666667 0.222222222222 0.277777777778 0.333333333333 0.388888888889 0.444444444444 0.5,f74a1a5aacbd09925d12cbb804b65a72b426c1b36e5bff854472105062fecccd
time,time_2330,47.0,10,87 86 30 85 31 84 32 83 33 82,0 0.0555555555556 0.111111111111 0.166666666667 0.222222222222 0.277777777778 0.333333333333 0.388888888889 0.444444444444 0.5,a97bd44d3e5a5814a7508be1cf0b0a0ca44559bf0b5da084b2e2d07cfe7ea749
passenger,dataset_min,8.0,10,88 89 90 91 92 93 94 95 96 97,0 0.0555555555556 0.111111111111 0.166666666667 0.222222222222 0.277777777778 0.333333333333 0.388888888889 0.444444444444 0.5,d81da2e24a7f153ddc6a3c7d47c9b8139ba3d467bc315c05114cf2a969da48b8
passenger,dataset_q25,10506.0,10,214 215 213 216 212 217 211 218 210 219,0 0.0555555555556 0.111111111111 0.166666666667 0.222222222222 0.277777777778 0.333333333333 0.388888888889 0.444444444444 0.5,1f9fd3ae2d86bd6f7ce4c9f80a855c2f5a0a266ee324d7730e653e7c37742704
passenger,dataset_median,16745.0,10,289 290 288 291 287 292 286 293 285 294,0 0.0555555555556 0.111111111111 0.166666666667 0.222222222222 0.277777777778 0.333333333333 0.388888888889 0.444444444444 0.5,018e999ff873308cf6c7c3d84549e426ded3ff6bde13efd226b5a5a657ab34cd
passenger,dataset_q75,19708.0,10,325 324 326 323 327 322 328 321 329 320,0 0.0555555555556 0.111111111111 0.166666666667 0.222222222222 0.277777777778 0.333333333333 0.388888888889 0.444444444444 0.5,f25ebac90f62ee82ba3c47cf8603f96ee8c259a1343481b1cc7587c2e3f9b1ea
passenger,dataset_max,39197.0,10,559 560 558 561 557 562 556 563 555 564,0 0.0555555555556 0.111111111111 0.166666666667 0.222222222222 0.277777777778 0.333333333333 0.388888888889 0.444444444444 0.5,181bc2d14bac71a10671b6db249d3053f9e159d3733f5d0f64cf2ac36557fbf4
passenger,neighbor_left,15000.0,10,268 269 267 270 266 271 265 272 264 273,0 0.0555555555556 0.111111111111 0.166666666667 0.222222222222 0.277777777778 0.333333333333 0.388888888889 0.444444444444 0.5,12cf6397cc585e0c843997ee51a040c46e6a7e8f2b33b3e592d650c5b7390174
passenger,neighbor_right,15001.0,10,268 269 267 270 266 271 265 272 264 273,0 0.0555555555556 0.111111111111 0.166666666667 0.222222222222 0.277777777778 0.333333333333 0.388888888889 0.444444444444 0.5,12cf6397cc585e0c843997ee51a040c46e6a7e8f2b33b3e592d650c5b7390174
