field,primary_reason,secondary_reason,source_row_count,source_row_denominator,rate,denominator_scope,unique_observation_count,unique_segment_count,mean_reasons_per_observation,mean_reasons_per_segment,source_column_active_rate,exact_neuron_active_rate,previous_winners_membership_rate,predicted_membership_rate,burst_membership_rate
passenger,SOURCE_COLUMN_ACTIVE_WRONG_NEURON,,31,2837,0.010927035600986958,pre_observation_source_synapse_rows_in_selected_scope,13,13,2.3846153846153846,2.3846153846153846,1.0,0.0,0.0,0.0,0.0
passenger,SOURCE_COLUMN_NOT_ACTIVE,,963,2837,0.33944307366936904,pre_observation_source_synapse_rows_in_selected_scope,56,92,17.196428571428573,10.467391304347826,0.0,0.0,0.0,0.0,0.0
passenger,SOURCE_EXACT_CELL_MATCHED,,86,2837,0.03031371166725414,pre_observation_source_synapse_rows_in_selected_scope,21,24,4.095238095238095,3.5833333333333335,1.0,1.0,0.5116279069767442,0.0,1.0
passenger,SOURCE_IN_CONTEXT_ARRIVAL_TOO_EARLY,source_time_plus_delay_before_matching_window,870,2837,0.3066619668664082,pre_observation_source_synapse_rows_in_selected_scope,44,74,19.772727272727273,11.756756756756756,1.0,1.0,0.5747126436781609,0.0367816091954023,0.9632183908045977
passenger,SOURCE_IN_CONTEXT_DELAY_NOT_ARRIVED,source_time_plus_delay_after_matching_window,887,2837,0.31265421219598166,pre_observation_source_synapse_rows_in_selected_scope,43,76,20.627906976744185,11.671052631578947,1.0,1.0,0.5366403607666291,0.006764374295377677,0.9932356257046223
time,SOURCE_COLUMN_ACTIVE_WRONG_NEURON,,133,9245,0.014386154678204435,pre_observation_source_synapse_rows_in_selected_scope,58,81,2.293103448275862,1.6419753086419753,1.0,0.0,0.0,0.0,0.0
time,SOURCE_COLUMN_NOT_ACTIVE,,3783,9245,0.4091941590048675,pre_observation_source_synapse_rows_in_selected_scope,115,291,32.89565217391304,13.0,0.0,0.0,0.0,0.0,0.0
time,SOURCE_EXACT_CELL_MATCHED,,409,9245,0.044240129799891836,pre_observation_source_synapse_rows_in_selected_scope,86,149,4.755813953488372,2.7449664429530203,1.0,1.0,0.3471882640586797,0.03178484107579462,0.9682151589242054
time,SOURCE_IN_CONTEXT_ARRIVAL_TOO_EARLY,source_time_plus_delay_before_matching_window,2336,9245,0.25267712276906434,pre_observation_source_synapse_rows_in_selected_scope,96,226,24.333333333333332,10.336283185840708,1.0,1.0,0.5380993150684932,0.0410958904109589,0.958904109589041
time,SOURCE_IN_CONTEXT_DELAY_NOT_ARRIVED,source_time_plus_delay_after_matching_window,2584,9245,0.2795024337479719,pre_observation_source_synapse_rows_in_selected_scope,111,234,23.27927927927928,11.042735042735043,1.0,1.0,0.554953560371517,0.010835913312693499,0.9891640866873065
weekday,SOURCE_COLUMN_ACTIVE_WRONG_NEURON,,200,18460,0.010834236186348862,pre_observation_source_synapse_rows_in_selected_scope,70,70,2.857142857142857,2.857142857142857,1.0,0.0,0.0,0.0,0.0
weekday,SOURCE_COLUMN_NOT_ACTIVE,,12030,18460,0.6516793066088841,pre_observation_source_synapse_rows_in_selected_scope,130,130,92.53846153846153,92.53846153846153,0.0,0.0,0.0,0.0,0.0
weekday,SOURCE_EXACT_CELL_MATCHED,,2560,18460,0.13867822318526543,pre_observation_source_synapse_rows_in_selected_scope,130,130,19.692307692307693,19.692307692307693,1.0,1.0,0.53515625,0.01171875,0.98828125
weekday,SOURCE_IN_CONTEXT_ARRIVAL_TOO_EARLY,source_time_plus_delay_before_matching_window,1890,18460,0.10238353196099675,pre_observation_source_synapse_rows_in_selected_scope,130,130,14.538461538461538,14.538461538461538,1.0,1.0,0.12169312169312169,0.1111111111111111,0.8888888888888888
weekday,SOURCE_IN_CONTEXT_DELAY_NOT_ARRIVED,source_time_plus_delay_after_matching_window,1780,18460,0.09642470205850487,pre_observation_source_synapse_rows_in_selected_scope,130,130,13.692307692307692,13.692307692307692,1.0,1.0,0.0449438202247191,0.0,1.0
