observe_scenario,primary_reason,secondary_reason,source_row_count,source_row_denominator,rate,denominator_scope,unique_observation_count,unique_segment_count,mean_reasons_per_observation,mean_reasons_per_segment,source_column_active_rate,exact_neuron_active_rate,previous_winners_membership_rate,predicted_membership_rate,burst_membership_rate
scenario1,SOURCE_COLUMN_ACTIVE_WRONG_NEURON,,13,1200,0.010833333333333334,pre_observation_source_synapse_rows_in_selected_scope,7,9,1.8571428571428572,1.4444444444444444,1.0,0.0,0.0,0.0,0.0
scenario1,SOURCE_COLUMN_NOT_ACTIVE,,386,1200,0.32166666666666666,pre_observation_source_synapse_rows_in_selected_scope,24,40,16.083333333333332,9.65,0.0,0.0,0.0,0.0,0.0
scenario1,SOURCE_EXACT_CELL_MATCHED,,99,1200,0.0825,pre_observation_source_synapse_rows_in_selected_scope,24,30,4.125,3.3,1.0,1.0,0.29292929292929293,0.0707070707070707,0.9292929292929293
scenario1,SOURCE_IN_CONTEXT_ARRIVAL_TOO_EARLY,source_time_plus_delay_before_matching_window,60,1200,0.05,pre_observation_source_synapse_rows_in_selected_scope,18,23,3.3333333333333335,2.608695652173913,1.0,1.0,0.26666666666666666,0.1,0.9
scenario1,SOURCE_IN_CONTEXT_DELAY_NOT_ARRIVED,source_time_plus_delay_after_matching_window,642,1200,0.535,pre_observation_source_synapse_rows_in_selected_scope,22,38,29.181818181818183,16.894736842105264,1.0,1.0,0.5514018691588785,0.004672897196261682,0.9953271028037384
scenario2,SOURCE_COLUMN_ACTIVE_WRONG_NEURON,,228,21741,0.010487098109562578,pre_observation_source_synapse_rows_in_selected_scope,80,90,2.85,2.533333333333333,1.0,0.0,0.0,0.0,0.0
scenario2,SOURCE_COLUMN_NOT_ACTIVE,,13432,21741,0.6178188675773884,pre_observation_source_synapse_rows_in_selected_scope,155,229,86.65806451612903,58.65502183406114,0.0,0.0,0.0,0.0,0.0
scenario2,SOURCE_EXACT_CELL_MATCHED,,2828,21741,0.1300768133940481,pre_observation_source_synapse_rows_in_selected_scope,155,194,18.24516129032258,14.577319587628866,1.0,1.0,0.536067892503536,0.010608203677510608,0.9893917963224894
scenario2,SOURCE_IN_CONTEXT_ARRIVAL_TOO_EARLY,source_time_plus_delay_before_matching_window,2916,21741,0.13412446529598454,pre_observation_source_synapse_rows_in_selected_scope,155,213,18.81290322580645,13.690140845070422,1.0,1.0,0.2832647462277092,0.0799039780521262,0.9200960219478738
scenario2,SOURCE_IN_CONTEXT_DELAY_NOT_ARRIVED,source_time_plus_delay_after_matching_window,2337,21741,0.10749275562301643,pre_observation_source_synapse_rows_in_selected_scope,154,200,15.175324675324676,11.685,1.0,1.0,0.14591356439880188,0.0012836970474967907,0.9987163029525032
scenario3,SOURCE_COLUMN_ACTIVE_WRONG_NEURON,,123,7601,0.016182081305091436,pre_observation_source_synapse_rows_in_selected_scope,54,65,2.2777777777777777,1.8923076923076922,1.0,0.0,0.0,0.0,0.0
scenario3,SOURCE_COLUMN_NOT_ACTIVE,,2958,7601,0.389159321141955,pre_observation_source_synapse_rows_in_selected_scope,122,244,24.24590163934426,12.12295081967213,0.0,0.0,0.0,0.0,0.0
scenario3,SOURCE_EXACT_CELL_MATCHED,,128,7601,0.016839889488225235,pre_observation_source_synapse_rows_in_selected_scope,58,79,2.206896551724138,1.620253164556962,1.0,1.0,0.0859375,0.046875,0.953125
scenario3,SOURCE_IN_CONTEXT_ARRIVAL_TOO_EARLY,source_time_plus_delay_before_matching_window,2120,7601,0.2789106696487304,pre_observation_source_synapse_rows_in_selected_scope,97,194,21.855670103092784,10.927835051546392,1.0,1.0,0.5400943396226415,0.046698113207547166,0.9533018867924529
scenario3,SOURCE_IN_CONTEXT_DELAY_NOT_ARRIVED,source_time_plus_delay_after_matching_window,2272,7601,0.2989080384159979,pre_observation_source_synapse_rows_in_selected_scope,108,202,21.037037037037038,11.247524752475247,1.0,1.0,0.5699823943661971,0.01232394366197183,0.9876760563380281
