scope,primary_reason,secondary_reason,source_row_count,source_row_denominator,rate,denominator_scope,unique_observation_count,unique_segment_count,mean_reasons_per_observation,mean_reasons_per_segment,source_column_active_rate,exact_neuron_active_rate,previous_winners_membership_rate,predicted_membership_rate,burst_membership_rate
ALL_FIELDS,SOURCE_COLUMN_ACTIVE_WRONG_NEURON,,364,30542,0.011918014537358392,pre_observation_source_synapse_rows_in_selected_scope,141,164,2.5815602836879434,2.2195121951219514,1.0,0.0,0.0,0.0,0.0
ALL_FIELDS,SOURCE_COLUMN_NOT_ACTIVE,,16776,30542,0.5492764062602318,pre_observation_source_synapse_rows_in_selected_scope,301,513,55.73421926910299,32.70175438596491,0.0,0.0,0.0,0.0,0.0
ALL_FIELDS,SOURCE_EXACT_CELL_MATCHED,,3055,30542,0.10002619343854365,pre_observation_source_synapse_rows_in_selected_scope,237,303,12.890295358649789,10.082508250825082,1.0,1.0,0.509328968903437,0.014075286415711947,0.985924713584288
ALL_FIELDS,SOURCE_IN_CONTEXT_ARRIVAL_TOO_EARLY,source_time_plus_delay_before_matching_window,5096,30542,0.1668522035230175,pre_observation_source_synapse_rows_in_selected_scope,270,430,18.874074074074073,11.851162790697675,1.0,1.0,0.3899136577708006,0.0663265306122449,0.9336734693877551
ALL_FIELDS,SOURCE_IN_CONTEXT_DELAY_NOT_ARRIVED,source_time_plus_delay_after_matching_window,5251,30542,0.17192718224084866,pre_observation_source_synapse_rows_in_selected_scope,284,440,18.489436619718308,11.934090909090909,1.0,1.0,0.37897543325080935,0.006474957151018854,0.9935250428489811
PASSENGER,SOURCE_COLUMN_ACTIVE_WRONG_NEURON,,31,2837,0.010927035600986958,pre_observation_source_synapse_rows_in_selected_scope,13,13,2.3846153846153846,2.3846153846153846,1.0,0.0,0.0,0.0,0.0
PASSENGER,SOURCE_COLUMN_NOT_ACTIVE,,963,2837,0.33944307366936904,pre_observation_source_synapse_rows_in_selected_scope,56,92,17.196428571428573,10.467391304347826,0.0,0.0,0.0,0.0,0.0
PASSENGER,SOURCE_EXACT_CELL_MATCHED,,86,2837,0.03031371166725414,pre_observation_source_synapse_rows_in_selected_scope,21,24,4.095238095238095,3.5833333333333335,1.0,1.0,0.5116279069767442,0.0,1.0
PASSENGER,SOURCE_IN_CONTEXT_ARRIVAL_TOO_EARLY,source_time_plus_delay_before_matching_window,870,2837,0.3066619668664082,pre_observation_source_synapse_rows_in_selected_scope,44,74,19.772727272727273,11.756756756756756,1.0,1.0,0.5747126436781609,0.0367816091954023,0.9632183908045977
PASSENGER,SOURCE_IN_CONTEXT_DELAY_NOT_ARRIVED,source_time_plus_delay_after_matching_window,887,2837,0.31265421219598166,pre_observation_source_synapse_rows_in_selected_scope,43,76,20.627906976744185,11.671052631578947,1.0,1.0,0.5366403607666291,0.006764374295377677,0.9932356257046223
PASSENGER_SCENARIO3,SOURCE_COLUMN_ACTIVE_WRONG_NEURON,,31,2398,0.01292743953294412,pre_observation_source_synapse_rows_in_selected_scope,13,13,2.3846153846153846,2.3846153846153846,1.0,0.0,0.0,0.0,0.0
PASSENGER_SCENARIO3,SOURCE_COLUMN_NOT_ACTIVE,,844,2398,0.3519599666388657,pre_observation_source_synapse_rows_in_selected_scope,49,78,17.224489795918366,10.820512820512821,0.0,0.0,0.0,0.0,0.0
PASSENGER_SCENARIO3,SOURCE_EXACT_CELL_MATCHED,,22,2398,0.009174311926605505,pre_observation_source_synapse_rows_in_selected_scope,14,16,1.5714285714285714,1.375,1.0,1.0,0.045454545454545456,0.0,1.0
PASSENGER_SCENARIO3,SOURCE_IN_CONTEXT_ARRIVAL_TOO_EARLY,source_time_plus_delay_before_matching_window,755,2398,0.3148457047539616,pre_observation_source_synapse_rows_in_selected_scope,39,63,19.358974358974358,11.984126984126984,1.0,1.0,0.5947019867549669,0.0423841059602649,0.9576158940397351
PASSENGER_SCENARIO3,SOURCE_IN_CONTEXT_DELAY_NOT_ARRIVED,source_time_plus_delay_after_matching_window,746,2398,0.311092577147623,pre_observation_source_synapse_rows_in_selected_scope,38,64,19.63157894736842,11.65625,1.0,1.0,0.5589812332439679,0.00804289544235925,0.9919571045576407
TIME_SCENARIO3,SOURCE_COLUMN_ACTIVE_WRONG_NEURON,,92,5203,0.017682106477032482,pre_observation_source_synapse_rows_in_selected_scope,41,52,2.2439024390243905,1.7692307692307692,1.0,0.0,0.0,0.0,0.0
TIME_SCENARIO3,SOURCE_COLUMN_NOT_ACTIVE,,2114,5203,0.40630405535268116,pre_observation_source_synapse_rows_in_selected_scope,73,166,28.958904109589042,12.734939759036145,0.0,0.0,0.0,0.0,0.0
TIME_SCENARIO3,SOURCE_EXACT_CELL_MATCHED,,106,5203,0.020372861810493945,pre_observation_source_synapse_rows_in_selected_scope,44,63,2.409090909090909,1.6825396825396826,1.0,1.0,0.09433962264150944,0.05660377358490566,0.9433962264150944
TIME_SCENARIO3,SOURCE_IN_CONTEXT_ARRIVAL_TOO_EARLY,source_time_plus_delay_before_matching_window,1365,5203,0.2623486450124928,pre_observation_source_synapse_rows_in_selected_scope,58,131,23.53448275862069,10.419847328244275,1.0,1.0,0.5098901098901099,0.04908424908424908,0.9509157509157509
TIME_SCENARIO3,SOURCE_IN_CONTEXT_DELAY_NOT_ARRIVED,source_time_plus_delay_after_matching_window,1526,5203,0.29329233134729965,pre_observation_source_synapse_rows_in_selected_scope,70,138,21.8,11.057971014492754,1.0,1.0,0.5753604193971167,0.014416775884665793,0.9855832241153342
