scope,primary_reason,numerator,denominator,estimate,ci_low,ci_high,bootstrap_unit,bootstrap_samples,bootstrap_seed
ALL_FIELDS,SOURCE_COLUMN_ACTIVE_WRONG_NEURON,1768,210225,0.008410036865263409,0.007737471266529091,0.009126763289699727,encoded_field_column_observation,500,0
ALL_FIELDS,SOURCE_COLUMN_NOT_ACTIVE,159638,210225,0.7593673445118325,0.7468585982943472,0.770775214039331,encoded_field_column_observation,500,0
ALL_FIELDS,SOURCE_EXACT_CELL_MATCHED,11371,210225,0.05408966583422523,0.0523026209182705,0.05613339529181456,encoded_field_column_observation,500,0
ALL_FIELDS,SOURCE_IN_CONTEXT_ARRIVAL_TOO_EARLY,18207,210225,0.08660720656439529,0.08023069356294889,0.09353087201194726,encoded_field_column_observation,500,0
ALL_FIELDS,SOURCE_IN_CONTEXT_DELAY_NOT_ARRIVED,19241,210225,0.0915257462242835,0.08482701033387381,0.09909539262223,encoded_field_column_observation,500,0
PASSENGER,SOURCE_COLUMN_ACTIVE_WRONG_NEURON,142,13205,0.010753502461188943,0.008500772797527048,0.013092904743237946,encoded_field_column_observation,500,1
PASSENGER,SOURCE_COLUMN_NOT_ACTIVE,6570,13205,0.497538811056418,0.4735445724681625,0.5180785123966942,encoded_field_column_observation,500,1
PASSENGER,SOURCE_EXACT_CELL_MATCHED,543,13205,0.04112078758046195,0.03319748054835124,0.04902034381803168,encoded_field_column_observation,500,1
PASSENGER,SOURCE_IN_CONTEXT_ARRIVAL_TOO_EARLY,2890,13205,0.21885649375236652,0.19269585420750746,0.24292937272870913,encoded_field_column_observation,500,1
PASSENGER,SOURCE_IN_CONTEXT_DELAY_NOT_ARRIVED,3060,13205,0.23173040514956456,0.20526547374596657,0.259498538686356,encoded_field_column_observation,500,1
PASSENGER_SCENARIO3,SOURCE_COLUMN_ACTIVE_WRONG_NEURON,127,8926,0.014228097692135335,0.011232243145028081,0.017338534893801473,encoded_field_column_observation,500,2
PASSENGER_SCENARIO3,SOURCE_COLUMN_NOT_ACTIVE,4312,8926,0.48308312794084696,0.4555849655902594,0.5060143418922045,encoded_field_column_observation,500,2
PASSENGER_SCENARIO3,SOURCE_EXACT_CELL_MATCHED,63,8926,0.007058032713421466,0.004990573361428413,0.008878504672897197,encoded_field_column_observation,500,2
PASSENGER_SCENARIO3,SOURCE_IN_CONTEXT_ARRIVAL_TOO_EARLY,2196,8926,0.24602285458211964,0.21622821622821622,0.27817369247493656,encoded_field_column_observation,500,2
PASSENGER_SCENARIO3,SOURCE_IN_CONTEXT_DELAY_NOT_ARRIVED,2228,8926,0.24960788707147658,0.22048591308315274,0.2807301793043854,encoded_field_column_observation,500,2
TIME_SCENARIO3,SOURCE_COLUMN_ACTIVE_WRONG_NEURON,357,20108,0.017754127710364033,0.015193026151930262,0.020206511535991303,encoded_field_column_observation,500,5
TIME_SCENARIO3,SOURCE_COLUMN_NOT_ACTIVE,8654,20108,0.4303759697632783,0.420278756317966,0.43963990554899646,encoded_field_column_observation,500,5
TIME_SCENARIO3,SOURCE_EXACT_CELL_MATCHED,409,20108,0.020340163119156554,0.018170273042543837,0.02247357502716586,encoded_field_column_observation,500,5
TIME_SCENARIO3,SOURCE_IN_CONTEXT_ARRIVAL_TOO_EARLY,4597,20108,0.22861547642729263,0.2063664596273292,0.2502440929505956,encoded_field_column_observation,500,5
TIME_SCENARIO3,SOURCE_IN_CONTEXT_DELAY_NOT_ARRIVED,6091,20108,0.3029142629799085,0.2784117926771279,0.33045858293740965,encoded_field_column_observation,500,5
