field,primary_reason,secondary_reason,source_row_count,source_row_denominator,rate,denominator_scope,unique_observation_count,unique_segment_count,mean_reasons_per_observation,mean_reasons_per_segment,source_column_active_rate,exact_neuron_active_rate,previous_winners_membership_rate,predicted_membership_rate,burst_membership_rate
passenger,SOURCE_COLUMN_ACTIVE_WRONG_NEURON,,142,13205,0.010753502461188943,pre_observation_source_synapse_rows_in_selected_scope,75,83,1.8933333333333333,1.7108433734939759,1.0,0.0,0.0,0.0,0.0
passenger,SOURCE_COLUMN_NOT_ACTIVE,,6570,13205,0.497538811056418,pre_observation_source_synapse_rows_in_selected_scope,229,420,28.689956331877728,15.642857142857142,0.0,0.0,0.0,0.0,0.0
passenger,SOURCE_EXACT_CELL_MATCHED,,543,13205,0.04112078758046195,pre_observation_source_synapse_rows_in_selected_scope,95,114,5.71578947368421,4.7631578947368425,1.0,1.0,0.7697974217311234,0.001841620626151013,0.998158379373849
passenger,SOURCE_IN_CONTEXT_ARRIVAL_TOO_EARLY,source_time_plus_delay_before_matching_window,2890,13205,0.21885649375236652,pre_observation_source_synapse_rows_in_selected_scope,188,292,15.372340425531915,9.897260273972602,1.0,1.0,0.6913494809688582,0.025259515570934254,0.9747404844290657
passenger,SOURCE_IN_CONTEXT_DELAY_NOT_ARRIVED,source_time_plus_delay_after_matching_window,3060,13205,0.23173040514956456,pre_observation_source_synapse_rows_in_selected_scope,189,306,16.19047619047619,10.0,1.0,1.0,0.6754901960784314,0.0058823529411764705,0.9941176470588236
time,SOURCE_COLUMN_ACTIVE_WRONG_NEURON,,576,36240,0.015894039735099338,pre_observation_source_synapse_rows_in_selected_scope,202,386,2.8514851485148514,1.4922279792746114,1.0,0.0,0.0,0.0,0.0
time,SOURCE_COLUMN_NOT_ACTIVE,,15818,36240,0.43647902869757177,pre_observation_source_synapse_rows_in_selected_scope,382,1125,41.40837696335078,14.060444444444444,0.0,0.0,0.0,0.0,0.0
time,SOURCE_EXACT_CELL_MATCHED,,1688,36240,0.04657836644591611,pre_observation_source_synapse_rows_in_selected_scope,307,569,5.498371335504886,2.9666080843585236,1.0,1.0,0.4603080568720379,0.037914691943127965,0.9620853080568721
time,SOURCE_IN_CONTEXT_ARRIVAL_TOO_EARLY,source_time_plus_delay_before_matching_window,8317,36240,0.22949779249448124,pre_observation_source_synapse_rows_in_selected_scope,310,840,26.829032258064515,9.901190476190477,1.0,1.0,0.6003366598533125,0.035709991583503665,0.9642900084164964
time,SOURCE_IN_CONTEXT_DELAY_NOT_ARRIVED,source_time_plus_delay_after_matching_window,9841,36240,0.27155077262693156,pre_observation_source_synapse_rows_in_selected_scope,372,902,26.454301075268816,10.91019955654102,1.0,1.0,0.6233106391626867,0.007926023778071334,0.9920739762219286
weekday,SOURCE_COLUMN_ACTIVE_WRONG_NEURON,,1050,160780,0.006530663017788282,pre_observation_source_synapse_rows_in_selected_scope,260,260,4.038461538461538,4.038461538461538,1.0,0.0,0.0,0.0,0.0
weekday,SOURCE_COLUMN_NOT_ACTIVE,,137250,160780,0.8536509516108969,pre_observation_source_synapse_rows_in_selected_scope,430,430,319.1860465116279,319.1860465116279,0.0,0.0,0.0,0.0,0.0
weekday,SOURCE_EXACT_CELL_MATCHED,,9140,160780,0.056847866650080854,pre_observation_source_synapse_rows_in_selected_scope,430,430,21.25581395348837,21.25581395348837,1.0,1.0,0.574398249452954,0.020787746170678335,0.9792122538293216
weekday,SOURCE_IN_CONTEXT_ARRIVAL_TOO_EARLY,source_time_plus_delay_before_matching_window,7000,160780,0.04353775345192188,pre_observation_source_synapse_rows_in_selected_scope,430,430,16.27906976744186,16.27906976744186,1.0,1.0,0.09714285714285714,0.08142857142857143,0.9185714285714286
weekday,SOURCE_IN_CONTEXT_DELAY_NOT_ARRIVED,source_time_plus_delay_after_matching_window,6340,160780,0.0394327652693121,pre_observation_source_synapse_rows_in_selected_scope,430,430,14.744186046511627,14.744186046511627,1.0,1.0,0.033123028391167195,0.0,1.0
