observe_scenario,primary_reason,secondary_reason,source_row_count,source_row_denominator,rate,denominator_scope,unique_observation_count,unique_segment_count,mean_reasons_per_observation,mean_reasons_per_segment,source_column_active_rate,exact_neuron_active_rate,previous_winners_membership_rate,predicted_membership_rate,burst_membership_rate
scenario1,SOURCE_COLUMN_ACTIVE_WRONG_NEURON,,85,5685,0.014951627088830254,pre_observation_source_synapse_rows_in_selected_scope,32,58,2.65625,1.4655172413793103,1.0,0.0,0.0,0.0,0.0
scenario1,SOURCE_COLUMN_NOT_ACTIVE,,2359,5685,0.41495162708883027,pre_observation_source_synapse_rows_in_selected_scope,77,180,30.636363636363637,13.105555555555556,0.0,0.0,0.0,0.0,0.0
scenario1,SOURCE_EXACT_CELL_MATCHED,,450,5685,0.079155672823219,pre_observation_source_synapse_rows_in_selected_scope,77,117,5.8441558441558445,3.8461538461538463,1.0,1.0,0.5155555555555555,0.06444444444444444,0.9355555555555556
scenario1,SOURCE_IN_CONTEXT_ARRIVAL_TOO_EARLY,source_time_plus_delay_before_matching_window,405,5685,0.0712401055408971,pre_observation_source_synapse_rows_in_selected_scope,52,85,7.788461538461538,4.764705882352941,1.0,1.0,0.4567901234567901,0.05925925925925926,0.9407407407407408
scenario1,SOURCE_IN_CONTEXT_DELAY_NOT_ARRIVED,source_time_plus_delay_after_matching_window,2386,5685,0.4197009674582234,pre_observation_source_synapse_rows_in_selected_scope,73,168,32.68493150684932,14.202380952380953,1.0,1.0,0.6320201173512154,0.00586756077116513,0.9941324392288349
scenario2,SOURCE_COLUMN_ACTIVE_WRONG_NEURON,,1199,175506,0.006831675270361127,pre_observation_source_synapse_rows_in_selected_scope,309,363,3.8802588996763756,3.303030303030303,1.0,0.0,0.0,0.0,0.0
scenario2,SOURCE_COLUMN_NOT_ACTIVE,,144313,175506,0.8222681845634907,pre_observation_source_synapse_rows_in_selected_scope,550,874,262.3872727272727,165.1178489702517,0.0,0.0,0.0,0.0,0.0
scenario2,SOURCE_EXACT_CELL_MATCHED,,10449,175506,0.059536426105090426,pre_observation_source_synapse_rows_in_selected_scope,550,695,18.99818181818182,15.034532374100719,1.0,1.0,0.5897215044501867,0.018470667049478418,0.9815293329505216
scenario2,SOURCE_IN_CONTEXT_ARRIVAL_TOO_EARLY,source_time_plus_delay_before_matching_window,11009,175506,0.06272720020967944,pre_observation_source_synapse_rows_in_selected_scope,546,783,20.163003663003664,14.060025542784164,1.0,1.0,0.2916704514488146,0.059860114451812156,0.9401398855481878
scenario2,SOURCE_IN_CONTEXT_DELAY_NOT_ARRIVED,source_time_plus_delay_after_matching_window,8536,175506,0.0486365138513783,pre_observation_source_synapse_rows_in_selected_scope,541,716,15.77818853974122,11.921787709497206,1.0,1.0,0.17197750702905343,0.0010543580131208998,0.9989456419868791
scenario3,SOURCE_COLUMN_ACTIVE_WRONG_NEURON,,484,29034,0.016670110904456845,pre_observation_source_synapse_rows_in_selected_scope,196,308,2.4693877551020407,1.5714285714285714,1.0,0.0,0.0,0.0,0.0
scenario3,SOURCE_COLUMN_NOT_ACTIVE,,12966,29034,0.4465798718743542,pre_observation_source_synapse_rows_in_selected_scope,414,921,31.318840579710145,14.078175895765472,0.0,0.0,0.0,0.0,0.0
scenario3,SOURCE_EXACT_CELL_MATCHED,,472,29034,0.0162568023696356,pre_observation_source_synapse_rows_in_selected_scope,205,301,2.3024390243902437,1.5681063122923589,1.0,1.0,0.10805084745762712,0.06991525423728813,0.9300847457627118
scenario3,SOURCE_IN_CONTEXT_ARRIVAL_TOO_EARLY,source_time_plus_delay_before_matching_window,6793,29034,0.2339670730867259,pre_observation_source_synapse_rows_in_selected_scope,330,694,20.584848484848486,9.788184438040346,1.0,1.0,0.6293243044310319,0.037833063447666716,0.9621669365523333
scenario3,SOURCE_IN_CONTEXT_DELAY_NOT_ARRIVED,source_time_plus_delay_after_matching_window,8319,29034,0.28652614176482744,pre_observation_source_synapse_rows_in_selected_scope,377,754,22.06631299734748,11.03315649867374,1.0,1.0,0.6533237167928838,0.008775093160235605,0.9912249068397644
