scope,primary_reason,secondary_reason,source_row_count,source_row_denominator,rate,denominator_scope,unique_observation_count,unique_segment_count,mean_reasons_per_observation,mean_reasons_per_segment,source_column_active_rate,exact_neuron_active_rate,previous_winners_membership_rate,predicted_membership_rate,burst_membership_rate
ALL_FIELDS,SOURCE_COLUMN_ACTIVE_WRONG_NEURON,,1768,210225,0.008410036865263409,pre_observation_source_synapse_rows_in_selected_scope,537,729,3.292364990689013,2.4252400548696844,1.0,0.0,0.0,0.0,0.0
ALL_FIELDS,SOURCE_COLUMN_NOT_ACTIVE,,159638,210225,0.7593673445118325,pre_observation_source_synapse_rows_in_selected_scope,1041,1975,153.35062439961575,80.8293670886076,0.0,0.0,0.0,0.0,0.0
ALL_FIELDS,SOURCE_EXACT_CELL_MATCHED,,11371,210225,0.05408966583422523,pre_observation_source_synapse_rows_in_selected_scope,832,1113,13.667067307692308,10.216531895777178,1.0,1.0,0.5667927183185296,0.02242546829654384,0.9775745317034562
ALL_FIELDS,SOURCE_IN_CONTEXT_ARRIVAL_TOO_EARLY,source_time_plus_delay_before_matching_window,18207,210225,0.08660720656439529,pre_observation_source_synapse_rows_in_selected_scope,928,1562,19.619612068965516,11.656209987195902,1.0,1.0,0.42132146976437634,0.05162849453506893,0.9483715054649311
ALL_FIELDS,SOURCE_IN_CONTEXT_DELAY_NOT_ARRIVED,source_time_plus_delay_after_matching_window,19241,210225,0.0915257462242835,pre_observation_source_synapse_rows_in_selected_scope,991,1638,19.41574167507568,11.746642246642246,1.0,1.0,0.43713944181695336,0.004989345668104568,0.9950106543318954
PASSENGER,SOURCE_COLUMN_ACTIVE_WRONG_NEURON,,142,13205,0.010753502461188943,pre_observation_source_synapse_rows_in_selected_scope,75,83,1.8933333333333333,1.7108433734939759,1.0,0.0,0.0,0.0,0.0
PASSENGER,SOURCE_COLUMN_NOT_ACTIVE,,6570,13205,0.497538811056418,pre_observation_source_synapse_rows_in_selected_scope,229,420,28.689956331877728,15.642857142857142,0.0,0.0,0.0,0.0,0.0
PASSENGER,SOURCE_EXACT_CELL_MATCHED,,543,13205,0.04112078758046195,pre_observation_source_synapse_rows_in_selected_scope,95,114,5.71578947368421,4.7631578947368425,1.0,1.0,0.7697974217311234,0.001841620626151013,0.998158379373849
PASSENGER,SOURCE_IN_CONTEXT_ARRIVAL_TOO_EARLY,source_time_plus_delay_before_matching_window,2890,13205,0.21885649375236652,pre_observation_source_synapse_rows_in_selected_scope,188,292,15.372340425531915,9.897260273972602,1.0,1.0,0.6913494809688582,0.025259515570934254,0.9747404844290657
PASSENGER,SOURCE_IN_CONTEXT_DELAY_NOT_ARRIVED,source_time_plus_delay_after_matching_window,3060,13205,0.23173040514956456,pre_observation_source_synapse_rows_in_selected_scope,189,306,16.19047619047619,10.0,1.0,1.0,0.6754901960784314,0.0058823529411764705,0.9941176470588236
PASSENGER_SCENARIO3,SOURCE_COLUMN_ACTIVE_WRONG_NEURON,,127,8926,0.014228097692135335,pre_observation_source_synapse_rows_in_selected_scope,64,70,1.984375,1.8142857142857143,1.0,0.0,0.0,0.0,0.0
PASSENGER_SCENARIO3,SOURCE_COLUMN_NOT_ACTIVE,,4312,8926,0.48308312794084696,pre_observation_source_synapse_rows_in_selected_scope,178,288,24.224719101123597,14.972222222222221,0.0,0.0,0.0,0.0,0.0
PASSENGER_SCENARIO3,SOURCE_EXACT_CELL_MATCHED,,63,8926,0.007058032713421466,pre_observation_source_synapse_rows_in_selected_scope,44,51,1.4318181818181819,1.2352941176470589,1.0,1.0,0.015873015873015872,0.0,1.0
PASSENGER_SCENARIO3,SOURCE_IN_CONTEXT_ARRIVAL_TOO_EARLY,source_time_plus_delay_before_matching_window,2196,8926,0.24602285458211964,pre_observation_source_synapse_rows_in_selected_scope,146,213,15.04109589041096,10.309859154929578,1.0,1.0,0.697632058287796,0.027777777777777776,0.9722222222222222
PASSENGER_SCENARIO3,SOURCE_IN_CONTEXT_DELAY_NOT_ARRIVED,source_time_plus_delay_after_matching_window,2228,8926,0.24960788707147658,pre_observation_source_synapse_rows_in_selected_scope,147,217,15.156462585034014,10.267281105990783,1.0,1.0,0.6795332136445242,0.00718132854578097,0.992818671454219
TIME_SCENARIO3,SOURCE_COLUMN_ACTIVE_WRONG_NEURON,,357,20108,0.017754127710364033,pre_observation_source_synapse_rows_in_selected_scope,132,238,2.7045454545454546,1.5,1.0,0.0,0.0,0.0,0.0
TIME_SCENARIO3,SOURCE_COLUMN_NOT_ACTIVE,,8654,20108,0.4303759697632783,pre_observation_source_synapse_rows_in_selected_scope,236,633,36.66949152542373,13.671406003159557,0.0,0.0,0.0,0.0,0.0
TIME_SCENARIO3,SOURCE_EXACT_CELL_MATCHED,,409,20108,0.020340163119156554,pre_observation_source_synapse_rows_in_selected_scope,161,250,2.540372670807453,1.636,1.0,1.0,0.12224938875305623,0.08068459657701711,0.9193154034229829
TIME_SCENARIO3,SOURCE_IN_CONTEXT_ARRIVAL_TOO_EARLY,source_time_plus_delay_before_matching_window,4597,20108,0.22861547642729263,pre_observation_source_synapse_rows_in_selected_scope,184,481,24.983695652173914,9.557172557172557,1.0,1.0,0.5966934957581032,0.04263650206656515,0.9573634979334349
TIME_SCENARIO3,SOURCE_IN_CONTEXT_DELAY_NOT_ARRIVED,source_time_plus_delay_after_matching_window,6091,20108,0.3029142629799085,pre_observation_source_synapse_rows_in_selected_scope,230,537,26.482608695652175,11.342644320297952,1.0,1.0,0.643736660646856,0.009358069282548022,0.990641930717452
