input_index,input_timestamp,target_timestamp,target,prediction,persistence_prediction,daily_seasonal_prediction
1000,2020-01-07 22:50:00,2020-01-07 23:00:00,1.71,1.630031185031184,1.68,-1.3
1001,2020-01-07 23:00:00,2020-01-07 23:10:00,1.47,4.95076923076923,1.71,-1.11
1002,2020-01-07 23:10:00,2020-01-07 23:20:00,1.48,1.7170374220374214,1.47,-1.16
1003,2020-01-07 23:20:00,2020-01-07 23:30:00,1.79,1.4705197505197498,1.48,-1.04
1004,2020-01-07 23:30:00,2020-01-07 23:40:00,1.84,1.7170374220374214,1.79,-0.77
1005,2020-01-07 23:40:00,2020-01-07 23:50:00,1.74,-0.7046361746361756,1.84,-0.71
1006,2020-01-07 23:50:00,2020-01-08 00:00:00,1.58,6.618388773388772,1.74,-0.8
1007,2020-01-08 00:00:00,2020-01-08 00:10:00,1.36,0.3394386694386684,1.58,-0.71
1008,2020-01-08 00:10:00,2020-01-08 00:20:00,1.28,-0.42911642411642514,1.36,-0.43
1009,2020-01-08 00:20:00,2020-01-08 00:30:00,1.23,5.588814968814968,1.28,-0.31
1010,2020-01-08 00:30:00,2020-01-08 00:40:00,1.05,1.7025363825363815,1.23,-0.39
1011,2020-01-08 00:40:00,2020-01-08 00:50:00,1.3,1.804043659043658,1.05,-0.48
1012,2020-01-08 00:50:00,2020-01-08 01:00:00,1.6,1.4197661122661116,1.3,-0.55
1013,2020-01-08 01:00:00,2020-01-08 01:10:00,1.99,1.6735343035343027,1.6,-0.28
1014,2020-01-08 01:10:00,2020-01-08 01:20:00,2.05,2.630602910602909,1.99,0.21
1015,2020-01-08 01:20:00,2020-01-08 01:30:00,2.05,1.9925571725571718,2.05,0.16
1016,2020-01-08 01:30:00,2020-01-08 01:40:00,2.23,2.0215592515592506,2.05,0.08
1017,2020-01-08 01:40:00,2020-01-08 01:50:00,2.43,2.0215592515592506,2.23,-0.02
1018,2020-01-08 01:50:00,2020-01-08 02:00:00,2.69,2.4130873180873165,2.43,-0.01
1019,2020-01-08 02:00:00,2020-01-08 02:10:00,3.1,-3.9673700623700627,2.69,0.0
1020,2020-01-08 02:10:00,2020-01-08 02:20:00,3.36,3.1091372141372124,3.1,-0.06
1021,2020-01-08 02:20:00,2020-01-08 02:30:00,3.63,4.6462474012473995,3.36,-0.03
1022,2020-01-08 02:30:00,2020-01-08 02:40:00,3.7,3.4136590436590426,3.63,-0.11
1023,2020-01-08 02:40:00,2020-01-08 02:50:00,3.68,3.4571621621621604,3.7,-0.16
1024,2020-01-08 02:50:00,2020-01-08 03:00:00,3.57,3.341153846153845,3.68,-0.08
1025,2020-01-08 03:00:00,2020-01-08 03:10:00,3.73,3.703679833679833,3.57,0.16
1026,2020-01-08 03:10:00,2020-01-08 03:20:00,4.02,-0.7626403326403333,3.73,0.22
1027,2020-01-08 03:20:00,2020-01-08 03:30:00,4.36,3.7616839916839906,4.02,0.25
1028,2020-01-08 03:30:00,2020-01-08 03:40:00,4.12,-3.3438253638253643,4.36,0.48
1029,2020-01-08 03:40:00,2020-01-08 03:50:00,4.13,2.152068607068606,4.12,0.56
1030,2020-01-08 03:50:00,2020-01-08 04:00:00,4.36,3.7616839916839906,4.13,0.63
1031,2020-01-08 04:00:00,2020-01-08 04:10:00,4.68,-1.0164085239085243,4.36,0.7
1032,2020-01-08 04:10:00,2020-01-08 04:20:00,4.6,0.759968814968814,4.68,0.75
1033,2020-01-08 04:20:00,2020-01-08 04:30:00,4.32,2.993128898128897,4.6,0.77
1034,2020-01-08 04:30:00,2020-01-08 04:40:00,4.09,4.588243243243242,4.32,0.91
1035,2020-01-08 04:40:00,2020-01-08 04:50:00,4.0,-3.45983367983368,4.09,0.94
1036,2020-01-08 04:50:00,2020-01-08 05:00:00,4.12,4.109708939708939,4.0,0.74
1037,2020-01-08 05:00:00,2020-01-08 05:10:00,4.47,2.993128898128897,4.12,0.39
1038,2020-01-08 05:10:00,2020-01-08 05:20:00,4.61,4.457733887733887,4.47,0.32
1039,2020-01-08 05:20:00,2020-01-08 05:30:00,4.79,2.993128898128897,4.61,0.29
1040,2020-01-08 05:30:00,2020-01-08 05:40:00,5.02,3.674677754677753,4.79,0.35
1041,2020-01-08 05:40:00,2020-01-08 05:50:00,5.16,3.674677754677753,5.02,0.53
1042,2020-01-08 05:50:00,2020-01-08 06:00:00,5.4,-5.446476091476092,5.16,0.72
1043,2020-01-08 06:00:00,2020-01-08 06:10:00,5.52,2.442089397089396,5.4,0.95
1044,2020-01-08 06:10:00,2020-01-08 06:20:00,5.63,3.7399324324324317,5.52,0.61
1045,2020-01-08 06:20:00,2020-01-08 06:30:00,5.66,-5.678492723492724,5.63,0.47
1046,2020-01-08 06:30:00,2020-01-08 06:40:00,5.61,2.993128898128897,5.66,0.9
1047,2020-01-08 06:40:00,2020-01-08 06:50:00,5.33,-2.488264033264034,5.61,0.84
1048,2020-01-08 06:50:00,2020-01-08 07:00:00,5.12,3.1236382536382523,5.33,0.7
1049,2020-01-08 07:00:00,2020-01-08 07:10:00,5.12,5.204537422037421,5.12,0.66
1050,2020-01-08 07:10:00,2020-01-08 07:20:00,5.14,5.204537422037421,5.12,0.9
1051,2020-01-08 07:20:00,2020-01-08 07:30:00,5.09,5.3422972972972955,5.14,1.02
1052,2020-01-08 07:30:00,2020-01-08 07:40:00,5.22,5.023274428274427,5.09,0.98
1053,2020-01-08 07:40:00,2020-01-08 07:50:00,5.26,3.2541476091476076,5.22,1.15
1054,2020-01-08 07:50:00,2020-01-08 08:00:00,5.27,-5.127453222453223,5.26,1.47
1055,2020-01-08 08:00:00,2020-01-08 08:10:00,5.31,-5.576985446985447,5.27,1.33
1056,2020-01-08 08:10:00,2020-01-08 08:20:00,5.32,5.3422972972972955,5.31,1.56
1057,2020-01-08 08:20:00,2020-01-08 08:30:00,5.26,5.327796257796257,5.32,1.65
1058,2020-01-08 08:30:00,2020-01-08 08:40:00,5.24,3.6166735966735954,5.26,1.43
1059,2020-01-08 08:40:00,2020-01-08 08:50:00,5.5,5.182785862785862,5.24,1.46
1060,2020-01-08 08:50:00,2020-01-08 09:00:00,5.49,1.9925571725571718,5.5,1.47
1061,2020-01-08 09:00:00,2020-01-08 09:10:00,4.9,5.5018087318087305,5.49,1.41
1062,2020-01-08 09:10:00,2020-01-08 09:20:00,4.37,5.204537422037421,4.9,1.5
1063,2020-01-08 09:20:00,2020-01-08 09:30:00,4.17,4.9942723492723475,4.37,1.71
1064,2020-01-08 09:30:00,2020-01-08 09:40:00,4.13,2.4130873180873165,4.17,1.77
1065,2020-01-08 09:40:00,2020-01-08 09:50:00,4.15,1.630031185031184,4.13,1.62
1066,2020-01-08 09:50:00,2020-01-08 10:00:00,4.27,-1.9372245322245325,4.15,1.56
1067,2020-01-08 10:00:00,2020-01-08 10:10:00,4.39,3.703679833679833,4.27,1.82
1068,2020-01-08 10:10:00,2020-01-08 10:20:00,4.33,-3.5178378378378383,4.39,1.96
1069,2020-01-08 10:20:00,2020-01-08 10:30:00,4.17,3.7399324324324317,4.33,1.83
1070,2020-01-08 10:30:00,2020-01-08 10:40:00,4.08,4.022702702702701,4.17,1.76
1071,2020-01-08 10:40:00,2020-01-08 10:50:00,4.12,4.435982328482328,4.08,2.05
1072,2020-01-08 10:50:00,2020-01-08 11:00:00,4.12,3.2831496881496873,4.12,2.28
1073,2020-01-08 11:00:00,2020-01-08 11:10:00,4.14,4.109708939708939,4.12,2.64
1074,2020-01-08 11:10:00,2020-01-08 11:20:00,4.24,4.160462577962577,4.14,2.85
1075,2020-01-08 11:20:00,2020-01-08 11:30:00,4.11,4.399729729729729,4.24,3.08
1076,2020-01-08 11:30:00,2020-01-08 11:40:00,4.2,4.1242099792099784,4.11,3.27
1077,2020-01-08 11:40:00,2020-01-08 11:50:00,4.2,4.312723492723491,4.2,3.31
1078,2020-01-08 11:50:00,2020-01-08 12:00:00,4.22,4.160462577962577,4.2,3.37
1079,2020-01-08 12:00:00,2020-01-08 12:10:00,4.33,4.1242099792099784,4.22,3.44
1080,2020-01-08 12:10:00,2020-01-08 12:20:00,4.49,4.160462577962577,4.33,3.51
1081,2020-01-08 12:20:00,2020-01-08 12:30:00,4.5,5.204537422037421,4.49,3.62
1082,2020-01-08 12:30:00,2020-01-08 12:40:00,4.48,3.4716632016632003,4.5,3.77
1083,2020-01-08 12:40:00,2020-01-08 12:50:00,4.42,4.370727650727649,4.48,3.85
1084,2020-01-08 12:50:00,2020-01-08 13:00:00,4.44,6.98091476091476,4.42,4.05
