input_index,input_timestamp,target_timestamp,target,prediction,persistence_prediction,daily_seasonal_prediction
1000,2020-01-07 22:50:00,2020-01-08 00:50:00,1.3,-3.938367983367984,1.68,-0.48
1001,2020-01-07 23:00:00,2020-01-08 01:00:00,1.6,1.4197661122661116,1.71,-0.55
1002,2020-01-07 23:10:00,2020-01-08 01:10:00,1.99,-3.938367983367984,1.47,-0.28
1003,2020-01-07 23:20:00,2020-01-08 01:20:00,2.05,-3.938367983367984,1.48,0.21
1004,2020-01-07 23:30:00,2020-01-08 01:30:00,2.05,-3.938367983367984,1.79,0.16
1005,2020-01-07 23:40:00,2020-01-08 01:40:00,2.23,-3.938367983367984,1.84,0.08
1006,2020-01-07 23:50:00,2020-01-08 01:50:00,2.43,-3.938367983367984,1.74,-0.02
1007,2020-01-08 00:00:00,2020-01-08 02:00:00,2.69,-3.938367983367984,1.58,-0.01
1008,2020-01-08 00:10:00,2020-01-08 02:10:00,3.1,-3.938367983367984,1.36,0.0
1009,2020-01-08 00:20:00,2020-01-08 02:20:00,3.36,-3.938367983367984,1.28,-0.06
1010,2020-01-08 00:30:00,2020-01-08 02:30:00,3.63,-3.938367983367984,1.23,-0.03
1011,2020-01-08 00:40:00,2020-01-08 02:40:00,3.7,-3.938367983367984,1.05,-0.11
1012,2020-01-08 00:50:00,2020-01-08 02:50:00,3.68,-3.938367983367984,1.3,-0.16
1013,2020-01-08 01:00:00,2020-01-08 03:00:00,3.57,-3.938367983367984,1.6,-0.08
1014,2020-01-08 01:10:00,2020-01-08 03:10:00,3.73,-3.938367983367984,1.99,0.16
1015,2020-01-08 01:20:00,2020-01-08 03:20:00,4.02,-3.938367983367984,2.05,0.22
1016,2020-01-08 01:30:00,2020-01-08 03:30:00,4.36,-3.938367983367984,2.05,0.25
1017,2020-01-08 01:40:00,2020-01-08 03:40:00,4.12,-3.938367983367984,2.23,0.48
1018,2020-01-08 01:50:00,2020-01-08 03:50:00,4.13,-3.938367983367984,2.43,0.56
1019,2020-01-08 02:00:00,2020-01-08 04:00:00,4.36,-3.938367983367984,2.69,0.63
1020,2020-01-08 02:10:00,2020-01-08 04:10:00,4.68,-3.938367983367984,3.1,0.7
1021,2020-01-08 02:20:00,2020-01-08 04:20:00,4.6,-3.938367983367984,3.36,0.75
1022,2020-01-08 02:30:00,2020-01-08 04:30:00,4.32,-3.938367983367984,3.63,0.77
1023,2020-01-08 02:40:00,2020-01-08 04:40:00,4.09,-3.938367983367984,3.7,0.91
1024,2020-01-08 02:50:00,2020-01-08 04:50:00,4.0,-3.938367983367984,3.68,0.94
1025,2020-01-08 03:00:00,2020-01-08 05:00:00,4.12,-3.938367983367984,3.57,0.74
1026,2020-01-08 03:10:00,2020-01-08 05:10:00,4.47,-3.938367983367984,3.73,0.39
1027,2020-01-08 03:20:00,2020-01-08 05:20:00,4.61,-3.938367983367984,4.02,0.32
1028,2020-01-08 03:30:00,2020-01-08 05:30:00,4.79,6.98091476091476,4.36,0.29
1029,2020-01-08 03:40:00,2020-01-08 05:40:00,5.02,-3.938367983367984,4.12,0.35
1030,2020-01-08 03:50:00,2020-01-08 05:50:00,5.16,6.98091476091476,4.13,0.53
1031,2020-01-08 04:00:00,2020-01-08 06:00:00,5.4,-3.938367983367984,4.36,0.72
1032,2020-01-08 04:10:00,2020-01-08 06:10:00,5.52,-3.938367983367984,4.68,0.95
1033,2020-01-08 04:20:00,2020-01-08 06:20:00,5.63,-3.938367983367984,4.6,0.61
1034,2020-01-08 04:30:00,2020-01-08 06:30:00,5.66,-3.938367983367984,4.32,0.47
1035,2020-01-08 04:40:00,2020-01-08 06:40:00,5.61,-3.938367983367984,4.09,0.9
1036,2020-01-08 04:50:00,2020-01-08 06:50:00,5.33,-3.938367983367984,4.0,0.84
1037,2020-01-08 05:00:00,2020-01-08 07:00:00,5.12,-3.938367983367984,4.12,0.7
1038,2020-01-08 05:10:00,2020-01-08 07:10:00,5.12,-3.938367983367984,4.47,0.66
1039,2020-01-08 05:20:00,2020-01-08 07:20:00,5.14,-3.938367983367984,4.61,0.9
1040,2020-01-08 05:30:00,2020-01-08 07:30:00,5.09,-3.938367983367984,4.79,1.02
1041,2020-01-08 05:40:00,2020-01-08 07:40:00,5.22,-3.938367983367984,5.02,0.98
1042,2020-01-08 05:50:00,2020-01-08 07:50:00,5.26,-3.938367983367984,5.16,1.15
1043,2020-01-08 06:00:00,2020-01-08 08:00:00,5.27,-3.938367983367984,5.4,1.47
1044,2020-01-08 06:10:00,2020-01-08 08:10:00,5.31,-3.938367983367984,5.52,1.33
1045,2020-01-08 06:20:00,2020-01-08 08:20:00,5.32,-3.938367983367984,5.63,1.56
1046,2020-01-08 06:30:00,2020-01-08 08:30:00,5.26,-3.938367983367984,5.66,1.65
1047,2020-01-08 06:40:00,2020-01-08 08:40:00,5.24,-3.938367983367984,5.61,1.43
1048,2020-01-08 06:50:00,2020-01-08 08:50:00,5.5,-3.938367983367984,5.33,1.46
1049,2020-01-08 07:00:00,2020-01-08 09:00:00,5.49,-3.938367983367984,5.12,1.47
