horizon,input_index,input_timestamp,target_timestamp,target,prediction,persistence_prediction,daily_seasonal_prediction
12,500,2020-01-04 11:30:00,2020-01-04 13:30:00,5.12,6.98091476091476,3.93,6.93
24,500,2020-01-04 11:30:00,2020-01-04 15:30:00,4.37,6.98091476091476,3.93,6.54
48,500,2020-01-04 11:30:00,2020-01-04 19:30:00,1.68,6.98091476091476,3.93,6.99
96,500,2020-01-04 11:30:00,2020-01-05 03:30:00,2.14,6.98091476091476,3.93,3.76
12,501,2020-01-04 11:40:00,2020-01-04 13:40:00,5.21,6.98091476091476,4.03,6.84
24,501,2020-01-04 11:40:00,2020-01-04 15:40:00,4.44,6.98091476091476,4.03,6.56
48,501,2020-01-04 11:40:00,2020-01-04 19:40:00,1.73,6.98091476091476,4.03,7.13
96,501,2020-01-04 11:40:00,2020-01-05 03:40:00,2.17,6.98091476091476,4.03,3.67
12,502,2020-01-04 11:50:00,2020-01-04 13:50:00,5.23,6.98091476091476,4.15,6.71
24,502,2020-01-04 11:50:00,2020-01-04 15:50:00,4.53,6.98091476091476,4.15,6.62
48,502,2020-01-04 11:50:00,2020-01-04 19:50:00,1.97,6.98091476091476,4.15,7.2
96,502,2020-01-04 11:50:00,2020-01-05 03:50:00,2.15,6.98091476091476,4.15,3.72
12,503,2020-01-04 12:00:00,2020-01-04 14:00:00,5.31,6.98091476091476,4.23,6.67
24,503,2020-01-04 12:00:00,2020-01-04 16:00:00,4.6,6.98091476091476,4.23,6.65
48,503,2020-01-04 12:00:00,2020-01-04 20:00:00,2.07,6.98091476091476,4.23,7.33
96,503,2020-01-04 12:00:00,2020-01-05 04:00:00,2.17,6.98091476091476,4.23,3.76
12,504,2020-01-04 12:10:00,2020-01-04 14:10:00,5.34,6.98091476091476,4.3,6.59
24,504,2020-01-04 12:10:00,2020-01-04 16:10:00,4.7,6.98091476091476,4.3,6.59
48,504,2020-01-04 12:10:00,2020-01-04 20:10:00,2.03,6.98091476091476,4.3,7.5
96,504,2020-01-04 12:10:00,2020-01-05 04:10:00,2.2,6.98091476091476,4.3,3.81
12,505,2020-01-04 12:20:00,2020-01-04 14:20:00,5.4,6.98091476091476,4.44,6.54
24,505,2020-01-04 12:20:00,2020-01-04 16:20:00,4.83,6.98091476091476,4.44,6.54
48,505,2020-01-04 12:20:00,2020-01-04 20:20:00,2.01,6.98091476091476,4.44,7.59
96,505,2020-01-04 12:20:00,2020-01-05 04:20:00,2.16,6.98091476091476,4.44,3.8
12,506,2020-01-04 12:30:00,2020-01-04 14:30:00,5.31,6.98091476091476,4.54,6.54
24,506,2020-01-04 12:30:00,2020-01-04 16:30:00,4.97,6.98091476091476,4.54,6.49
48,506,2020-01-04 12:30:00,2020-01-04 20:30:00,2.08,6.98091476091476,4.54,7.61
96,506,2020-01-04 12:30:00,2020-01-05 04:30:00,2.1,6.98091476091476,4.54,3.83
12,507,2020-01-04 12:40:00,2020-01-04 14:40:00,5.07,0.37569126819126764,4.63,6.47
24,507,2020-01-04 12:40:00,2020-01-04 16:40:00,4.87,0.37569126819126764,4.63,6.47
48,507,2020-01-04 12:40:00,2020-01-04 20:40:00,2.2,0.37569126819126764,4.63,7.66
96,507,2020-01-04 12:40:00,2020-01-05 04:40:00,2.08,0.37569126819126764,4.63,3.8
12,508,2020-01-04 12:50:00,2020-01-04 14:50:00,4.8,6.98091476091476,4.68,6.41
24,508,2020-01-04 12:50:00,2020-01-04 16:50:00,4.92,6.98091476091476,4.68,6.59
48,508,2020-01-04 12:50:00,2020-01-04 20:50:00,2.26,6.98091476091476,4.68,7.69
96,508,2020-01-04 12:50:00,2020-01-05 04:50:00,2.07,6.98091476091476,4.68,3.74
12,509,2020-01-04 13:00:00,2020-01-04 15:00:00,4.55,6.98091476091476,4.77,6.45
24,509,2020-01-04 13:00:00,2020-01-04 17:00:00,4.94,6.98091476091476,4.77,6.62
48,509,2020-01-04 13:00:00,2020-01-04 21:00:00,2.21,6.98091476091476,4.77,7.82
96,509,2020-01-04 13:00:00,2020-01-05 05:00:00,2.02,6.98091476091476,4.77,3.69
12,510,2020-01-04 13:10:00,2020-01-04 15:10:00,4.36,6.98091476091476,4.87,6.41
24,510,2020-01-04 13:10:00,2020-01-04 17:10:00,4.94,6.98091476091476,4.87,6.61
