sentence_index,cycle,active_column,predicted_sstd_rank,actual_sstd_rank,delta_t_abs,semantic_class
4,8,66,4,1,0.17263346354166664,UNIQUE_DIFFERENT_RANK
4,8,63,10,2,0.45041124131943366,UNIQUE_DIFFERENT_RANK
4,8,86,1,3,0.10611111111111121,UNIQUE_DIFFERENT_RANK
5,3,99,12,1,0.061522352430555705,UNIQUE_DIFFERENT_RANK
5,3,18,20,2,0.45041124131943366,UNIQUE_DIFFERENT_RANK
6,1,49,10,5,0.28374457465276703,UNIQUE_DIFFERENT_RANK
6,9,68,26,2,0.3393001302083334,UNIQUE_DIFFERENT_RANK
6,9,14,23,3,0.11707790798611112,UNIQUE_DIFFERENT_RANK
6,9,66,9,10,0.05000000000000959,UNIQUE_DIFFERENT_RANK
7,3,13,1,4,0.16166666666666676,UNIQUE_DIFFERENT_RANK
7,8,78,13,1,0.11738186306423626,UNIQUE_DIFFERENT_RANK
7,8,57,32,4,0.11722561306423626,UNIQUE_DIFFERENT_RANK
7,8,38,19,5,0.2277777777777682,UNIQUE_DIFFERENT_RANK
7,8,18,20,6,0.2161077202690972,UNIQUE_DIFFERENT_RANK
7,8,68,22,8,0.3273665364583332,UNIQUE_DIFFERENT_RANK
7,8,88,2,9,0.3824545627170137,UNIQUE_DIFFERENT_RANK
7,9,78,7,4,0.1733333333333261,UNIQUE_DIFFERENT_RANK
7,9,20,8,5,0.17277777777776937,UNIQUE_DIFFERENT_RANK
8,2,94,5,5,0.061654188368055585,UNIQUE_SAME_RANK_TIME_SHIFT
8,6,80,35,1,0.17293741861979162,UNIQUE_DIFFERENT_RANK
8,6,12,13,4,0.04958875868055537,UNIQUE_DIFFERENT_RANK
8,6,14,27,9,0.32721883138020824,UNIQUE_DIFFERENT_RANK
8,8,64,36,1,0.17293741861979162,UNIQUE_DIFFERENT_RANK
8,8,81,45,2,0.44944444444443366,UNIQUE_DIFFERENT_RANK
8,8,87,27,5,0.1606998697916665,UNIQUE_DIFFERENT_RANK
8,8,13,43,9,0.10467678493923604,UNIQUE_DIFFERENT_RANK
8,8,3,40,10,0.10500000000000842,UNIQUE_DIFFERENT_RANK
9,1,12,3,7,0.21833333333333577,UNIQUE_DIFFERENT_RANK
9,3,87,15,1,0.0616700575086806,UNIQUE_DIFFERENT_RANK
9,3,59,6,2,0.22920586480034724,UNIQUE_DIFFERENT_RANK
9,3,9,17,3,0.22818901909722228,UNIQUE_DIFFERENT_RANK
9,3,97,13,4,0.04958875868055537,UNIQUE_DIFFERENT_RANK
9,3,12,23,5,0.10484035915798595,UNIQUE_DIFFERENT_RANK
9,3,45,40,10,0.16055216471354172,UNIQUE_DIFFERENT_RANK
9,5,47,40,4,0.22833333333332492,UNIQUE_DIFFERENT_RANK
9,5,1,39,5,0.11777777777777054,UNIQUE_DIFFERENT_RANK
9,5,81,21,6,0.2161077202690972,UNIQUE_DIFFERENT_RANK
9,5,5,52,8,0.06111111111110151,UNIQUE_DIFFERENT_RANK
9,5,25,43,9,0.21595147026909722,UNIQUE_DIFFERENT_RANK
9,5,23,28,10,0.4380101182725693,UNIQUE_DIFFERENT_RANK
9,7,29,2,6,0.21625542534722209,UNIQUE_DIFFERENT_RANK
9,8,52,6,1,0.2837445746527778,UNIQUE_DIFFERENT_RANK
9,8,58,3,2,0.06152235243055573,UNIQUE_DIFFERENT_RANK
10,3,1,5,10,0.2718109809027778,UNIQUE_DIFFERENT_RANK
10,7,49,12,7,0.21610772026909714,UNIQUE_DIFFERENT_RANK
10,9,25,4,9,0.2718109809027778,UNIQUE_DIFFERENT_RANK
11,6,48,2,1,0.061522352430555705,UNIQUE_DIFFERENT_RANK
11,6,65,20,10,0.38261813693576374,UNIQUE_DIFFERENT_RANK
12,3,3,23,1,0.3949999999999916,UNIQUE_DIFFERENT_RANK
12,3,1,37,2,0.17263346354166667,UNIQUE_DIFFERENT_RANK
12,3,74,12,5,0.10370388454861101,UNIQUE_DIFFERENT_RANK
12,3,5,50,6,0.11707790798611117,UNIQUE_DIFFERENT_RANK
12,3,81,18,7,0.27150702582465264,UNIQUE_DIFFERENT_RANK
12,3,52,46,9,0.4376536729600693,UNIQUE_DIFFERENT_RANK
12,7,90,8,4,0.2281890190972223,UNIQUE_DIFFERENT_RANK
12,7,58,3,9,0.32736653645833313,UNIQUE_DIFFERENT_RANK
13,1,16,8,5,0.17263346354166675,UNIQUE_DIFFERENT_RANK
13,8,80,43,3,0.1045034450954862,UNIQUE_DIFFERENT_RANK
13,8,61,28,5,0.17277777777776937,UNIQUE_DIFFERENT_RANK
13,8,45,10,6,0.06216322157118037,UNIQUE_DIFFERENT_RANK
13,8,26,55,7,0.2716632758246527,UNIQUE_DIFFERENT_RANK
13,8,43,26,8,0.21578789605034726,UNIQUE_DIFFERENT_RANK
13,8,63,38,9,0.4370372178819444,UNIQUE_DIFFERENT_RANK
15,4,60,11,6,0.2727777777777779,UNIQUE_DIFFERENT_RANK
15,4,80,6,10,0.21610772026909708,UNIQUE_DIFFERENT_RANK
15,5,81,4,1,0.17263346354166664,UNIQUE_DIFFERENT_RANK
15,9,81,2,7,0.2718109809027776,UNIQUE_DIFFERENT_RANK
16,1,14,1,3,0.10611111111111121,UNIQUE_DIFFERENT_RANK
16,1,18,15,5,0.06045667860243065,UNIQUE_DIFFERENT_RANK
16,1,20,4,8,0.21625542534722225,UNIQUE_DIFFERENT_RANK
16,1,81,19,9,0.06045667860241988,UNIQUE_DIFFERENT_RANK
16,2,68,1,8,0.09714029947916664,UNIQUE_DIFFERENT_RANK
16,3,50,12,4,0.04930189344618033,UNIQUE_DIFFERENT_RANK
16,3,80,8,8,0.10514431423611109,UNIQUE_SAME_RANK_TIME_SHIFT
16,8,18,40,1,0.2837445746527778,UNIQUE_DIFFERENT_RANK
16,8,31,14,2,0.1172256130642362,UNIQUE_DIFFERENT_RANK
16,8,77,55,3,0.17385538736979173,UNIQUE_DIFFERENT_RANK
16,8,90,53,4,0.3401241048176976,UNIQUE_DIFFERENT_RANK
16,8,14,52,5,0.1039223904079859,UNIQUE_DIFFERENT_RANK
16,8,6,61,6,0.1592594401041666,UNIQUE_DIFFERENT_RANK
16,8,58,29,9,0.26989203559027786,UNIQUE_DIFFERENT_RANK
17,2,76,3,5,0.10514431423611093,UNIQUE_DIFFERENT_RANK
17,4,39,5,6,0.050749647352430594,UNIQUE_DIFFERENT_RANK
17,6,62,5,1,0.22818901909722222,UNIQUE_DIFFERENT_RANK
17,6,43,17,3,0.22849297417534725,UNIQUE_DIFFERENT_RANK
17,6,84,18,4,0.22833333333332492,UNIQUE_DIFFERENT_RANK
17,8,62,19,5,0.28374457465276703,UNIQUE_DIFFERENT_RANK
17,8,18,12,10,0.3829220920138887,UNIQUE_DIFFERENT_RANK
17,9,57,24,8,0.04888888888889614,UNIQUE_DIFFERENT_RANK
18,1,67,11,4,0.16166666666666676,UNIQUE_DIFFERENT_RANK
18,1,30,15,10,0.2162554253472222,UNIQUE_DIFFERENT_RANK
18,3,1,25,1,0.5064172363281143,UNIQUE_DIFFERENT_RANK
18,3,60,1,2,0.05055555555555566,UNIQUE_DIFFERENT_RANK
18,3,53,5,7,0.10514431423611109,UNIQUE_DIFFERENT_RANK
18,3,77,32,8,0.11722561306422524,UNIQUE_DIFFERENT_RANK
18,3,20,15,9,0.21610772026909708,UNIQUE_DIFFERENT_RANK
18,5,79,5,8,0.16069986979166667,UNIQUE_DIFFERENT_RANK
18,6,80,1,8,0.2051897515190973,UNIQUE_DIFFERENT_RANK
18,7,22,4,5,0.04958875868055557,UNIQUE_DIFFERENT_RANK
19,1,26,2,1,0.0616700575086806,UNIQUE_DIFFERENT_RANK
19,1,20,4,7,0.16055216471354156,UNIQUE_DIFFERENT_RANK
19,4,13,33,1,0.4499999999999904,UNIQUE_DIFFERENT_RANK
19,4,50,13,3,0.061670057508680654,UNIQUE_DIFFERENT_RANK
19,4,56,20,9,0.38261813693576374,UNIQUE_DIFFERENT_RANK
19,4,1,2,10,0.4384776475694443,UNIQUE_DIFFERENT_RANK
19,6,27,3,10,0.3829220920138887,UNIQUE_DIFFERENT_RANK
19,8,87,1,5,0.2156145562065973,UNIQUE_DIFFERENT_RANK
19,8,9,3,7,0.21561455620659725,UNIQUE_DIFFERENT_RANK
19,8,61,32,8,0.16055216471354156,UNIQUE_DIFFERENT_RANK
19,8,13,41,9,0.10444444444445167,UNIQUE_DIFFERENT_RANK
19,8,3,11,10,0.4950000000000001,UNIQUE_DIFFERENT_RANK
20,2,67,1,2,0.05055555555555566,UNIQUE_DIFFERENT_RANK
20,3,1,8,1,0.3969845920138888,UNIQUE_DIFFERENT_RANK
20,3,19,6,5,0.06277777777777171,UNIQUE_DIFFERENT_RANK
20,6,13,4,5,0.04222222222222605,UNIQUE_DIFFERENT_RANK
20,8,18,20,2,0.05055555555555566,UNIQUE_DIFFERENT_RANK
20,8,80,31,4,0.1594779459635415,UNIQUE_DIFFERENT_RANK
20,8,14,23,5,0.10347317165798608,UNIQUE_DIFFERENT_RANK
20,8,57,43,6,0.10370388454861124,UNIQUE_DIFFERENT_RANK
20,8,81,17,10,0.4400000000000013,UNIQUE_DIFFERENT_RANK
20,9,32,6,4,0.11738186306423612,UNIQUE_DIFFERENT_RANK
20,9,96,10,5,0.28404852973089223,UNIQUE_DIFFERENT_RANK
20,9,59,23,10,0.26603217230902776,UNIQUE_DIFFERENT_RANK
