metric,count,denominator,rate
N_prediction_candidates,172,event-specific; see metric name,
N_active_columns_with_any_prediction,172,event-specific; see metric name,
N_active_columns_with_unique_prediction,172,event-specific; see metric name,
N_active_columns_with_multiple_predictions,0,event-specific; see metric name,
N_current_S1_confirmed,49,event-specific; see metric name,
N_timing_rejected,123,event-specific; see metric name,
N_paper_S3_punished,1249,event-specific; see metric name,
N_same_column_timing_rejected,123,event-specific; see metric name,
N_same_neuron_timing_rejected_posthoc,9,event-specific; see metric name,
N_unique_predictive_timing_rejected,123,event-specific; see metric name,
N_unique_predictive_timing_rejected_and_punished,123,event-specific; see metric name,
N_unique_predictive_timing_rejected_to_S2A,13,event-specific; see metric name,
N_unique_predictive_timing_rejected_to_S2B,110,event-specific; see metric name,
N_branch_replacement_double_credit_failure,123,event-specific; see metric name,
