sentence_index,cycle,active_column,delta_t_abs,provenance_class,evidence
4,8,66,0.17263346354166664,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
4,8,63,0.45041124131943366,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
4,8,86,0.10611111111111121,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
5,3,99,0.061522352430555705,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
5,3,18,0.45041124131943366,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
6,1,49,0.28374457465276703,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
6,9,68,0.3393001302083334,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
6,9,14,0.11707790798611112,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
6,9,66,0.05000000000000959,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
7,3,13,0.16166666666666676,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
7,8,78,0.11738186306423626,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
7,8,57,0.11722561306423626,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
7,8,38,0.2277777777777682,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
7,8,18,0.2161077202690972,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
7,8,68,0.3273665364583332,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
7,8,88,0.3824545627170137,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
7,9,78,0.1733333333333261,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
7,9,20,0.17277777777776937,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
8,2,94,0.061654188368055585,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
8,6,80,0.17293741861979162,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
8,6,12,0.04958875868055537,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
8,6,14,0.32721883138020824,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
8,8,64,0.17293741861979162,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
8,8,81,0.44944444444443366,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
8,8,87,0.1606998697916665,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
8,8,13,0.10467678493923604,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
8,8,3,0.10500000000000842,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
9,1,12,0.21833333333333577,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
9,3,87,0.0616700575086806,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
9,3,59,0.22920586480034724,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
9,3,9,0.22818901909722228,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
9,3,97,0.04958875868055537,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
9,3,12,0.10484035915798595,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
9,3,45,0.16055216471354172,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
9,5,47,0.22833333333332492,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
9,5,1,0.11777777777777054,UNKNOWN,"the trace establishes a timing residual but does not isolate phase, cycle, crossing, or numerical causality"
