sentence_index,cycle,active_column,candidate_neuron,candidate_segment,predicted_time,actual_time,delta_t,predicted_sstd_rank,actual_sstd_rank,same_sstd_rank,candidate_passes_003,current_scenario,current_S1,current_S2A,current_S2B,current_S3_punished,new_segment_created,double_credit_failure
4,8,66,7,1651499413152,0.17263346354166664,0.0,0.17263346354166664,4,1,False,False,scenario3,False,False,True,True,True,True
4,8,63,7,1651499436896,0.5059667968749892,0.05555555555555555,0.45041124131943366,10,2,False,False,scenario3,False,False,True,True,True,True
4,8,86,0,1651499415888,0.004999999999999893,0.1111111111111111,-0.10611111111111121,1,3,False,False,scenario3,False,False,True,True,True,True
5,3,99,4,1651499618464,0.061522352430555705,0.0,0.061522352430555705,12,1,False,False,scenario3,False,False,True,True,True,True
5,3,18,0,1651499707680,0.5059667968749892,0.05555555555555555,0.45041124131943366,20,2,False,False,scenario3,False,False,True,True,True,True
6,1,49,6,1651486961840,0.5059667968749892,0.2222222222222222,0.28374457465276703,10,5,False,False,scenario3,False,False,True,True,True,True
6,9,68,5,1651516769392,0.39485568576388896,0.05555555555555555,0.3393001302083334,26,2,False,False,scenario3,False,False,True,True,True,True
6,9,14,0,1651516772368,0.22818901909722222,0.1111111111111111,0.11707790798611112,23,3,False,False,scenario3,False,False,True,True,True,True
6,9,66,5,1651499270752,0.4499999999999904,0.5,-0.05000000000000959,9,10,False,False,scenario3,False,False,True,True,True,True
7,3,13,1,1651493493824,0.004999999999999893,0.16666666666666666,-0.16166666666666676,1,4,False,False,scenario3,False,False,True,True,True,True
7,8,78,3,1651499618896,0.11738186306423626,0.0,0.11738186306423626,13,1,False,False,scenario3,False,False,True,True,True,True
7,8,57,6,1651516771840,0.2838922797309029,0.16666666666666666,0.11722561306423626,32,4,False,False,scenario3,False,False,True,True,True,True
7,8,38,7,1651499707440,0.4499999999999904,0.2222222222222222,0.2277777777777682,19,5,False,False,scenario3,False,False,True,True,True,True
7,8,18,3,1651516773376,0.0616700575086806,0.2777777777777778,-0.2161077202690972,20,6,False,False,scenario3,False,False,True,True,True,True
7,8,68,0,1651517076208,0.061522352430555705,0.3888888888888889,-0.3273665364583332,22,8,False,False,scenario2,False,True,False,True,False,True
7,8,88,0,1651499285344,0.061989881727430696,0.4444444444444444,-0.3824545627170137,2,9,False,False,scenario3,False,False,True,True,True,True
7,9,78,1,1651486500016,0.33999999999999275,0.16666666666666666,0.1733333333333261,7,4,False,False,scenario3,False,False,True,True,True,True
7,9,20,9,1651486501024,0.3949999999999916,0.2222222222222222,0.17277777777776937,8,5,False,False,scenario3,False,False,True,True,True,True
8,2,94,5,1651486499008,0.2838764105902778,0.2222222222222222,0.061654188368055585,5,5,True,False,scenario3,False,False,True,True,True,True
8,6,80,6,1651516776160,0.17293741861979162,0.0,0.17293741861979162,35,1,False,False,scenario3,False,False,True,True,True,True
8,6,12,5,1651549330064,0.11707790798611128,0.16666666666666666,-0.04958875868055537,13,4,False,False,scenario3,False,False,True,True,True,True
8,6,14,7,1651517075104,0.11722561306423618,0.4444444444444444,-0.32721883138020824,27,9,False,False,scenario3,False,False,True,True,True,True
8,8,64,6,1651517073808,0.17293741861979162,0.0,0.17293741861979162,36,1,False,False,scenario3,False,False,True,True,True,True
8,8,81,0,1651516824112,0.5049999999999892,0.05555555555555555,0.44944444444443366,45,2,False,False,scenario3,False,False,True,True,True,True
8,8,87,4,1651549931616,0.061522352430555705,0.2222222222222222,-0.1606998697916665,27,5,False,False,scenario3,False,False,True,True,True,True
8,8,13,5,1651516769920,0.3397676595052084,0.4444444444444444,-0.10467678493923604,43,9,False,False,scenario3,False,False,True,True,True,True
8,8,3,4,1651549278416,0.3949999999999916,0.5,-0.10500000000000842,40,10,False,False,scenario3,False,False,True,True,True,True
9,1,12,0,1651486583616,0.11499999999999755,0.3333333333333333,-0.21833333333333577,3,7,False,False,scenario3,False,False,True,True,True,True
9,3,87,4,1651549931616,0.0616700575086806,0.0,0.0616700575086806,15,1,False,False,scenario3,False,False,True,True,True,True
9,3,59,1,1651499278240,0.2847614203559028,0.05555555555555555,0.22920586480034724,6,2,False,False,scenario3,False,False,True,True,True,True
9,3,9,1,1651549853776,0.3393001302083334,0.1111111111111111,0.22818901909722228,17,3,False,False,scenario3,False,False,True,True,True,True
9,3,97,3,1651549813600,0.11707790798611128,0.16666666666666666,-0.04958875868055537,13,4,False,False,scenario3,False,False,True,True,True,True
9,3,12,5,1651549330064,0.11738186306423626,0.2222222222222222,-0.10484035915798595,23,5,False,False,scenario3,False,False,True,True,True,True
9,3,45,0,1651549500528,0.3394478352864583,0.5,-0.16055216471354172,40,10,False,False,scenario3,False,False,True,True,True,True
9,5,47,4,1651499705424,0.3949999999999916,0.16666666666666666,0.22833333333332492,40,4,False,False,scenario3,False,False,True,True,True,True
9,5,1,8,1651499698560,0.33999999999999275,0.2222222222222222,0.11777777777777054,39,5,False,False,scenario3,False,False,True,True,True,True
9,5,81,9,1651549812400,0.0616700575086806,0.2777777777777778,-0.2161077202690972,21,6,False,False,scenario3,False,False,True,True,True,True
9,5,5,6,1651549280672,0.4499999999999904,0.3888888888888889,0.06111111111110151,52,8,False,False,scenario3,False,False,True,True,True,True
9,5,25,1,1651549502544,0.2284929741753472,0.4444444444444444,-0.21595147026909722,43,9,False,False,scenario3,False,False,True,True,True,True
9,5,23,1,1651549331360,0.061989881727430696,0.5,-0.4380101182725693,28,10,False,False,scenario3,False,False,True,True,True,True
9,7,29,4,1651493318064,0.061522352430555705,0.2777777777777778,-0.21625542534722209,2,6,False,False,scenario3,False,False,True,True,True,True
9,8,52,9,1651493320176,0.2837445746527778,0.0,0.2837445746527778,6,1,False,False,scenario3,False,False,True,True,True,True
9,8,58,3,1651493311152,0.11707790798611128,0.05555555555555555,0.06152235243055573,3,2,False,False,scenario3,False,False,True,True,True,True
10,3,1,5,1651499182000,0.22818901909722222,0.5,-0.2718109809027778,5,10,False,False,scenario3,False,False,True,True,True,True
10,7,49,7,1651493496032,0.11722561306423618,0.3333333333333333,-0.21610772026909714,12,7,False,False,scenario3,False,False,True,True,True,True
10,9,25,3,1651551905472,0.17263346354166664,0.4444444444444444,-0.2718109809027778,4,9,False,False,scenario3,False,False,True,True,True,True
11,6,48,8,1651552284848,0.061522352430555705,0.0,0.061522352430555705,2,1,False,False,scenario3,False,False,True,True,True,True
11,6,65,1,1651493320752,0.11738186306423626,0.5,-0.38261813693576374,20,10,False,False,scenario3,False,False,True,True,True,True
12,3,3,4,1651549278416,0.3949999999999916,0.0,0.3949999999999916,23,1,False,False,scenario3,False,False,True,True,True,True
12,3,1,4,1651551795200,0.22818901909722222,0.05555555555555555,0.17263346354166667,37,2,False,False,scenario3,False,False,True,True,True,True
12,3,74,2,1651499282752,0.1185183376736112,0.2222222222222222,-0.10370388454861101,12,5,False,False,scenario3,False,False,True,True,True,True
12,3,5,4,1651551469296,0.39485568576388896,0.2777777777777778,0.11707790798611117,50,6,False,False,scenario3,False,False,True,True,True,True
12,3,81,9,1651549812400,0.06182630750868068,0.3333333333333333,-0.27150702582465264,18,7,False,False,scenario3,False,False,True,True,True,True
12,3,52,2,1651517653168,0.006790771484375124,0.4444444444444444,-0.4376536729600693,46,9,False,False,scenario3,False,False,True,True,True,True
12,7,90,7,1651551418320,0.39485568576388896,0.16666666666666666,0.2281890190972223,8,4,False,False,scenario3,False,False,True,True,True,True
12,7,58,8,1651551412896,0.11707790798611128,0.4444444444444444,-0.32736653645833313,3,9,False,False,scenario3,False,False,True,True,True,True
13,1,16,4,1651549274192,0.39485568576388896,0.2222222222222222,0.17263346354166675,8,5,False,False,scenario3,False,False,True,True,True,True
13,8,80,8,1651549941648,0.006607666015624902,0.1111111111111111,-0.1045034450954862,43,3,False,False,scenario3,False,False,True,True,True,True
