input_index,input_timestamp,target_timestamp,target,prediction,persistence_prediction,daily_seasonal_prediction
11520,2020-03-21 00:10:00,2020-03-21 00:20:00,3.54,3.892785862785863,3.54,8.94
11521,2020-03-21 00:20:00,2020-03-21 00:30:00,3.54,3.892785862785863,3.54,8.92
11522,2020-03-21 00:30:00,2020-03-21 00:40:00,3.6,3.892785862785863,3.54,8.85
11523,2020-03-21 00:40:00,2020-03-21 00:50:00,3.65,3.892785862785863,3.6,8.83
11524,2020-03-21 00:50:00,2020-03-21 01:00:00,3.68,3.892785862785863,3.65,8.82
11525,2020-03-21 01:00:00,2020-03-21 01:10:00,3.68,3.892785862785863,3.68,8.75
11526,2020-03-21 01:10:00,2020-03-21 01:20:00,3.65,3.892785862785863,3.68,8.7
11527,2020-03-21 01:20:00,2020-03-21 01:30:00,3.58,3.892785862785863,3.65,8.62
11528,2020-03-21 01:30:00,2020-03-21 01:40:00,3.52,3.892785862785863,3.58,8.61
11529,2020-03-21 01:40:00,2020-03-21 01:50:00,3.51,3.892785862785863,3.52,8.53
11530,2020-03-21 01:50:00,2020-03-21 02:00:00,3.54,3.892785862785863,3.51,8.45
11531,2020-03-21 02:00:00,2020-03-21 02:10:00,3.54,3.892785862785863,3.54,8.39
11532,2020-03-21 02:10:00,2020-03-21 02:20:00,3.54,3.892785862785863,3.54,8.32
11533,2020-03-21 02:20:00,2020-03-21 02:30:00,3.48,3.892785862785863,3.54,8.25
11534,2020-03-21 02:30:00,2020-03-21 02:40:00,3.52,3.892785862785863,3.48,8.12
11535,2020-03-21 02:40:00,2020-03-21 02:50:00,3.5,3.892785862785863,3.52,7.98
11536,2020-03-21 02:50:00,2020-03-21 03:00:00,3.54,3.892785862785863,3.5,7.93
11537,2020-03-21 03:00:00,2020-03-21 03:10:00,3.54,3.892785862785863,3.54,7.94
11538,2020-03-21 03:10:00,2020-03-21 03:20:00,3.56,3.892785862785863,3.54,8.01
11539,2020-03-21 03:20:00,2020-03-21 03:30:00,3.57,3.892785862785863,3.56,8.07
11540,2020-03-21 03:30:00,2020-03-21 03:40:00,3.6,3.892785862785863,3.57,7.86
11541,2020-03-21 03:40:00,2020-03-21 03:50:00,3.61,3.743035343035344,3.6,7.55
11542,2020-03-21 03:50:00,2020-03-21 04:00:00,3.61,3.892785862785863,3.61,7.54
11543,2020-03-21 04:00:00,2020-03-21 04:10:00,3.6,3.892785862785863,3.61,7.56
11544,2020-03-21 04:10:00,2020-03-21 04:20:00,3.61,3.892785862785863,3.6,7.61
11545,2020-03-21 04:20:00,2020-03-21 04:30:00,3.62,3.892785862785863,3.61,7.6
11546,2020-03-21 04:30:00,2020-03-21 04:40:00,3.62,3.892785862785863,3.62,7.48
11547,2020-03-21 04:40:00,2020-03-21 04:50:00,3.64,3.892785862785863,3.62,7.41
11548,2020-03-21 04:50:00,2020-03-21 05:00:00,3.62,3.892785862785863,3.64,7.45
11549,2020-03-21 05:00:00,2020-03-21 05:10:00,3.6,3.892785862785863,3.62,7.43
11550,2020-03-21 05:10:00,2020-03-21 05:20:00,3.58,3.892785862785863,3.6,7.41
11551,2020-03-21 05:20:00,2020-03-21 05:30:00,3.59,3.892785862785863,3.58,7.34
11552,2020-03-21 05:30:00,2020-03-21 05:40:00,3.54,3.892785862785863,3.59,7.33
11553,2020-03-21 05:40:00,2020-03-21 05:50:00,3.49,3.892785862785863,3.54,7.35
11554,2020-03-21 05:50:00,2020-03-21 06:00:00,3.41,3.3936174636174643,3.49,7.27
11555,2020-03-21 06:00:00,2020-03-21 06:10:00,3.31,3.3936174636174643,3.41,7.27
11556,2020-03-21 06:10:00,2020-03-21 06:20:00,3.24,3.2438669438669434,3.31,7.27
11557,2020-03-21 06:20:00,2020-03-21 06:30:00,3.18,3.3936174636174643,3.24,7.18
11558,2020-03-21 06:30:00,2020-03-21 06:40:00,3.09,3.3936174636174643,3.18,7.1
11559,2020-03-21 06:40:00,2020-03-21 06:50:00,3.04,2.8694906444906456,3.09,7.08
11560,2020-03-21 06:50:00,2020-03-21 07:00:00,3.01,2.8694906444906456,3.04,7.06
11561,2020-03-21 07:00:00,2020-03-21 07:10:00,2.95,2.669823284823285,3.01,7.01
11562,2020-03-21 07:10:00,2020-03-21 07:20:00,2.93,3.3936174636174643,2.95,6.97
11563,2020-03-21 07:20:00,2020-03-21 07:30:00,2.88,2.8694906444906456,2.93,6.9
11564,2020-03-21 07:30:00,2020-03-21 07:40:00,2.87,2.8694906444906456,2.88,6.92
11565,2020-03-21 07:40:00,2020-03-21 07:50:00,2.87,2.8694906444906456,2.87,6.9
11566,2020-03-21 07:50:00,2020-03-21 08:00:00,2.89,2.8694906444906456,2.87,6.87
11567,2020-03-21 08:00:00,2020-03-21 08:10:00,2.94,2.8694906444906456,2.89,6.86
11568,2020-03-21 08:10:00,2020-03-21 08:20:00,2.85,2.8694906444906456,2.94,6.82
11569,2020-03-21 08:20:00,2020-03-21 08:30:00,2.77,2.8694906444906456,2.85,6.84
11570,2020-03-21 08:30:00,2020-03-21 08:40:00,2.76,2.8694906444906456,2.77,6.87
11571,2020-03-21 08:40:00,2020-03-21 08:50:00,2.68,2.8694906444906456,2.76,6.91
11572,2020-03-21 08:50:00,2020-03-21 09:00:00,2.46,2.669823284823285,2.68,6.94
11573,2020-03-21 09:00:00,2020-03-21 09:10:00,2.42,2.8694906444906456,2.46,6.97
11574,2020-03-21 09:10:00,2020-03-21 09:20:00,2.46,2.3204054054054053,2.42,7.07
11575,2020-03-21 09:20:00,2020-03-21 09:30:00,2.54,2.2704885654885656,2.46,7.15
11576,2020-03-21 09:30:00,2020-03-21 09:40:00,2.55,2.2704885654885656,2.54,7.26
11577,2020-03-21 09:40:00,2020-03-21 09:50:00,2.54,2.2704885654885656,2.55,7.26
11578,2020-03-21 09:50:00,2020-03-21 10:00:00,2.59,2.5450311850311857,2.54,7.26
11579,2020-03-21 10:00:00,2020-03-21 10:10:00,2.69,2.644864864864865,2.59,7.18
11580,2020-03-21 10:10:00,2020-03-21 10:20:00,2.92,2.669823284823285,2.69,7.04
11581,2020-03-21 10:20:00,2020-03-21 10:30:00,3.2,3.3936174636174643,2.92,7.04
11582,2020-03-21 10:30:00,2020-03-21 10:40:00,3.4,3.2438669438669434,3.2,7.07
11583,2020-03-21 10:40:00,2020-03-21 10:50:00,3.54,3.892785862785863,3.4,7.11
11584,2020-03-21 10:50:00,2020-03-21 11:00:00,3.55,3.892785862785863,3.54,7.07
11585,2020-03-21 11:00:00,2020-03-21 11:10:00,3.74,3.892785862785863,3.55,7.05
11586,2020-03-21 11:10:00,2020-03-21 11:20:00,4.14,3.892785862785863,3.74,6.99
11587,2020-03-21 11:20:00,2020-03-21 11:30:00,4.44,3.892785862785863,4.14,7.03
11588,2020-03-21 11:30:00,2020-03-21 11:40:00,4.22,4.242203742203743,4.44,7.1
11589,2020-03-21 11:40:00,2020-03-21 11:50:00,4.14,4.242203742203743,4.22,7.15
11590,2020-03-21 11:50:00,2020-03-21 12:00:00,4.43,4.242203742203743,4.14,7.18
11591,2020-03-21 12:00:00,2020-03-21 12:10:00,4.64,4.242203742203743,4.43,7.21
11592,2020-03-21 12:10:00,2020-03-21 12:20:00,4.73,4.691455301455302,4.64,7.21
11593,2020-03-21 12:20:00,2020-03-21 12:30:00,4.53,4.916081081081082,4.73,7.28
11594,2020-03-21 12:30:00,2020-03-21 12:40:00,4.42,4.591621621621623,4.53,7.41
11595,2020-03-21 12:40:00,2020-03-21 12:50:00,4.43,4.242203742203743,4.42,7.46
11596,2020-03-21 12:50:00,2020-03-21 13:00:00,4.51,4.242203742203743,4.43,7.43
11597,2020-03-21 13:00:00,2020-03-21 13:10:00,4.5,4.342037422037422,4.51,7.42
11598,2020-03-21 13:10:00,2020-03-21 13:20:00,4.36,4.342037422037422,4.5,7.45
11599,2020-03-21 13:20:00,2020-03-21 13:30:00,4.33,3.892785862785863,4.36,7.45
11600,2020-03-21 13:30:00,2020-03-21 13:40:00,4.3,4.516746361746363,4.33,7.34
11601,2020-03-21 13:40:00,2020-03-21 13:50:00,4.33,4.342037422037422,4.3,7.3
11602,2020-03-21 13:50:00,2020-03-21 14:00:00,4.4,4.242203742203743,4.33,7.32
11603,2020-03-21 14:00:00,2020-03-21 14:10:00,4.25,4.242203742203743,4.4,7.27
11604,2020-03-21 14:10:00,2020-03-21 14:20:00,4.02,3.892785862785863,4.25,7.24
11605,2020-03-21 14:20:00,2020-03-21 14:30:00,3.89,3.892785862785863,4.02,7.1
11606,2020-03-21 14:30:00,2020-03-21 14:40:00,3.88,3.892785862785863,3.89,6.96
11607,2020-03-21 14:40:00,2020-03-21 14:50:00,3.87,3.892785862785863,3.88,6.7
11608,2020-03-21 14:50:00,2020-03-21 15:00:00,3.81,3.892785862785863,3.87,6.53
11609,2020-03-21 15:00:00,2020-03-21 15:10:00,3.89,3.892785862785863,3.81,6.48
