run_id,cell,commit,fix_candidate,python,fresh_or_resume,checkpoint_origin,start_index,end_index,exit_code,crash_type,last_breadcrumb,predictions,coverage,mape,prediction_sha,model_fingerprint,rng_fingerprint,valid,notes
P2_RESUME_01,P2,a1d8fa1,C08,CPython_3.12,resume,existing_P2_checkpoint,450,495,0,none,completed,295,1.0,0.48966059282732727,,58c624320d797adc472a38062569a7c1747cc6e8bd7fe89219d3d1a1521f1352,29195cb5ddb829908713394f2eea621cc1e4345998ec15ba626cfdc73ddd6955,true,Resume window only
P2_RESUME_02,P2,a1d8fa1,C08,CPython_3.12,resume,existing_P2_checkpoint,450,495,0,none,completed,295,1.0,0.48966059282732727,,58c624320d797adc472a38062569a7c1747cc6e8bd7fe89219d3d1a1521f1352,29195cb5ddb829908713394f2eea621cc1e4345998ec15ba626cfdc73ddd6955,true,Resume window only
P2_RESUME_03,P2,a1d8fa1,C08,CPython_3.12,resume,existing_P2_checkpoint,450,495,0,none,completed,295,1.0,0.48966059282732727,,58c624320d797adc472a38062569a7c1747cc6e8bd7fe89219d3d1a1521f1352,29195cb5ddb829908713394f2eea621cc1e4345998ec15ba626cfdc73ddd6955,true,Resume window only
P3_STREAM_RESUME_01,P3,a1d8fa1,C05,CPython_3.12,resume,mixed_history_P3_checkpoint,450,495,0,none,completed,295,1.0,0.47950595026121695,f8bfdb2b239d23edd0ae924c292e7cb066608f93dd4188fb0c0843bcf08a028,58c624320d797adc472a38062569a7c1747cc6e8bd7fe89219d3d1a1521f1352,29195cb5ddb829908713394f2eea621cc1e4345998ec15ba626cfdc73ddd6955,true,MAPE is not formal P3 because checkpoint has mixed history
P3_STREAM_RESUME_02,P3,a1d8fa1,C05,CPython_3.12,resume,mixed_history_P3_checkpoint,450,495,0,none,completed,295,1.0,0.47950595026121695,f8bfdb2b239d23edd0ae924c292e7cb066608f93dd4188fb0c0843bcf08a028,58c624320d797adc472a38062569a7c1747cc6e8bd7fe89219d3d1a1521f1352,29195cb5ddb829908713394f2eea621cc1e4345998ec15ba626cfdc73ddd6955,true,MAPE is not formal P3 because checkpoint has mixed history
P3_STREAM_RESUME_03,P3,a1d8fa1,C05,CPython_3.12,resume,mixed_history_P3_checkpoint,450,495,0,none,completed,295,1.0,0.47950595026121695,f8bfdb2b239d23edd0ae924c292e7cb066608f93dd4188fb0c0843bcf08a028,58c624320d797adc472a38062569a7c1747cc6e8bd7fe89219d3d1a1521f1352,29195cb5ddb829908713394f2eea621cc1e4345998ec15ba626cfdc73ddd6955,true,MAPE is not formal P3 because checkpoint has mixed history
P3_FRESH_STREAMED,P3,a1d8fa1,C05,CPython_3.12,fresh,none,0,409,3221225477,0xC0000005,rollout_step_enter_index_409,,,,,,,false,Checkpoint safely persisted through index 405
P3_CORE_ONLY_01,P3,a1d8fa1,C08,CPython_3.12,resume,P3_checkpoint_405,405,415,0,none,completed,,,,,,,true,Core-only first replay succeeded
P3_CORE_ONLY_02,P3,a1d8fa1,C08,CPython_3.12,resume,same_P3_checkpoint_405,405,411,3221225477,0xC0000005,rollout_step_enter_index_411,,,,,,,false,Same checkpoint failed nondeterministically with diagnostics disabled
P3_PY313_CONTROL,P3,a1d8fa1,C03,CPython_3.13.1,resume,P3_checkpoint_405,405,410,3221226505,0xC0000409,reference_continuous_prediction,,,,,,,false,RESERVED instruction; WER fault module ucrtbase.dll
